Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Alan F. Smeaton,Attention-Based Design and User Decisions on Information Sharing: A Thematic Literature Review,"Zaid Amin, Nazlena Mohamad Ali, Alan F. Smeaton",IEEE Access 9 83285-83297,0,2021
Alan F. Smeaton,Attention-Based Neural Networks for Chroma Intra Prediction in Video Coding,"Marc Gorrizblanch, Saverio Giovanni Blasi, Alan F. Smeaton, Noel O’Connor, Marta Mrak",IEEE Journal of Selected Topics in Signal Processing 15 (2) 366 - 377,0,2021
Alan F. Smeaton,Attention-based Stylisation for Exemplar Image Colourisation,"Marc Gorriz Blanch, Issa Khalifeh, Alan F. Smeaton, Noel O’Connor, Marta Mrak",arXiv e-prints arXiv: 2105.01705,0,2021
Alan F. Smeaton,Detecting Deepfake Videos Using Euler Video Magnification,"Rashmiranjan Das, Gaurav Negi, Alan F. Smeaton",Presented at Electronic Imaging: Media Watermarking Security and Forensics …,0,2021
Alan F. Smeaton,"Young and restless, old and focused: Age-differences in mind-wandering frequency and phenomenology.","Catherine N Moran, David P Mcgovern, Greta Warren, Rónán Ó Grálaigh, Joanne Pm Kenney, Alan F. Smeaton, Paul M Dockree",Psychology and Aging 36 (2) 252–267,0,2021
Alan F. Smeaton,Attention Based Video Summaries of Live Online Zoom Classes,"Hyowon Lee, Mingming Liu, Hamza Riaz, Navaneethan Rajasekaren, Michael Scriney, Alan F. Smeaton","AAAI-2021 Workshop on AI Education: ""Imagining Post-COVID Education with AI …",0,2021
Alan F. Smeaton,Keystroke Dynamics as Part of Lifelogging,"Alan F. Smeaton, Naveen Garaga Krishnamurthy, Amruth Hebbasuru Suryanarayana",27th International Conference on Multimedia Modeling Prague Czech Republic …,0,2021
Alan F. Smeaton,Chinese Character Decomposition for Neural MT with Multi-Word Expressions,"Lifeng Han, Gareth Jones, Alan F. Smeaton, Paolo Bolzoni",23rd Nordic Conference on Computational Linguistics (NoDaLiDa) Reykjavik …,0,2021
Alan F. Smeaton,Translation quality assessment: a brief survey on manual and automatic methods,"Lifeng Han, Gareth Jones, Alan F. Smeaton",MoTra21: Workshop on Modelling Translation: Translatology in the Digital Age …,0,2021
Alan F. Smeaton,The Influence of Audio on Video Memorability with an Audio Gestalt Regulated Video Memorability System,"Lorin Sweeney, Graham Healy, Alan F. Smeaton",18th Content-Based Multimedia Indexing (CBMI) Lille France. arXiv preprint …,0,2021
Alan F. Smeaton,TRECVID 2020: A comprehensive campaign for evaluating video retrieval tasks across multiple application domains,"George Awad, Asad Butt, Keith Curtis, Jonathan Fiscus, Afzad Godil, Yooyoung Lee, Andrew Delgado, Jesse Zhang, Eliot Godard, Baptiste Chocot, Lukas Diduch, Jeffrey Liu, Alan F. Smeaton, Yvette Graham, Gareth Jones, Wessel Kraaij, Georges Quenot",Proceedings of TRECVid 2020 arXiv preprint arXiv:2104.13473,25,2021
Alan F. Smeaton,Monitoring of Particulate Matter Emissions from 3D Printing Activity in the Home Setting,"Shirin Khaki, Emer Duffy, Alan F. Smeaton, Aoife Morrin",Sensors 21 (9) 3247,0,2021
