Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Andrew McCarren,Pulmonary hypertension and home-based (PHAHB) exercise intervention: protocol for a feasibility study,"Ciara McCormack, Brona Kehoe, Sarah J Hardcastle, Noel Mccaffrey, Andrew McCarren, Sean Gaine, Brian Mccullagh, Niall Moyna",BMJ open 11 (5) e045460,0,2021
Andrew McCarren,Ecological validity of self-reported wellness measures to assess pre-training and pre-competition preparedness within elite Gaelic football,"Bryan Cullen, Andrew McCarren, Shane Malone",Sport Sciences for Health 17 (1) 163-172,9,2021
Andrew McCarren,Maximal oxygen consumption and oxygen uptake efficiency in adolescent males,"Sinead Sheridan, Andrew McCarren, Cleona Gray, Ronan P Murphy, Michael Harrison, Stephen Hs Wong, Niall Moyna",Journal of Exercise Science & Fitness 19 (2) 75-80,1,2021
Andrew McCarren,Alterations in Team Physical Performance and Possession in Elite Gaelic Football Competition,"Declan Gamble, Niall Moyna, Richard Mccann, Damian Martin, Gerard Mc Mahon, Lee Rooney, Matt Spencer, Jonathan Bradley, Andrew McCarren",American Journal of Sports Science 8 (2) 39,0,2020
Andrew McCarren,Identifying extra-terrestrial intelligence using machine learning,"Małgorzata Gutowska, Michael Scriney, Andrew McCarren",CEUR-WS,0,2020
Andrew McCarren,Novel component variables can be used to distinguish between winning and losing across match periods in elite Gaelic football,"Declan Gamble, Andrew McCarren, Jonathan Bradley, Niall Moyna",International Journal of Performance Analysis in Sport 20 (2) 264-279,2,2020
Andrew McCarren,"Relation Between Physical Activity, Sedentary Behavior And Chronic Disease Risk Factors Using Principal Component Analysis.: 1630 Board# 224 May 28 10: 30 AM-12: 00 PM","Fiona Skelly, Brona Furlong, Lisa Loughney, Noel Mccaffrey, Kieran Dowd, Leslie Daly, Catherine Woods, Andrew McCarren, Niall Moyna",Medicine & Science in Sports & Exercise 52 (7S) 434-435,0,2020
Andrew McCarren,"The effect of participating in MedEx Wellness, a community-based chronic disease exercise rehabilitation programme, on physical, clinical and psychological health: A study …","Bróna Kehoe, Fiona Skelly, Niall Moyna, Mairéad Cantwell, Lorraine Boran, Leslie Daly, Andrew McCarren, Kieran Dowd, Catherine Woods, Noel Mccaffrey, Lisa Loughney",Contemporary Clinical Trials Communications 19 100591,0,2020
Andrew McCarren,A Multivocal Literature Review of Function-as-a-Service (FaaS) Infrastructures and Implications for Software Developers,"Jake Grogan, Connor Mulready, James Mcdermott, Martynas Urbanavicius, Murat Yilmaz, Yalemisew Abgaz, Andrew McCarren, Silvana Togneri Mac Mahon, Vahid Garousi, Peter Elger, Paul M. Clarke",European Conference on Software Process Improvement 58-75,0,2020
Andrew McCarren,Fact or factitious? Contextualized opinion spam detection,"Stefan Kennedy, Niall Walsh, Kirils Sloka, Jennifer Foster, Andrew McCarren",arXiv preprint arXiv:2010.15296,10,2020
