Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Annalina Caputo,A VR Interface for Browsing Visual Spaces at VBS2021,"Ly-Duyen Tran, Manh-Duy Nguyen, Thao-Nhu Nguyen, Graham Healy, Annalina Caputo, Binh T Nguyen, Cathal Gurrin",International Conference on Multimedia Modeling 490-495,0,2021
Annalina Caputo,A Probabilistic Approach to Personalize Type-based Facet Ranking for POI Suggestion,"Esraa Ali, Annalina Caputo, Seamus Lawless, Owen Conlan",arXiv preprint arXiv:2105.04266,0,2021
Annalina Caputo,Kernel Density Estimation based Factored Relevance Model for Multi-Contextual Point-of-Interest Recommendation,"Anirban Chakraborty, Debasis Ganguly, Annalina Caputo, Gareth Jones",arXiv preprint arXiv:2006.15679,1,2020
Annalina Caputo,GM-CTSC at SemEval-2020 Task 1: Gaussian Mixtures Cross Temporal Similarity Clustering,"Pierluigi Cassotti, Annalina Caputo, Marco Polignano, Pierpaolo Basile",arXiv preprint arXiv:2005.09946,1,2020
Annalina Caputo,A Diachronic Italian Corpus based on “L’Unita”,"Pierpaolo Basile, Annalina Caputo, Tommaso Caselli, Pierluigi Cassotti, Rossella Varvara",CEUR Workshop Proceedings,2,2020
Annalina Caputo,DIACR-Ita@ EVALITA2020: Overview of the evalita2020 diachronic lexical semantics (diacr-ita) task,"Pierpaolo Basile, Annalina Caputo, Tommaso Caselli, Pierluigi Cassotti, Rossella Varvara",Proceedings of the 7th evaluation campaign of Natural Language Processing …,16,2020
Annalina Caputo,A Factored Relevance Model for Contextual Point-of-Interest Recommendation,"Anirban Chakraborty, Debasis Ganguly, Annalina Caputo, Seamus Lawless",Proceedings of the 2019 ACM SIGIR International Conference on Theory of …,5,2019
Annalina Caputo,CoRE: a cold-start resistant and extensible recommender system,"Mostafa Bayomi, Annalina Caputo, Matthew Nicholson, Anirban Chakraborty, Seamus Lawless",Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing 1679-1682,2,2019
Annalina Caputo,Temporal word embeddings for dynamic user profiling in Twitter,"Breandán Kerin, Annalina Caputo, Seamus Lawless",CEUR-WS,0,2019
Annalina Caputo,Kronos-it: a Dataset for the Italian Semantic Change Detection Task.,"Pierpaolo Basile, Giovanni Semeraro, Annalina Caputo",CLiC-it,4,2019
Annalina Caputo,Diachronic Analysis of Entities by Exploiting Wikipedia Page revisions,"Pierpaolo Basile, Annalina Caputo, Seamus Lawless, Giovanni Semeraro",International Conference on Recent Advances in Natural Language Processing …,0,2019
Annalina Caputo,Modeling concepts and their relationships for corpus-based query auto-completion,"Gaetano Rossiello, Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",Open Computer Science 9 (1) 212-225,3,2019
