Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Brian Davis,Implicit Aspect-Based Opinion Mining and Analysis of Airline Industry Based on User-Generated Reviews,"Kanishk Verma, Brian Davis",SN Computer Science 2 (4) 1-9,0,2021
Brian Davis,Do city dashboards make sense? Conceptualising user experiences and challenges in using city dashboards. A case study,"Heike Vornhagen, Manel Zarrouk, Brian Davis, Karen Young",DG. O2021: The 22nd Annual International Conference on Digital Government …,0,2021
Brian Davis,A Dataset of Multidimensional and Multilingual Social Opinions for Malta’s Annual Government Budget,"Keith Cortis, Brian Davis",Proceedings of the International AAAI Conference on Web and Social Media 15 …,0,2021
Brian Davis,Over a Decade of Social Opinion Mining,"Keith Cortis, Brian Davis",arXiv preprint arXiv:2012.03091,0,2020
Brian Davis,Proceedings of the 13th International Conference on Natural Language Generation,"Brian Davis, Yvette Graham, John Kelleher, Yaji Sripada",Proceedings of the 13th International Conference on Natural Language Generation,0,2020
Brian Davis,The outsider art project: a transdisciplinary framework,"John Roberto, Brian Davis",DE LINGÜÍSTICA COMPUTACIONAL Y DE CORPUS 254,0,2020
Brian Davis,Towards the Ontologization of the Outsider Art Domain: Position Paper,"John Roberto, Brian Davis",16th Joint ACL-ISO Workshop on Interoperable Semantic Annotation PROCEEDINGS …,0,2020
Brian Davis,Toward the Automatic Retrieval and Annotation of Outsider Art images: A Preliminary Statement,"John Roberto, Diego Ortego, Brian Davis",Proceedings of the 1st International Workshop on Artificial Intelligence for …,0,2020
Brian Davis,A Social Opinion Gold Standard for the Malta Government Budget 2018,"Keith Cortis, Brian Davis",Proceedings of the 5th Workshop on Noisy User-generated Text (W-NUT 2019 …,4,2019
Brian Davis,CoSACT: A collaborative tool for fine-grained sentiment annotation and consolidation of text,"Tobias Daudert, Manel Zarrouk, Brian Davis",Proceedings of the First Workshop on Financial Technology and Natural …,3,2019
