Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Cathal Gurrin,A VR Interface for Browsing Visual Spaces at VBS2021,"Ly-Duyen Tran, Manh-Duy Nguyen, Thao-Nhu Nguyen, Graham Healy, Annalina Caputo, Binh T Nguyen, Cathal Gurrin",International Conference on Multimedia Modeling 490-495,0,2021
Cathal Gurrin,A Deep Local and Global Scene-Graph Matching for Image-Text Retrieval,"Manh-Duy Nguyen, Binh T Nguyen, Cathal Gurrin",arXiv preprint arXiv:2106.02400,0,2021
Cathal Gurrin,Report from ACM ICMR 2018,Cathal Gurrin,ACM SIGMultimedia Records 11 (1) 1-1,0,2021
Cathal Gurrin,Graph-based indexing and retrieval of lifelog data,"Manh-Duy Nguyen, Binh T Nguyen, Cathal Gurrin",International Conference on Multimedia Modeling 256-267,1,2021
Cathal Gurrin,Malware Detection Using System Logs,"Nhu T Nguyen, Thuy T Pham, X Tien Dang, Minh-Son Dao, Duc Tien Dang Nguyen, Cathal Gurrin, Binh T Nguyen",Proceedings of the 2020 on Intelligent Cross-Data Analysis and Retrieval …,0,2020
Cathal Gurrin,Organiser Team at ImageCLEFlifelog 2020: A Baseline Approach for Moment Retrieval and Athlete Performance Prediction using Lifelog Data.,"Le Tu-Khiem, Van-Tu Ninh, Liting Zhou, Minh-Huy Nguyen-Ngoc, Huu-Duc Trinh, Nguyen-Hien Tran, Luca Piras, Michael Riegler, Pål Halvorsen, Mathias Lux, Minh Triet Tran, Graham Healy, Cathal Gurrin, Duc Tien Dang Nguyen",CLEF (Working Notes),0,2020
Cathal Gurrin,Overview of the ImageCLEF 2020,"Bogdan Ionescu, Henning Muller, Renaud Péteri, Asma Ben Abacha, Vivek Datla, Sadid A Hasan, Dina Demner-Fushman, Serge Kozlovski, Vitali Liauchuk, Yashin Dicente Cid, Vassili Kovalev, Obioma Pelka, Christoph M Friedrich, Alba Garcia Seco De Herrera, Van-Tu Ninh, Le Tu-Khiem, Liting Zhou, Lucas Piras, Michael Riegler, Pal Halvorsen, Minh Triet Tran, Mathias Lux, Cathal Gurrin, Duc Tien Dang Nguyen, Jon Chamberlain, Adrian Clark, Antonio Campello, Dimitri Fichou, Raul Berari, Paul Brie, Mihai Dogariu, Liviu Daniel Stefan, Mihai Gabriel Constantin",Proceedings of international conference of the cross-language evaluation …,0,2020
Cathal Gurrin,DCU team at the NTCIR-15 Micro-activity Retrieval Task,"Le Tu-Khiem, Manh-Duy Nguyen, Ly-Duyen Tran, Van-Tu Ninh, Cathal Gurrin, Graham Healy",Proceedings of the NTCIR-15 Conference,1,2020
Cathal Gurrin,Rethinking the test collection methodology for personal self-tracking data,"Frank Hopfgartner, Cathal Gurrin, Hideo Joho",International Conference on Multimedia Modeling 463-474,5,2020
Cathal Gurrin,Experiences and insights from the collection of a novel multimedia EEG dataset,"Graham Healy, Zhengwei Wang, Tomas Ward, Alan F. Smeaton, Cathal Gurrin",International Conference on Multimedia Modeling 475-486,4,2020
Cathal Gurrin,Baseline analysis of a conventional and virtual reality lifelog retrieval system,"Aaron Duane, Cathal Gurrin",International Conference on Multimedia Modeling 412-423,6,2020
Cathal Gurrin,"ImageCLEF 2020: Multimedia retrieval in lifelogging, medical, nature, and internet applications","Bogdan Ionescu, Henning Muller, Renaud Péteri, Duc Tien Dang Nguyen, Liting Zhou, Luca Piras, Michael Riegler, Pål Halvorsen, Minh Triet Tran, Mathias Lux, Cathal Gurrin, Jon Chamberlain, Adrian Clark, Antonio Campello, Alba García Seco De Herrera, Asma Ben Abacha, Vivek Datla, Sadid A Hasan, Joey Liu, Dina Demner-Fushman, Obioma Pelka, Christoph M Friedrich, Yashin Dicente Cid, Serge Kozlovski, Vitali Liauchuk, Vassili Kovalev, Raul Berari, Paul Brie, Dimitri Fichou, Mihai Dogariu, Liviu Daniel Stefan, Mihai Gabriel Constantin",European Conference on Information Retrieval 533-541,3,2020
Cathal Gurrin,An active learning framework for duplicate detection in SaaS platforms,"Quy H Nguyen, Duc Tien Dang Nguyen, Minh-Son Dao, Duc Tien Dang Nguyen, Cathal Gurrin, Binh T Nguyen",Proceedings of the 2020 International Conference on Multimedia Retrieval …,0,2020
Cathal Gurrin,Detection of Semantic Risk Situations in Lifelog Data for Improving Life of Frail People,"Thinhinane Yebda, Jenny Benois-Pineau, Marion Pech, Hélène Amièva, Cathal Gurrin",Proceedings of the 2020 International Conference on Multimedia Retrieval …,1,2020
Cathal Gurrin,A Framework for Paper Submission Recommendation System,"Dinh V Cuong, Duc Tien Dang Nguyen, Son Huynh, Phong Huynh, Cathal Gurrin, Minh-Son Dao, Duc Tien Dang Nguyen, Binh T Nguyen",Proceedings of the 2020 International Conference on Multimedia Retrieval …,0,2020
Cathal Gurrin,Introduction to the Third Annual Lifelog Search Challenge (LSC'20),"Cathal Gurrin, Le Tu-Khiem, Van-Tu Ninh, Duc Tien Dang Nguyen, Björn Þór Jónsson, Jakub Lokoš, Wolfgang Hurst, Minh Triet Tran, Klaus Schoeffmann",Proceedings of the 2020 International Conference on Multimedia Retrieval …,21,2020
Cathal Gurrin,Considerations on privacy in the era of digitally logged lives,"Rashmi Gupta, Martin Crane, Cathal Gurrin",Online Information Review,2,2020
Cathal Gurrin,Duplicate Identification Algorithms in SaaS Platforms,"Duc Tien Dang Nguyen, Quy H Nguyen, Minh-Son Dao, Duc Tien Dang Nguyen, Cathal Gurrin, Binh T Nguyen",Proceedings of the 2020 on Intelligent Cross-Data Analysis and Retrieval …,0,2020
Cathal Gurrin,Lifeseeker 2.0: Interactive lifelog search engine at lsc 2020,"Le Tu-Khiem, Van-Tu Ninh, Minh Triet Tran, Thanh-An Nguyen, Hai-Dang Nguyen, Liting Zhou, Graham Healy, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 57-62,4,2020
Cathal Gurrin,Guest editorial: special issue on lifelogging behaviour and practice,"Frank Hopfgartner, Cathal Gurrin, Hideo Joho",Online Information Review 44 (2) 477-481,0,2020
Cathal Gurrin,Virtual Reality Lifelog Explorer: A Prototype for Immersive Lifelog Analytics,"Aaron Duane, Björn Thór Jónsson, Cathal Gurrin",2020 IEEE International Conference on Artificial Intelligence and Virtual …,0,2020
Cathal Gurrin,Overview of NTCIR-15 MART,"Graham Healy, Le Tu-Khiem, Hideo Joho, Frank Hopfgartner, Cathal Gurrin",NTCIR-15: Evaluation of Information Access Technologies,4,2020
Cathal Gurrin,Overview of ImageCLEF lifelog 2020: lifelog moment retrieval and sport performance lifelog,"Van-Tu Ninh, Le Tu-Khiem, Liting Zhou, Luca Piras, Michael Riegler, P L Halvorsen, Minh Triet Tran, Mathias Lux, Cathal Gurrin, Duc Tien Dang Nguyen",CLEF2020 Working Notes ser. CEUR Workshop Proceedings. Thessaloniki Greece …,7,2020
Cathal Gurrin,Experiments in Lifelog Organisation and Retrieval at NTCIR,"Cathal Gurrin, Hideo Joho, Frank Hopfgartner, Liting Zhou, Rami Albatal, Graham Healy, Duc-Tien Dang Nguyen",Evaluating Information Retrieval and Access Tasks 187-203,1,2020
Cathal Gurrin,"Overview of the ImageCLEF 2020: Multimedia retrieval in medical, lifelogging, nature, and internet applications","Bogdan Ionescu, Henning Muller, Renaud Péteri, Asma Ben Abacha, Vivek Datla, Sadid A Hasan, Dina Demner-Fushman, Serge Kozlovski, Vitali Liauchuk, Yashin Dicente Cid, Vassili Kovalev, Obioma Pelka, Christoph M Friedrich, Alba Garcia Seco De Herrera, Van-Tu Ninh, Le Tu-Khiem, Liting Zhou, Luca Piras, Michael Riegler, Pål Halvorsen, Minh Triet Tran, Mathias Lux, Cathal Gurrin, Duc Tien Dang Nguyen, Jon Chamberlain, Adrian Clark, Antonio Campello, Dimitri Fichou, Raul Berari, Paul Brie, Mihai Dogariu, Liviu Daniel Ştefan, Mihai Gabriel Constantin",International Conference of the Cross-Language Evaluation Forum for European …,12,2020
Cathal Gurrin,Myscéal: An Experimental Interactive Lifelog Retrieval System for LSC'20,"Ly-Duyen Tran, Manh-Duy Nguyen, Nguyen Thanh Binh, Hyowon Lee, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 23-28,6,2020
Cathal Gurrin,FIRST-Flexible Interactive Retrieval SysTem for Visual Lifelog Exploration at LSC 2020,"Minh Triet Tran, Thanh-An Nguyen, Quoc-Cuong Tran, Mai-Khiem Tran, Khanh Nguyen, Van-Tu Ninh, Le Tu-Khiem, Hoang-Phuc Trang-Trung, Hoang-Anh Le, Hai-Dang Nguyen, Trong-Le Do, Viet-Khoa Vo-Ho, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 67-72,2,2020
Cathal Gurrin,VRLE: Lifelog Interaction Prototype in Virtual Reality: Lifelog Search Challenge at ACM ICMR 2020,"Aaron Duane, Björn Þór Jónsson, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 7-12,3,2020
Cathal Gurrin,Voxento: A Prototype Voice-controlled Interactive Search Engine for Lifelogs,"Ahmed Alateeq, Mark Roantree, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 77-81,3,2020
Cathal Gurrin,User interaction for visual lifelog retrieval in a virtual environment,"Aaron Duane, Cathal Gurrin",International Conference on Multimedia Modeling 239-250,4,2019
Cathal Gurrin,Method of recommending broadcasting contents and recommending apparatus therefor in multimedia contents reproducing device,"Chang-Hwan Choi, Noel O’Conner, Jun-Ki Kim, Cathal Gurrin, Sorin Sav",US Patent 10277951,1,2019
Cathal Gurrin,"Imageclef 2019: Multimedia retrieval in lifelogging, medical, nature, and security applications","Bogdan Ionescu, Henning Muller, Renaud Péteri, Duc Tien Dang Nguyen, Luca Piras, Michael Riegler, Minh Triet Tran, Mathias Lux, Cathal Gurrin, Yashin Dicente Cid, Vitali Liauchuk, Vassili Kovalev, Asma Ben Abacha, Sadid A Hasan, Vivek Datla, Joey Liu, Dina Demner-Fushman, Obioma Pelka, Christoph M Friedrich, Jon Chamberlain, Adrian Clark, Alba García Seco De Herrera, Narciso Garcia, Ergina Kavallieratou, Carlos Roberto Del Blanco, Carlos Cuevas, Nikos Vasillopoulos, Konstantinos Karampidis",European Conference on Information Retrieval 301-308,5,2019
Cathal Gurrin,Considering manual annotations in dynamic segmentation of multimodal lifelog data,"Rashmi Gupta, Cathal Gurrin",2019 IEEE International Conference on Pervasive Computing and Communications …,2,2019
Cathal Gurrin,Task Intelligence Workshop@ WSDM 2019,"Ahmed Hassan Awadallah, Cathal Gurrin, Mark Sanderson, Ryen W White",Proceedings of the Twelfth ACM International Conference on Web Search and …,4,2019
Cathal Gurrin,Correction to: MultiMedia Modeling,"Ioannis Kompatsiaris, Benoit Huet, Vasileios Mezaris, Cathal Gurrin, Wen-Huang Cheng, Stefanos Vrochidis",International Conference on Multimedia Modeling C1-C1,0,2019
Cathal Gurrin,Lifer 2.0: Discovering personal lifelog insights using an interactive lifelog retrieval system,"Tu-Ninh Van, Le Tu-Khiem, Liting Zhou, Luca Piras, Michael Riegler, Mathias Lux, Minh Triet Tran, Cathal Gurrin, Duc Tien Dang Nguyen",CLEF,6,2019
Cathal Gurrin,A test collection for interactive lifelog retrieval,"Cathal Gurrin, Klaus Schoeffmann, Hideo Joho, Bernd Munzer, Rami Albatal, Frank Hopfgartner, Liting Zhou, Duc Tien Dang Nguyen",International Conference on Multimedia Modeling 312-324,27,2019
Cathal Gurrin,DCU team at The 2019 Insight for Wellbeing Task: Multimodal personal health lifelog data analysis,"Le Tu-Khiem, Van-Tu Ninh, Liting Zhou, Duc Tien Dang Nguyen, Cathal Gurrin",,0,2019
Cathal Gurrin,Task intelligence workshop@ WSDM,"Ahmed Hassan Awadallah, Cathal Gurrin, Mark Sanderson, Ryen W White",Proceedings of ACM International Conference on Web Search and Data Mining. ACM,2,2019
Cathal Gurrin,Dynamic Segmentation and Retrieval of Daily Life Activities from Multimodal Lifelogs.,"Rashmi Gupta, Cathal Gurrin, P Perner",MLDM (2) 901-915,1,2019
Cathal Gurrin,Overview of MediaEval 2019: Insights for Wellbeing Task Multimodal Personal Health Lifelog Data Analysis,"Minh-Son Dao, Peijiang Zhao, Tomohiro Sato, Koji Zettsu, Duc Tien Dang Nguyen, Cathal Gurrin, Ngoc-Thanh Nguyen",MediaEval2019 Working Notes (CEUR Workshop Proceedings). CEUR-WS. org< http …,6,2019
Cathal Gurrin,Lifeseeker: Interactive lifelog search engine at lsc 2019,"Le Tu-Khiem, Van-Tu Ninh, Duc Tien Dang Nguyen, Minh Triet Tran, Liting Zhou, Pablo Redondo, Sinead Smyth, Cathal Gurrin",Proceedings of the ACM Workshop on Lifelog Search Challenge 37-40,13,2019
Cathal Gurrin,Interactive video retrieval in the age of deep learning,"Jakub Lokoč, Klaus Schoeffmann, Werner Bailer, Luca Rossetto, Cathal Gurrin",Proceedings of the 2019 on International Conference on Multimedia Retrieval 2-4,1,2019
Cathal Gurrin,Panel: Challenges for multimedia/multimodal research in the next decade,"Shih-Fu Chang, Louis-Philippe Morency, Alexander Hauptmann, Alberto Del Bimbo, Cathal Gurrin, Hayley Hung, Heng Ji, Alan F. Smeaton",Proceedings of the 27th ACM International Conference on Multimedia 2234-2235,0,2019
Cathal Gurrin,"Vielens, an interactive search engine for lsc2019","Son P Nguyen, Dien H Le, Uyen H Pham, Martin Crane, Graham Healy, Cathal Gurrin",Proceedings of the ACM Workshop on Lifelog Search Challenge 33-35,2,2019
