Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Dimitar Shterionov,Machine translationese: Effects of algorithmic bias on linguistic complexity in machine translation,"Eva Vanmassenhove, Dimitar Shterionov, Matthew Gwilliam",arXiv preprint arXiv:2102.00287,2,2021
Dimitar Shterionov,A review of the state-of-the-art in automatic post-editing,"Felix Do Carmo, Dimitar Shterionov, Joss Moorkens, Joachim Wagner, Murhaf Hossari, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way",Machine Translation 1-43,4,2020
Dimitar Shterionov,A roadmap to neural automatic post-editing: an empirical approach,"Dimitar Shterionov, Felix Do Carmo, Joss Moorkens, Murhaf Hossari, Joachim Wagner, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way",Machine Translation 34 (2) 67-96,2,2020
Dimitar Shterionov,An investigative study of multi-modal cross-lingual retrieval,"Piyush Arora, Dimitar Shterionov, Yasufumi Moriya, Abhishek Kaushik, Daria Dzendzik, Gareth Jones",Proceedings of the workshop on Cross-Language Search and Summarization of …,1,2020
Dimitar Shterionov,Selecting backtranslated data from multiple sources for improved neural machine translation,"Xabier Soto, Dimitar Shterionov, Alberto Poncelas, Andy Way",arXiv preprint arXiv:2005.00308,5,2020
Dimitar Shterionov,Combining SMT and NMT back-translated data for efficient NMT,"Alberto Poncelas, Maja Popovic, Dimitar Shterionov, Gideon Maillette De Buy Wenniger, Andy Way",arXiv preprint arXiv:1909.03750,11,2019
Dimitar Shterionov,Proceedings of the Second Workshop on Multilingualism at the Intersection of Knowledge Bases and Machine Translation,"Mihael Arcan, Marco Turchi, Jinhua Du, Dimitar Shterionov, Daniel Torregrosa",Proceedings of the Second Workshop on Multilingualism at the Intersection of …,0,2019
Dimitar Shterionov,APE through neural and statistical MT with augmented data. ADAPT/DCU submission to the WMT 2019 APE shared task,"Dimitar Shterionov, Joachim Wagner, Felix Do Carmo",Proceedings of the Fourth Conference on Machine Translation (Volume 3 …,2,2019
Dimitar Shterionov,Towards language-agnostic alignment of product titles and descriptions: a neural approach,"Daniel Stein, Dimitar Shterionov, Andy Way",Companion Proceedings of The 2019 World Wide Web Conference 387-392,1,2019
Dimitar Shterionov,ABI neural ensemble model for gender prediction adapt Bar-ilan submission for the Clin29 shared task on gender prediction,"Eva Vanmassenhove, Amit Moryossef, Alberto Poncelas, Andy Way, Dimitar Shterionov",arXiv preprint arXiv:1902.08856,2,2019
Dimitar Shterionov,Lost in translation: loss and decay of linguistic richness in machine translation,"Eva Vanmassenhove, Dimitar Shterionov, Andy Way",European Association for Machine Translation 1,38,2019
Dimitar Shterionov,When less is more in neural quality estimation of machine translation. An industry case study,"Dimitar Shterionov, Felix Do Carmo, Joss Moorkens, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way",European Association for Machine Translation 2,1,2019
Dimitar Shterionov,ABI Neural Ensemble Model for Gender Prediction.,"Eva Vanmassenhove, Amit Moryossef, Alberto Poncelas, Andy Way, Dimitar Shterionov",GxG@ CLIN 53-61,0,2019
Dimitar Shterionov,"Proceedings of Machine Translation Summit XVII Volume 2: Translator, Project and User Tracks","Mikel Forcada, Andy Way, John Tinsley, Dimitar Shterionov, Celia Rico, Federico Gaspari",Proceedings of Machine Translation Summit XVII Volume 2: Translator Project …,0,2019
