Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Gareth Jones,Cold Start Problem For Automated Live Video Comments,"Hao Wu, François Pitie, Gareth Jones",Proceedings of the Third Workshop on Multimodal Artificial Intelligence 54-62,0,2021
Gareth Jones,Trec 2020 podcasts track overview,"Rosie Jones, Ben Carterette, Ann Clifton, Maria Eskevich, Gareth Jones, Jussi Karlgren, Aasish Pappu, Sravana Reddy, Yongze Yu",arXiv preprint arXiv:2103.15953,3,2021
Gareth Jones,Preface to the Third Workshop on Evaluation of Personalisation in Information Retrieval (WEPIR 2021),"Nicholas J Belkin, Gareth Jones, Noriko Kando, Gabriella Pasi",,0,2021
Gareth Jones,Overview of the Supporting and Understanding of Conversational Dialogues (SUD) Workshop,"Debasis Ganguly, Manisha Verma, Procheta Sen, Dipasree Pal, Gareth Jones",Proceedings of the 14th ACM International Conference on Web Search and Data …,0,2021
Gareth Jones,Report on the CHIIR 2019 Second Workshop on Evaluation of Personalisation in Information Retrieval (WEPIR 2019),"Gareth Jones, Nicholas J Belkin, Seamus Lawless, Gabriella Pasi",ACM SIGIR Forum 53 (1) 29-37,3,2021
Gareth Jones,TRECVID 2020 VIDEO SUMMARIZATION INTRODUCTION AND TASK OVERVIEW* Pilot Task,"Keith Curtis, Gareth Jones",,0,2021
Gareth Jones,A Conceptual Framework for Implicit Evaluation of Conversational Search Interfaces,"Abhishek Kaushik, Gareth Jones",arXiv preprint arXiv:2104.03940,0,2021
Gareth Jones,Chinese Character Decomposition for Neural MT with Multi-Word Expressions,"Lifeng Han, Gareth Jones, Alan F. Smeaton, Paolo Bolzoni",arXiv preprint arXiv:2104.04497,0,2021
Gareth Jones,Exploring current user web search behaviours in analysis tasks to be supported in conversational search,"Abhishek Kaushik, Gareth Jones",arXiv preprint arXiv:2104.04501,4,2021
Gareth Jones,TRECVID 2020: A comprehensive campaign for evaluating video retrieval tasks across multiple application domains,"George Awad, Asad Butt, Keith Curtis, Jonathan Fiscus, Afzad Godil, Yooyoung Lee, Andrew Delgado, Jesse Zhang, Eliot Godard, Baptiste Chocot, Lukas Diduch, Jeffrey Liu, Alan F. Smeaton, Yvette Graham, Gareth Jones, Wessel Kraaij, Georges Quenot",arXiv preprint arXiv:2104.13473,25,2021
Gareth Jones,Translation Quality Assessment: A Brief Survey on Manual and Automatic Methods,"Lifeng Han, Gareth Jones, Alan F. Smeaton",arXiv preprint arXiv:2105.03311,0,2021
Gareth Jones,An investigative study of multi-modal cross-lingual retrieval,"Piyush Arora, Dimitar Shterionov, Yasufumi Moriya, Abhishek Kaushik, Daria Dzendzik, Gareth Jones",Proceedings of the workshop on Cross-Language Search and Summarization of …,1,2020
Gareth Jones,‘Algorithm-Performance Personas’ for Siamese Meta-Learning and Automated Algorithm Selection,"Bryan Tyrrell, Edward Bergman, Gj Jones, Joeran Beel",7th ICML Workshop on Automated Machine Learning (AutoML 2020),1,2020
Gareth Jones,"Working Notes Proceedings of the MediaEval 2019 Workshop, Sophia Antipolis, France, 27-30 October 2019","Martha Larson, Steven Alexander Hicks, Mihai Gabriel Constantin, Benjamin Bischke, Alastair Porter, Peijian Zhao, Mathias Lux, Laura Cabrera Quiros, Jordan Calandre, Gareth Jones",Larson MA; Hicks SA; Constantin MG (ed.) MediaEval 2019: Multimedia …,3,2020
Gareth Jones,DCU-ADAPT at the TREC 2020 Podcasts Track,"Yasufumi Moriya, Gareth Jones",,0,2020
Gareth Jones,Overview of the TREC 2020 Podcasts Track,"Rosie Jones, Ben Carterette, Ann Clifton, Maria Eskevich, Gareth Jones, Jussi Karlgren, Aasish Pappu, Sravana Reddy, Yongze Yu",The 29th Text Retrieval Conference (TREC 2020) notebook. NIST,8,2020
Gareth Jones,DCU at the FIRE 2020 Retrieval from Conversational Dialogues (RCD) task.,"Abhishek Kaushik, Vishal Bhat Ramachandra, Gareth Jones",FIRE (Working Notes) 788-805,1,2020
Gareth Jones,Third Workshop on Evaluation of Personalisation in Information Retrieval (WEPIR 2020) In Memoriam Seamus Lawless,"Gareth Jones, Nicholas J Belkin, Noriko Kando, Gabriella Pasi",Proceedings of the 2020 Conference on Human Information Interaction and …,0,2020
Gareth Jones,An Interface for Agent Supported Conversational Search,"Abhishek Kaushik, Vishal Bhat Ramachandra, Gareth Jones",Proceedings of the 2020 Conference on Human Information Interaction and …,3,2020
Gareth Jones,MultiMWE: Building a Multi-lingual Multi-Word Expression (MWE) Parallel Corpora,"Lifeng Han, Gareth Jones, Alan F. Smeaton",arXiv preprint arXiv:2005.10583,5,2020
Gareth Jones,Kernel Density Estimation based Factored Relevance Model for Multi-Contextual Point-of-Interest Recommendation,"Anirban Chakraborty, Debasis Ganguly, Annalina Caputo, Gareth Jones",arXiv preprint arXiv:2006.15679,1,2020
Gareth Jones,The Curious Case of IR Explainability: Explaining Document Scores within and across Ranking Models,"Procheta Sen, Debasis Ganguly, Manisha Verma, Gareth Jones",Proceedings of the 43rd International ACM SIGIR Conference on Research and …,0,2020
Gareth Jones,AlphaMWE: Construction of Multilingual Parallel Corpora with MWE Annotations,"Lifeng Han, Gareth Jones, Alan F. Smeaton",arXiv preprint arXiv:2011.03783,2,2020
Gareth Jones,"100,000 Podcasts: A Spoken English Document Corpus","Ann Clifton, Sravana Reddy, Yongze Yu, Aasish Pappu, Rezvaneh Rezapour, Hamed Bonab, Maria Eskevich, Gareth Jones, Jussi Karlgren, Ben Carterette, Rosie Jones",Proceedings of the 28th International Conference on Computational …,10,2020
Gareth Jones,Evaluating Professional Search: A German Construction Law Use Case,"Wei Li, Gareth Jones",Forum for Information Retrieval Evaluation 66-70,0,2020
Gareth Jones,Response to LiveBot: Generating Live Video Comments Based on Visual and Textual Contexts,"Hao Wu, Gareth Jones, Francois Pitie",arXiv preprint arXiv:2006.03022,1,2020
Gareth Jones,Estimating gaussian mixture models in the local neighbourhood of embedded word vectors for query performance prediction,"Dwaipayan Roy, Debasis Ganguly, Mandar Mitra, Gareth Jones",Information Processing & Management 56 (3) 1026-1045,9,2019
Gareth Jones,DCU-ADAPT at MediaEval 2019: GameStory,"Yasufumi Moriya, Gareth Jones",,0,2019
Gareth Jones,MediaEval 2019: Eyes and Ears Together,"Yasufumi Moriya, Ramon Sanabria, Florian Metze, Gareth Jones",,0,2019
Gareth Jones,DCU-ADAPT at MediaEval 2019: Eyes and Ears Together,"Yasufumi Moriya, Gareth Jones",,0,2019
Gareth Jones,Report on the Second Workshop on Exploitation of Social Media for Emergency Relief and Preparedness (SMERP 2018) at the Web Conference (WWW) 2018,"Saptarshi Ghosh, Kripabandhu Ghosh, Debasis Ganguly, Tanmoy Chakraborty, Gareth Jones, Marie-Francine Moens",ACM SIGIR Forum 52 (2) 163-168,0,2019
Gareth Jones,Second Workshop on Evaluation of Personalisation in Information Retrieval (WEPIR 2019),"Gareth Jones, Nicholas J Belkin, Seamus Lawless, Gabriella Pasi",Proceedings of the 2019 Conference on Human Information Interaction and …,1,2019
Gareth Jones,Studying Online and Offline Evaluation Measures: A Case Study Based on the NTCIR-14 OpenLiveQ-2 Task,"Piyush Arora, Gareth Jones",NII Conference on Testbeds and Community for Information Access Research 70-82,0,2019
Gareth Jones,Multimodal Speaker Adaptation of Acoustic Model and Language Model for Asr Using Speaker Face Embedding,"Yasufumi Moriya, Gareth Jones",ICASSP 2019-2019 IEEE International Conference on Acoustics Speech and …,1,2019
Gareth Jones,Word-Node2Vec: Improving Word Embedding with Document-Level Non-Local Word Co-occurrences,"Procheta Sen, Debasis Ganguly, Gareth Jones",Proceedings of the 2019 Conference of the North American Chapter of the …,4,2019
Gareth Jones,DCU at the NTCIR-14 OpenLiveQ-2 task,"Piyush Arora, Gareth Jones",NTCIR-14 Conference,3,2019
Gareth Jones,Grounding object detections with transcriptions,"Yasufumi Moriya, Ramon Sanabria, Florian Metze, Gareth Jones",arXiv preprint arXiv:1906.06147,4,2019
Gareth Jones,Overview of the CLEF 2019 personalised information retrieval lab (PIR-CLEF 2019),"Gabriella Pasi, Gareth Jones, Lorraine Goeuriot, Liadh Kelly, Stefania Marrara, Camilla Sanvitto",International Conference of the Cross-Language Evaluation Forum for European …,6,2019
Gareth Jones,About Sound and Vision: CLEF Beyond Text Retrieval Tasks,Gareth Jones,Information Retrieval Evaluation in a Changing World 307-329,1,2019
