Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Graham Healy,A VR Interface for Browsing Visual Spaces at VBS2021,"Ly-Duyen Tran, Manh-Duy Nguyen, Thao-Nhu Nguyen, Graham Healy, Annalina Caputo, Binh T Nguyen, Cathal Gurrin",International Conference on Multimedia Modeling 490-495,0,2021
Graham Healy,The Influence of Audio on Video Memorability with an Audio Gestalt Regulated Video Memorability System,"Lorin Sweeney, Graham Healy, Alan F. Smeaton",arXiv preprint arXiv:2104.11568,0,2021
Graham Healy,Lifeseeker 2.0: Interactive lifelog search engine at lsc 2020,"Le Tu-Khiem, Van-Tu Ninh, Minh Triet Tran, Thanh-An Nguyen, Hai-Dang Nguyen, Liting Zhou, Graham Healy, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 57-62,4,2020
Graham Healy,The Neuroscience of Trust Violation,"Lisa Van Der Werff, Deirdre O’Shea, Graham Healy, Finian Buckley, Colette Real, Michael Keane, Theo Lynn",Academy of Management Proceedings 2020 (1) 17037,0,2020
Graham Healy,Organiser Team at ImageCLEFlifelog 2020: A Baseline Approach for Moment Retrieval and Athlete Performance Prediction using Lifelog Data.,"Le Tu-Khiem, Van-Tu Ninh, Liting Zhou, Minh-Huy Nguyen-Ngoc, Huu-Duc Trinh, Nguyen-Hien Tran, Luca Piras, Michael Riegler, Pål Halvorsen, Mathias Lux, Minh Triet Tran, Graham Healy, Cathal Gurrin, Duc Tien Dang Nguyen",CLEF (Working Notes),0,2020
Graham Healy,DCU team at the NTCIR-15 Micro-activity Retrieval Task,"Le Tu-Khiem, Manh-Duy Nguyen, Ly-Duyen Tran, Van-Tu Ninh, Cathal Gurrin, Graham Healy",Proceedings of the NTCIR-15 Conference,1,2020
Graham Healy,Predicting Cervical Cancer using Machine Learning Methods,"Riham Alsmariy, Graham Healy, Hoda Abdelhafez",IJACSA thesia. org,1,2020
Graham Healy,A Neuro-AI interface for evaluating generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",Bridging AI and Cognitive Science (BAICS),2,2020
Graham Healy,Synthetic-Neuroscore: Using a neuro-AI interface for evaluating generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",Neurocomputing,7,2020
Graham Healy,Experiences and insights from the collection of a novel multimedia EEG dataset,"Graham Healy, Zhengwei Wang, Tomas Ward, Alan F. Smeaton, Cathal Gurrin",International Conference on Multimedia Modeling 475-486,4,2020
Graham Healy,Experiments in Lifelog Organisation and Retrieval at NTCIR,"Cathal Gurrin, Hideo Joho, Frank Hopfgartner, Liting Zhou, Rami Albatal, Graham Healy, Duc-Tien Dang Nguyen",Evaluating Information Retrieval and Access Tasks 187-203,1,2020
Graham Healy,Contrastive representation learning: A framework and review,"Phuc H Le-Khac, Graham Healy, Alan F. Smeaton",IEEE Access,29,2020
Graham Healy,Real Time Blind Audio Source Separation Based on Machine Learning Algorithms,"Arwa Alghamdi, Graham Healy, Hoda Abdelhafez",2020 2nd Novel Intelligent and Leading Emerging Sciences Conference (NILES …,0,2020
Graham Healy,Overview of NTCIR-15 MART,"Graham Healy, Le Tu-Khiem, Hideo Joho, Frank Hopfgartner, Cathal Gurrin",NTCIR-15: Evaluation of Information Access Technologies,4,2020
Graham Healy,Finding Short Lived Events on Social Media,"David Kilroy, Simon Caton, Graham Healy",Proceedings of The 28th Irish Conference on Artificial Intelligence and …,0,2020
Graham Healy,An Investigation of Transfer Learning for a Lifelog Dataset,"Graham Healy Akanksha Rajpute, Tejal Nijai",Proceedings of The 28th Irish Conference on Artificial Intelligence and …,0,2020
Graham Healy,Investigating Memorability of Dynamic Media,"Phuc H Le-Khac, Ayush K Rai, Graham Healy, Alan F. Smeaton, Noel O’Connor",arXiv preprint arXiv:2012.15641,0,2020
Graham Healy,Leveraging Audio Gestalt to Predict Media Memorability,"Lorin Sweeney, Graham Healy, Alan F. Smeaton",arXiv preprint arXiv:2012.15635,1,2020
Graham Healy,Use of Neural Signals to Evaluate the Quality of Generative Adversarial Network Performance in Facial Image Generation,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomas Ward",Cognitive Computation,20,2019
Graham Healy,A Baseline Interactive Retrieval Engine for Visual Lifelogs at the NTCIR-14 Lifelog-3 Task,"Van-Tu Ninh, Le Tu-Khiem, Liting Zhou, Graham Healy, Kaushik Venkataraman, Minh Triet Tran, Duc Tien Dang Nguyen, Sinead Smyth, Cathal Gurrin",NII Conference on Testbeds and Community for Information Access Research 29-41,0,2019
Graham Healy,Advances in lifelog data organisation and retrieval at the ntcir-14 lifelog-3 task,"Cathal Gurrin, Hideo Joho, Frank Hopfgartner, Liting Zhou, Van-Tu Ninh, Le Tu-Khiem, Rami Albatal, Duc Tien Dang Nguyen, Graham Healy",NII Conference on Testbeds and Community for Information Access Research 16-28,5,2019
Graham Healy,"Vielens, an interactive search engine for lsc2019","Son P Nguyen, Dien H Le, Uyen H Pham, Martin Crane, Graham Healy, Cathal Gurrin",Proceedings of the ACM Workshop on Lifelog Search Challenge 33-35,2,2019
Graham Healy,Spatial filtering pipeline evaluation of cortically coupled computer vision system for rapid serial visual presentation,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomas Ward",Brain-Computer Interfaces 5 32–145,3,2019
Graham Healy,Neuroscore: A brain-inspired evaluation metric for generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",arXiv preprint arXiv:1905.04243,8,2019
Graham Healy,Overview of the NTCIR-14 Lifelog-3 Task,"Cathal Gurrin, Hideo Joho, Frank Hopfgartner, Liting Zhou, Van-Tu Ninh, Le Tu-Khiem, Rami Albatal, Duc Tien Dang Nguyen, Graham Healy",The 14th NTCIR Conference Evaluation of Information Access Technologies,85,2019
Graham Healy,A baseline interactive retrieval engine for the nticr-14 lifelog-3 semantic access task,"Van-Tu Ninh, Le Tu-Khiem, Liting Zhou, Graham Healy, Minh Triet Tran, Duc Tien Dang Nguyen, Sinead Smyth, Cathal Gurrin",The Fourteenth NTCIR Conference (NTCIR-14),8,2019
