Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Jennifer Foster,Naive Bayes versus BERT: Jupyter notebook assignments for an introductory NLP course,"Jennifer Foster, Joachim Wagner",Proceedings of the Fifth Workshop on Teaching NLP 112-114,0,2021
Jennifer Foster,English Machine Reading Comprehension Datasets: A Survey,"Daria Dzendzik, Carl Vogel, Jennifer Foster",arXiv preprint arXiv:2101.10421,0,2021
Jennifer Foster,Annotating Verbal MWEs in Irish for the PARSEME Shared Task 1.2,"Abigail Walsh, Teresa Lynn, Jennifer Foster",Proceedings of the Joint Workshop on Multiword Expressions and Electronic …,0,2020
Jennifer Foster,Improving Document-Level Sentiment Analysis with User and Product Context,"Chenyang Lyu, Jennifer Foster, Yvette Graham",arXiv preprint arXiv:2011.09210,0,2020
Jennifer Foster,How to Make Neural Natural Language Generation as Reliable as Templates in Task-Oriented Dialogue,"Henry Elder, Alexander O’Connor, Jennifer Foster",Proceedings of the 2020 Conference on Empirical Methods in Natural Language …,2,2020
Jennifer Foster,Q. Can Knowledge Graphs be used to Answer Boolean Questions? A. It’s complicated!,"Daria Dzendzik, Carl Vogel, Jennifer Foster",Proceedings of the First Workshop on Insights from Negative Results in NLP 6-14,0,2020
Jennifer Foster,The ADAPT Enhanced Dependency Parser at the IWPT 2020 Shared Task,"James Barry, Joachim Wagner, Jennifer Foster",arXiv preprint arXiv:2009.01712,0,2020
Jennifer Foster,Shape of synth to come: Why we should use synthetic data for English surface realization,"Henry Elder, Robert Burke, Alexander O’Connor, Jennifer Foster",arXiv preprint arXiv:2005.02693,3,2020
Jennifer Foster,Treebank embedding vectors for out-of-domain dependency parsing,"Joachim Wagner, James Barry, Jennifer Foster",arXiv preprint arXiv:2005.00800,5,2020
Jennifer Foster,Cross-lingual Parsing with Polyglot Training and Multi-treebank Learning: A Faroese Case Study,"James Barry, Joachim Wagner, Jennifer Foster",arXiv preprint arXiv:1910.07938,2,2019
Jennifer Foster,Ilfhocail: A Lexicon of Irish MWEs,"Abigail Walsh, Teresa Lynn, Jennifer Foster",Proceedings of the Joint Workshop on Multiword Expressions and WordNet (MWE …,1,2019
Jennifer Foster,Fact or factitious? Contextualized opinion spam detection,"Stefan Kennedy, Niall Walsh, Kirils Sloka, Jennifer Foster, Andrew McCarren",ACL Student Research Workshop,10,2019
Jennifer Foster,Is it Dish Washer Safe? Automatically Answering “Yes/No” Questions using Customer Reviews,"Daria Dzendzik, Carl Vogel, Jennifer Foster",Proceedings of the 2019 Conference of the North American Chapter of the …,1,2019
Jennifer Foster,Designing a symbolic intermediate representation for neural surface realization,"Henry Elder, Jennifer Foster, James Barry, Alexander O’Connor",arXiv preprint arXiv:1905.10486,7,2019
