Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Long Cheng,An Edge 3D CNN Accelerator for Low Power Activity Recognition,"Ying Wang, Yongchen Wang, Cong Shi, Long Cheng, Huawei Li, Xiaowei Li",IEEE Transactions on Computer-Aided Design of Integrated Circuits and …,0,2021
Long Cheng,Sampling business process event logs using graph‐based ranking model,"Cong Liu, Yulong Pei, Long Cheng, Qingtian Zeng, Hua Duan",Concurrency and Computation: Practice and Experience 33 (5) e5974,5,2021
Long Cheng,Deep reinforcement learning for communication flow control in wireless mesh networks,"Qingzhi Liu, Long Cheng, Adele Lu Jia, Cong Liu",IEEE Network 35 (2) 112-119,1,2021
Long Cheng,MPC-CSAS: Multi-Party Computation for Real-Time Privacy-Preserving Speed Advisory Systems,"Mingming Liu, Long Cheng, Yingqi Gu, Ying Wang, Qingzhi Liu, Noel O’Connor",IEEE Transactions on Intelligent Transportation Systems,0,2021
Long Cheng,Measuring Similarity for Data-Aware Business Processes,"Cong Liu, Qingtian Zeng, Long Cheng, Hua Duan, Jiujun Cheng",IEEE Transactions on Automation Science and Engineering,0,2021
Long Cheng,Network-Aware Locality Scheduling for Distributed Data Operators in Data Centers,"Long Cheng, Ying Wang, Qingzhi Liu, Dick Epema, Cheng Liu, Ying Mao, John Murphy",IEEE Transactions on Parallel and Distributed Systems 32 (6) 1494-1510,1,2021
Long Cheng,Cluster-based flow control in hybrid software-defined wireless sensor networks,"Qingzhi Liu, Long Cheng, Renan Alves, Tanir Ozcelebi, Fernando Kuipers, Guixian Xu, Johan Lukkien, Shanzhi Chen",Computer Networks 187,1,2021
Long Cheng,Scalable Discovery of Hybrid Process Models in a Cloud Computing Environment,"Long Cheng, Boudewijn Van Dongen, Wil Van Der Aalst",IEEE Transactions on Services Computing 13 (2) 368 - 380,16,2020
Long Cheng,A Low-Cost Multi-Failure Resilient Replication Scheme for High-Data Availability in Cloud Storage,"Jinwei Liu, Haiying Shen, Hongmei Chi, Husnu S Narman, Yongyi Yang, Long Cheng, Wingyan Chung",IEEE/ACM Transactions on Networking,35,2020
Long Cheng,A woa-based optimization approach for task scheduling in cloud computing systems,"Xuan Chen, Long Cheng, Cong Liu, Qingzhi Liu, Jinwei Liu, Ying Mao, John Murphy",IEEE Systems Journal 14 (3) 3117-3128,24,2020
