Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Malika Bendechache,Brain tumor segmentation based on deep learning and an attention mechanism using MRI multi-modalities brain images,"Ramin Ranjbarzadeh, Abbas Bagherian Kasgari, Saeid Jafarzadeh Ghoushchi, Shokofeh Anari, Maryam Naseri, Malika Bendechache",Scientific Reports 11 (1) 1-17,0,2021
Malika Bendechache,Lung infection segmentation for COVID-19 Pneumonia based on a cascade convolutional network from CT images,"Ramin Ranjbarzadeh, Saeid Jafarzadeh Ghoushchi, Malika Bendechache, Amir Amirabadi, Mohd Nizam Ab Rahman, Soroush Baseri Saadi, Amirhossein Aghamohammadi, Mersedeh Kooshki Forooshani",BioMed Research International 2021,1,2021
Malika Bendechache,Simulating and Evaluating a Real-World ElasticSearch System Using the RECAP DES Simulator,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Adrian Mihai, Theo Lynn",Future Internet 13 (4) 83,0,2021
Malika Bendechache,A Review of Current Machine Learning Approaches for Anomaly Detection in Network Traffic,"Wasim Ahmed Ali, Kn Manasa, Mohammed Aljunid, Malika Bendechache, P Sandhya",Journal of Telecommunications and the Digital Economy 8 (4) 64-95,3,2020
Malika Bendechache,Simulating resource management across the cloud-to-thing continuum: A survey and future directions,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Theo Lynn",Future Internet 12 (6) 95,7,2020
Malika Bendechache,Towards an automatic data value analysis method for relational databases,"Malika Bendechache, Nihar Sudhanshu Limaye, Rob Brennan",,1,2020
Malika Bendechache,Application of blockchain technology to 5G-enabled vehicular networks: survey and future directions,"Malika Bendechache, Takfarinas Saber, Gabriela Magureanu, Irina Tal",IEEE,3,2020
Malika Bendechache,Simulating Across the Cloud-to-Edge Continuum,"Minas Spanopoulos-Karalexidis, Christos Filelis Papadopoulo, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Theo Lynn",Managing Distributed Cloud Applications and Infrastructure 93-115,1,2020
Malika Bendechache,Orchestration from the Cloud to the Edge,"Sergej Svorobej, Malika Bendechache, Frank Griesinger, Jörg Domaschka",The Cloud-to-Thing Continuum 61-77,2,2020
Malika Bendechache,Detecting human activities based on a multimodal sensor data set using a bidirectional long short-term memory model: a case study,"Silvano Ramos De Assis Neto, Guto Leoni Santos, Elisson Da Silva Rocha, Malika Bendechache, Pierangelo Rosati, Theo Lynn, Patricia Takako Endo",Challenges and Trends in Multimodal Fall Detection for Healthcare 31-51,4,2020
Malika Bendechache,Towards simulation and optimization of cache placement on large virtual content distribution networks,"Christos Filelis Papadopoulo, Patricia Takako Endo, Malika Bendechache, Sergej Svorobej, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, James Byrne, Theo Lynn",Journal of Computational Science 39 101052,2,2020
Malika Bendechache,Analysing dependability and performance of a real-world Elastic Search application,"Malika Bendechache, Ivanovitch Silva, Guto Leoni Santos, Luiz Affonso Guedes, Sergej Svorobej, Mario Macías, M Eduardo Ares, James Byrne, Patricia Takako Endo, Theo Lynn",2019 9th Latin-American Symposium on Dependable Computing (LADC) 1-8,0,2019
Malika Bendechache,Parallel and distributed clustering framework for big spatial data mining,"Malika Bendechache, A-Kamel Tari, M-Tahar Kechadi",International Journal of Parallel Emergent and Distributed Systems 34 (6 …,15,2019
Malika Bendechache,Modelling and simulation of ElasticSearch using CloudSim,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Mario Macías, M Eduardo Ares, James Byrne, Theo Lynn",2019 IEEE/ACM 23rd International Symposium on Distributed Simulation and …,6,2019
Malika Bendechache,Simulating fog and edge computing scenarios: An overview and research challenges,"Sergej Svorobej, Patricia Takako Endo, Malika Bendechache, Christos Filelis Papadopoulo, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, James Byrne, Theo Lynn",Future Internet 11 (3) 55,54,2019
