Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Marija Bezbradica,Explainable sentiment analysis application for social media crisis management in retail,"Douglas Cirqueira, Fernando Almeida, Gültekin Cakir, Antonio Jacob, Fabio Lobato, Marija Bezbradica, Markus Helfert",ScitePress,0,2020
Marija Bezbradica,Scenario-based requirements elicitation for user-centric explainable ai,"Douglas Cirqueira, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",International Cross-Domain Conference for Machine Learning and Knowledge …,5,2020
Marija Bezbradica,Retail Strategy in the Age of Retail Apocalypse–Exploring the Role of Customer Experience Orientation on Retail Performance,"Gültekin Cakir, Marija Bezbradica, Markus Helfert",,0,2020
Marija Bezbradica,Who Wants to Use an Augmented Reality Shopping Assistant Application?,"Daniel Mora, Robert Zimmermann, Douglas Cirqueira, Marija Bezbradica, Markus Helfert, Andreas Auinger, Dirk Werth",,0,2020
Marija Bezbradica,Scenario-Based Requirements Elicitation for User-Centric Explainable AI,Marija Bezbradica,Machine Learning and Knowledge Extraction: 4th IFIP TC 5 TC 12 WG 8.4 WG …,0,2020
Marija Bezbradica,Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",Release and Bioavailability of Nanoencapsulated Food Ingredients 273-309,0,2020
Marija Bezbradica,Predicting Students’ Academic Performance and Main Behavioral Features Using Data Mining Techniques,"Suad Almutairi, Hadil Shaiba, Marija Bezbradica",International Conference on Computing 245-259,4,2019
Marija Bezbradica,Received Total Wideband Power Data Analysis: Multiscale wavelet analysis of RTWP data in a 3G network,"John Garrigan, Martin Crane, Marija Bezbradica",Proceedings of the 22nd International ACM Conference on Modeling Analysis …,0,2019
Marija Bezbradica,AI Cloud-Based Smart Manufacturing and 3D Printing Techniques for Future In-House Production,"Mohammed Saeed Jawad, Marija Bezbradica, Martin Crane, Mohammed Khalil Alijel",2019 International Conference on Artificial Intelligence and Advanced …,2,2019
Marija Bezbradica,Towards preprocessing guidelines for neural network embedding of customer behavior in digital retail,"Douglas Cirqueira, Markus Helfert, Marija Bezbradica",Proceedings of the 2019 3rd International Symposium on Computer Science and …,5,2019
Marija Bezbradica,Customer purchase behavior prediction in e-commerce: a conceptual framework and research agenda,"Douglas Cirqueira, Markus Hofer, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",International Workshop on New Frontiers in Mining Complex Patterns 119-136,5,2019
Marija Bezbradica,The role of user emotions for content personalization in e-commerce: literature review,"Artem Bielozorov, Marija Bezbradica, Markus Helfert",International Conference on Human-Computer Interaction 177-193,6,2019
Marija Bezbradica,The Shift from financial to non-financial measures during transition into digital retail–a systematic literature review,"Gültekin Cakir, Marija Bezbradica, Markus Helfert",International conference on business information systems 189-200,5,2019
Marija Bezbradica,Understanding urban mobility and pedestrian movement,"Marija Bezbradica, Heather J. Ruskin",Smart Urban Development,1,2019
Marija Bezbradica,"Customer Purchase Behavior Prediction in E-commerce: Current Tasks, Applications and Methodologies","Douglas Cirqueira, Markus Hofer, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",International Workshop New Frontiers in Mining Complex Patterns,1,2019
