Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Martin Crane,GDPR Compliance tools: best practice from RegTech,"Paul Ryan, Martin Crane, Rob Brennan",Springer International Publishing,1,2021
Martin Crane,Assessing the impact of HIV treatment interruptions using stochastic cellular Automata,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",Journal of theoretical biology 502 110376,4,2020
Martin Crane,Cross-Correlation Dynamics and Community Structures of Cryptocurrencies,"Harshal Chaudhari, Martin Crane",Journal of Computational Science 44 (July) 101130,1,2020
Martin Crane,Design Challenges for GDPR RegTech,"Paul Ryan, Martin Crane, Rob Brennan",arXiv preprint arXiv:2005.12138,8,2020
Martin Crane,Considerations on privacy in the era of digitally logged lives,"Rashmi Gupta, Martin Crane, Cathal Gurrin",Online Information Review,2,2020
Martin Crane,Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",Release and Bioavailability of Nanoencapsulated Food Ingredients 273-309,0,2020
Martin Crane,Employee Turnover Prediction Using Machine Learning,"Lama Alaskar, Martin Crane, Mai Alduailij",International Conference on Computing 301-316,2,2019
Martin Crane,Received Total Wideband Power Data Analysis: Multiscale wavelet analysis of RTWP data in a 3G network,"John Garrigan, Martin Crane, Marija Bezbradica",Proceedings of the 22nd International ACM Conference on Modeling Analysis …,0,2019
Martin Crane,AI Cloud-Based Smart Manufacturing and 3D Printing Techniques for Future In-House Production,"Mohammed Saeed Jawad, Marija Bezbradica, Martin Crane, Mohammed Khalil Alijel",2019 International Conference on Artificial Intelligence and Advanced …,2,2019
Martin Crane,Computer‐based approach to detect wrinkles and suggest facial fillers,"Amal Alrabiah, Mai Alduailij, Martin Crane",Int J Adv Comput Sci Appl 10 (9),1,2019
Martin Crane,Efficient Computational Models for assessment of Spatial Infection Features,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",2019 International Conference on High Performance Computing & Simulation …,1,2019
Martin Crane,Improving Confidence in Simulations through the Application of Multiple Updating Strategies,"Joseph Kehoe, Martin Crane, Heather J. Ruskin",2019 International Conference on High Performance Computing & Simulation …,0,2019
Martin Crane,Financial Time Series: Motif Discovery and Analysis Using VALMOD,"Eoin Cartwright, Martin Crane, Heather J. Ruskin",International Conference on Computational Science 771-778,3,2019
Martin Crane,"Vielens, an interactive search engine for lsc2019","Son P Nguyen, Dien H Le, Uyen H Pham, Martin Crane, Graham Healy, Cathal Gurrin",Proceedings of the ACM Workshop on Lifelog Search Challenge 33-35,2,2019
Martin Crane,Analysis of Cryptocurrency Commodities with Motifs and LSTM.,"Benjamin Barry, Martin Crane",AICS 28-39,0,2019
