Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Murat YILMAZ,Anti-Social: Bireylerin Sosyal Medya Bağımlılığını Azaltmak Amacıyla Düşünülmüş Bir Ciddi Oyun,"Ulaş Güleç, Murat Yilmaz, Can Koral Adalı, Veysi İşler",13. Ulusal Yazılım Mühendisliği Sempozyumu (UYMS 2019),0,2019
Murat YILMAZ,Applying blockchain to improve the integrity of the software development process,"Murat Yilmaz, Serdar Tasel, Eray Tuzun, Ulas Gulec, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 260-271,5,2019
Murat YILMAZ,The changing role of the software engineer,"Edward Meade, Emma O’Keeffe, Niall Lyons, Dean Lynch, Murat Yilmaz, Ulas Gulec, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 682-694,3,2019
Murat YILMAZ,Assessing personality traits in a large scale software development company: exploratory industrial case study,"Zulal Akarsu, Pinar Orgun, Hakan Dinc, Bora Gunyel, Murat Yilmaz",European Conference on Software Process Improvement 192-206,2,2019
Murat YILMAZ,Cengo: A web-based serious game to increase the programming knowledge levels of computer engineering students,"Ulas Gulec, Murat Yilmaz, Alihan Dogus Yalcin, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 237-248,3,2019
Murat YILMAZ,Software testing: a changing career,"Sean Cunningham, Jemil Gambo, Aidan Lawless, Declan Moore, Murat Yilmaz, Paul M. Clarke, Rory O’Connor",European Conference on Software Process Improvement 731-742,3,2019
Murat YILMAZ,A 3D virtual environment for training soccer referees,"Ulas Gulec, Murat Yilmaz, Veysi Isler, Rory O’Connor, Paul M. Clarke",Computer Standards & Interfaces 64 1-10,18,2019
Murat YILMAZ,Guest Editorial: Gamification and Persuasive Games for Software Engineering,"Murat Yilmaz, Rory O’Connor, Ricardo Colomo Palacios, Paul M. Clarke",IET SOFTWARE 13 (2) 97-98,0,2019
Murat YILMAZ,Auction-based serious game for bug tracking,"Çağdaş Üsfekes, Eray Tuzun, Murat Yilmaz, Yagup Macit, Paul M. Clarke",IET Software 13 (5) 386-392,2,2019
Murat YILMAZ,Yazılım Uzmanları için Tasarlanmış Dijital Olmayan İş Birliği Oyunu,"Hazal Ipek Kahraman, Yasemin Bekturk, Irmak Angun, Yasemin Yigit Kuru, Murat Yilmaz",13. Ulusal Yazılım Mühendisliği Sempozyumu (UYMS 2019),0,2019
Murat YILMAZ,CENGO: A Web-Based Serious Game to Increase the Programming Knowledge Levels of Computer Engineering Students,"Ulas Gulec, Murat Yilmaz, Alihan Dogus Yalcin, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 1060 237--248,3,2019
Murat YILMAZ,Assessing Personality Traits in a Large Scale Software Development Company: Exploratory Industrial Case Study,"Zulal Akarsu, Pinar Orgun, Gunyel Bora Dinc Hakan, Murat Yilmaz",Systems Software and Services Process Improvement: 26th European Conference …,2,2019
Murat YILMAZ,Observed Effects of Software Processes Change in Three Software Firms: Industrial Exploratory Case Study,Murat Yilmaz,Pamukkale Üniversitesi Mühendislik Bilimleri Dergisi 25 (2) 240-246,2,2019
Murat YILMAZ,Integration of accessibility design patterns with the software implementation process of ISO/IEC 29110,"Sandra Sanchez‐Gordon, Mary Sánchez‐Gordón, Murat Yilmaz, Rory O’Connor",Journal of Software: Evolution and Process 31 (1) e1987,11,2019
