Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Paul M. Clarke,Summary of the 1st ICSSP-ICGSE Joint Event,"Paolo Tell, David Raffo, Liguo Huang, Igor Steinmacher, Ricardo Britto, Eray Tuzun, Paul M. Clarke",ACM SIGSOFT Software Engineering Notes 45 (4) 31-34,0,2020
Paul M. Clarke,Agile Software Development–Do We Really Calculate the Costs? A Multivocal Literature Review,"Aidan Fogarty, Aaron Edgeworth, Oishin Smith, Michael Dowling, Murat Yilmaz, Silvana Togneri Mac Mahon, Paul M. Clarke",European Conference on Software Process Improvement 203-219,0,2020
Paul M. Clarke,A Multivocal Literature Review of Function-as-a-Service (FaaS) Infrastructures and Implications for Software Developers,"Jake Grogan, Connor Mulready, James Mcdermott, Martynas Urbanavicius, Murat Yilmaz, Yalemisew Abgaz, Andrew McCarren, Silvana Togneri Mac Mahon, Vahid Garousi, Peter Elger, Paul M. Clarke",European Conference on Software Process Improvement 58-75,0,2020
Paul M. Clarke,"Visualization, Monitoring and Control Techniques for Use in Scrum Software Development: An Analytic Hierarchy Process Approach","Nesib Tekin, Mehmet Kosa, Murat Yilmaz, Paul M. Clarke, Vahid Garousi",European Conference on Software Process Improvement 45-57,0,2020
Paul M. Clarke,Assessing Application Lifecycle Management (ALM) Potentials from an Industrial Perspective,"Zuleyha Akgun, Murat Yilmaz, Paul M. Clarke",European Conference on Software Process Improvement 326-338,0,2020
Paul M. Clarke,Proceedings ACM/IEEE International Conference on System and Software Processes (ICSSP) 2020,"Paul M. Clarke, E Tuzun",,0,2020
Paul M. Clarke,"Systems, Software and Services Process Improvement: 27th European Conference, EuroSPI 2020, Düsseldorf, Germany, September 9-11, 2020, Proceedings","Richard Messnarz, Murat Yilmaz, Jörg Niemann, Paul M. Clarke",Springer Nature,0,2020
Paul M. Clarke,"Proceedings 27th European Conference, EuroSPI 2020, Düsseldorf, Germany, September 9–11, 2020,","R. Yilmaz, M., Niemann, J., Paul M. Clarke, Paul M. Clarke, Messnarz",,0,2020
Paul M. Clarke,A systematic examination of knowledge loss in open source software projects,"Mehvish Rashid, Paul M. Clarke, Rory O’Connor",International Journal of Information Management 46 104-123,25,2019
Paul M. Clarke,Interactive three-dimensional virtual environment to reduce the public speaking anxiety levels of novice software engineers,"Veysi Isler, M Denizci Nazligul, Murat Yilmaz, Ulas Gulec, Ae Yilmaz, Rory O’Connor, Ma Gozcu, Paul M. Clarke",INST ENGINEERING TECHNOLOGY-IET,8,2019
Paul M. Clarke,A 3D virtual environment for training soccer referees,"Veysi Isler, Paul M. Clarke, Rory O’Connor, Murat Yilmaz, Ulas Gulec",ELSEVIER SCIENCE BV,0,2019
Paul M. Clarke,An Auction-Based Serious Game for Bug Tracking,"Cagdas Usfekes, Murat Yilmaz, Eray Tuzun, Yagup Macit, Paul M. Clarke",IET Software,2,2019
Paul M. Clarke,Guest Editorial: Gamification and Persuasive Games for Software Engineering,"Murat Yilmaz, Rory O’Connor, Ricardo Colomo Palacios, Paul M. Clarke",IET SOFTWARE 13 (2) 97-98,0,2019
Paul M. Clarke,2019 IEEE/ACM International Conference on Software and System Processes,"Sutton S. M. Jr. Hebig, R., Armbrust, O., Paul M. Clarke, Paul M. Clarke",,0,2019
Paul M. Clarke,The Changing Role of the Software Engineer,"Edward Meade, Emma O’Keeffe, Niall Lyons, Dean Lynch, Murat Yilmaz, Ulas Gulec, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 682-694,3,2019
Paul M. Clarke,Software Testing: A Changing Career,"Sean Cunningham, Jemil Gambo, Aidan Lawless, Declan Moore, Murat Yilmaz, Paul M. Clarke, Rory O’Connor",European Conference on Software Process Improvement 731-742,3,2019
Paul M. Clarke,CENGO: A Web-Based Serious Game to Increase the Programming Knowledge Levels of Computer Engineering Students,"Ulas Gulec, Murat Yilmaz, Alihan Dogus Yalcin, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 237-248,3,2019
Paul M. Clarke,Examining Unequal Gender Distribution in Software Engineering,"Alex Murphy, Ben Kelly, Kai Bergmann, Kyrylo Khaletskyy, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 659-671,4,2019
Paul M. Clarke,Applying Blockchain to Improve the Integrity of the Software Development Process,"Murat Yilmaz, Serdar Tasel, Eray Tuzun, Ulas Gulec, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 260-271,5,2019
Paul M. Clarke,Summary of the 2019 International Conference on Software and System Processes (ICSSP 2019),"Stanley Sutton, Ove Armbrust, Regina Hebig, Paul M. Clarke",ACM SIGSOFT Software Engineering Notes 44 (3) 4,0,2019
Paul M. Clarke,A mechanism to explore proactive knowledge retention in open source software communities,"Mehvish Rashid, Paul M. Clarke, Rory O’Connor",Journal of Software: Evolution and Process e2198,1,2019
