Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Tomas Ward,Self-Adaptive Skeleton Approaches to Detect Self-Organized Coalitions From Brain Functional Networks Through Probabilistic Mixture Models,"Kai Liu, Hongbo Liu, Tomas Ward, Hua Wang, Yu Yang, Bo Zhang, Xindong Wu",ACM Transactions on Knowledge Discovery from Data (TKDD) 15 (5) 1-26,0,2021
Tomas Ward,Altered Executive Functions Associated With Chronic Pain is Age-Independent,"Lili Zhang, Himanshu Vashisht, Aalekhya Nethra, Brian Slattery, Tomas Ward",Biological Psychiatry 89 (9) S310,0,2021
Tomas Ward,Estimation of Continuous Blood Pressure from PPG via a Federated Learning Approach,"Eoin Brophy, Maarten De Vos, Geraldine Boylan, Tomas Ward",arXiv preprint arXiv:2102.12245,0,2021
Tomas Ward,Generative Adversarial Networks in Computer Vision: A Survey and Taxonomy,"Zhengwei Wang, Qi She, Tomás E. Ward",ACM Computing Surveys 54 (2),128,2021
Tomas Ward,Optimizing the Level of Challenge in Stroke Rehabilitation using Iterative Learning Control: a Simulation,"Sandra-Carina Noble, Tomas Ward, John V Ringwood",2021 10th International IEEE/EMBS Conference on Neural Engineering (NER …,0,2021
Tomas Ward,Optimised convolutional neural networks for heart rate estimation and human activity recognition in wrist worn sensing applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",arXiv preprint arXiv:2004.00505,4,2020
Tomas Ward,Use of neural signals to evaluate the quality of generative adversarial network performance in facial image generation,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomas Ward",Cognitive Computation 12 (1) 13-24,20,2020
Tomas Ward,Nested similarity in matrix theory,"Annraoi De Paor, Tomas Ward",Mathematical Proceedings of the Royal Irish Academy 120 (1) 19-24,0,2020
Tomas Ward,Experiences and insights from the collection of a novel multimedia EEG dataset,"Graham Healy, Zhengwei Wang, Tomas Ward, Alan F. Smeaton, Cathal Gurrin",International Conference on Multimedia Modeling 475-486,4,2020
Tomas Ward,A Neuro-AI interface for evaluating generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",ICLR 2020 Workshop on Bridging AI and Cognitive Science (BAICS),2,2020
Tomas Ward,Cnns for heart rate estimation and human activity recognition in wrist worn sensing applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",2020 IEEE International Conference on Pervasive Computing and Communications …,2,2020
Tomas Ward,Artifact Abstract: CNNs for Heart Rate Estimation and Human Activity Recognition in Wrist Worn Sensing Applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",2020 IEEE International Conference on Pervasive Computing and Communications …,0,2020
Tomas Ward,IROS 2019 Lifelong Robotic Vision Challenge--Lifelong Object Recognition Report,"Qi She, Fan Feng, Qi Liu, Rosa Hm Chan, Xinyue Hao, Chuanlin Lan, Qihan Yang, Vincenzo Lomonaco, German I Parisi, Heechul Bae, Eoin Brophy, Baoquan Chen, Gabriele Graffieti, Vidit Goel, Hyonyoung Han, Sathursan Kanagarajah, Somesh Kumar, Siew-Kei Lam, Tin Lun Lam, Liang Ma, Davide Maltoni, Lorenzo Pellegrini, Duvindu Piyasena, Shiliang Pu, Debdoot Sheet, Soonyong Song, Youngsung Son, Zhengwei Wang, Tomas Ward, Jianwen Wu, Meiqing Wu, Di Xie, Yangsheng Xu, Lin Yang, Qiaoyong Zhong, Liguang Zhou",arXiv preprint arXiv:2004.14774,1,2020
Tomas Ward,"Cognitive performance, quality and quantity of movement reflect psychological symptoms in adolescents","Maedeh Mansoubi, Benjamin David Weedon, Patrick Esser, Nancy Mayo, Mina Fazel, Will Wade, Tomas Ward, Steve Kemp, Anne Delextrat, Helen Dawes",Journal of sports science & medicine 19 (2) 364,1,2020
Tomas Ward,Predicting Injectable Medication Adherence via a Smart Sharps Bin and Machine Learning,"Yingqi Gu, Akshay Zalkikar, Lara Kelly, Kieran Daly, Tomas Ward",2020 IEEE 6th World Forum on Internet of Things (WF-IoT) 1-7,2,2020
Tomas Ward,Iros 2019 lifelong robotic vision: Object recognition challenge [competitions],"Heechul Bae, Eoin Brophy, Rosa Hm Chan, Baoquan Chen, Fan Feng, Gabriele Graffieti, Vidit Goel, Xinyue Hao, Hyonyoung Han, Sathursan Kanagarajah, Somesh Kumar, Siew-Kei Lam, Tin Lun Lam, Chuanlin Lan, Qi Liu, Vincenzo Lomonaco, Liang Ma, Davide Maltoni, German I Parisi, Lorenzo Pellegrini, Duvindu Piyasena, Shiliang Pu, Qi She, Debdoot Sheet, Soonyong Song, Youngsung Son, Zhengwei Wang, Tomas Ward, Jianwen Wu, Meiqing Wu, Di Xie, Yangsheng Xu, Lin Yang, Qihan Yang, Qiaoyong Zhong, Liguang Zhou",IEEE Robotics & Automation Magazine 27 (2) 11-16,5,2020
Tomas Ward,Synthetic-Neuroscore: Using a neuro-AI interface for evaluating generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",Neurocomputing 405 26-36,14,2020
Tomas Ward,Predicting media memorability using ensemble models,"David Azcona, Enric Moreu, Feiyan Hu, Tomas Ward, Alan F. Smeaton",CEUR Workshop Proceedings,6,2020
Tomas Ward,The Application of an Outcome-Representation Learning Model for Characterization of the Decision-Making Strategies Used by Younger and Older People,"Lili Zhang, Tomas Ward",Society of Biological Psychiatry 75th Annual Scientific Convention and …,0,2020
Tomas Ward,PNS230 USING MACHINE LEARNING FOR SIGNAL DETECTION IN REALWORLD DATA FROM WRISTWORN WEARABLE DEVICES TO IDENTIFY FRAUDULENT BEHAVIOUR,"Willie Muehlhausen, L Zhang, L Smith, Tomas Ward",Value in Health 22 S325,0,2019
