Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Yvette Graham,TRECVID 2020: A comprehensive campaign for evaluating video retrieval tasks across multiple application domains,"George Awad, Asad Butt, Keith Curtis, Jonathan Fiscus, Afzad Godil, Yooyoung Lee, Andrew Delgado, Jesse Zhang, Eliot Godard, Baptiste Chocot, Lukas Diduch, Jeffrey Liu, Alan F. Smeaton, Yvette Graham, Gareth Jones, Wessel Kraaij, Georges Quenot",arXiv preprint arXiv:2104.13473,25,2021
Yvette Graham,TRECVID 2020: Video to Text Description,"George Awad, Asad Butt, Yvette Graham",,0,2021
Yvette Graham,Proceedings of the Workshop on Human Evaluation of NLP Systems (HumEval),"Anja Belz, Shubham Agarwal, Yvette Graham, Ehud Reiter, Anastasia Shimorina",Proceedings of the Workshop on Human Evaluation of NLP Systems (HumEval),0,2021
Yvette Graham,Proceedings of the Fifth Conference on Machine Translation,"Loïc Barrault, Ondrej Bojar, Fethi Bougares, Rajen Chatterjee, Marta R Costa-Jussà, Christian Federmann, Mark Fishel, Alexander Fraser, Yvette Graham, Paco Guzman, Barry Haddow, Matthias Huck, Antonio Jimeno Yepes, Philipp Koehn, André Ft Martins, Makoto Morishita, Christof Monz, Masaaki Nagata, Toshiaki Nakazawa, Matteo Negri",Proceedings of the Fifth Conference on Machine Translation,0,2020
Yvette Graham,Incorporating Context and Knowledge for Better Sentiment Analysis of Narrative Text.,"Chenyang Lyu, Tianbo Ji, Yvette Graham",Text2Story@ ECIR 39-45,2,2020
Yvette Graham,Statistical Power and Translationese in Machine Translation Evaluation.,"Yvette Graham, Barry Haddow, Philipp Koehn",EMNLP (1) 72-81,8,2020
Yvette Graham,Contrasting Human Opinion of Non-factoid Question Answering with Automatic Evaluation,"Tianbo Ji, Yvette Graham, Gareth Jones",Proceedings of the 2020 Conference on Human Information Interaction and …,0,2020
Yvette Graham,Assessing Human-Parity in Machine Translation on the Segment Level,"Yvette Graham, Christian Federmann, Maria Eskevich, Barry Haddow",Proceedings of the 2020 Conference on Empirical Methods in Natural Language …,0,2020
Yvette Graham,"Trecvid 2019: An evaluation campaign to benchmark video activity detection, video captioning and matching, and video search & retrieval","George Awad, Asad Butt, Keith Curtis, Yooyoung Lee, Jonathan Fiscus, Afzad Godil, Andrew Delgado, Jesse Zhang, Eliot Godard, Lukas Diduch, Alan F. Smeaton, Yvette Graham, Wessel Kraaij, Georges Quenot",arXiv preprint arXiv:2009.09984,48,2020
Yvette Graham,Findings of the 2020 conference on machine translation (wmt20),"Loïc Barrault, Magdalena Biesialska, Ondrej Bojar, Marta R Costa-Jussà, Christian Federmann, Yvette Graham, Roman Grundkiewicz, Barry Haddow, Matthias Huck, Eric Joanis, Tom Kocmi, Philipp Koehn, Chi-Kiu Lo, Nikola Ljubesic, Christof Monz, Makoto Morishita, Masaaki Nagata, Toshiaki Nakazawa, Santanu Pal, Matt Post, Marcos Zampieri",Proceedings of the Fifth Conference on Machine Translation 1-55,21,2020
Yvette Graham,Improving Document-Level Sentiment Analysis with User and Product Context,"Chenyang Lyu, Jennifer Foster, Yvette Graham",arXiv preprint arXiv:2011.09210,0,2020
Yvette Graham,Proceedings of the 2nd Workshop on Multilingual Surface Realisation (MSR 2020),"Anya Belz, Simon Mille, Leo Wanner, Bernd Bohnet, Yvette Graham",,0,2020
Yvette Graham,Proceedings of the 13th International Conference on Natural Language Generation,"Brian Davis, Yvette Graham, John Kelleher, Yaji Sripada",Proceedings of the 13th International Conference on Natural Language Generation,0,2020
Yvette Graham,The third multilingual surface realisation shared task (SR’20): Overview and evaluation results,"Simon Mille, Anja Belz, Bernd Bohnet, Thiago Castro Ferreira, Yvette Graham, Leo Wanner",Proceedings of the Third Workshop on Multilingual Surface Realisation 1-20,8,2020
Yvette Graham,Proceedings of the Third Workshop on Multilingual Surface Realisation,"Anja Belz, Bernd Bohnet, Thiago Castro Ferreira, Yvette Graham, Simon Mille, Leo Wanner",Proceedings of the Third Workshop on Multilingual Surface Realisation,0,2020
