,Researcher,Position
0,Michael Scriney,Insight Centre for Data Analytics
1,Malika Bendechache,"School of Computing, Dublin City University (DCU)"
2,Marija Bezbradica,"Lecturer, School of Computing, Dublin City University"
3,Rob Brennan,"Assistant Professor, School of Computing, Dublin City University"
4,Annalina Caputo,"Assistant Professor, Dublin City University, ADAPT centre, I-Form centre"
5,Long Cheng,"Professor, North China Electric Power University"
6,Paul Clarke,Associate Professor at Dublin City University & Lero
7,Martin Crane,"School of Computing, Dublin City University"
8,Charlie Daly,Lecturer in Computer Science
9,Brian Davis,"Assistant Professor, School of Computing, Dublin City University"
10,Donal Fitzpatrick,"Lecturer, School of Computing, Dublin City University"
11,Jennifer Foster,"School of Computing, Dublin City University"
12,Yvette Graham,"Assistant Professor, Trinity College Dublin"
13,Cathal Gurrin,"School of Computing, Dublin City University & Insight Centre for Data Analytics"
14,Geoffrey Hamilton,"Associate Professor, Dublin City University"
15,Graham Healy,"Assistant Professor, Dublin City University"
16,Musfira Jilani,"School of Computer Science, Dublin City University"
17,Gareth J. F. Jones,Dublin City University
18,Suzanne Little,"School of Computing, Dublin City University"
19,Silvana Togneri MacMahon,Dublin City University
20,Andrew McCarren,"School of Computer Science, Dublin City University/ Insight Center for Data Analytics"
21,John McKenna,"School of Computing, Dublin City University"
22,Alessandra Mileo,Dublin City University
23,Darragh O'Brien,Dublin City University
24,Mark Roantree,"School of Computing, Dublin City University"
25,Heather Ruskin,Dublin City University Professor Emeritus Computational Science
26,Dimitar Shterionov,Tilburg University
27,David Sinclair,"School of Computing, Lero, Dublin City University"
28,Alan F. Smeaton,"Prof of Computing / Founding Director, Insight Centre for Data Analytics, Dublin City University"
29,Alistair Sutherland,"School of Computing, Dublin City University"
30,Irina Tal,Dublin City University
31,Jagadeeswaran Thangaraj,"Dublin City University, Dublin, Ireland"
32,Ray Walshe,Dublin City University
33,Monica Ward,Dublin City University
34,Tomas Ward,"Insight SFI Research Centre for Data Analytics, Dublin City University"
35,Andy Way,"ADAPT Centre, Dublin City University"
36,Murat Yilmaz,"Associate Professor, Dept. of Computer Engineering | Gazi University"
