Title,Citation,Conference,Publisher,Journal,Date,Authors,AuthorDCU
Efficient cube construction for smart city data,10,Unknown,CEUR-WS. org,Unknown,2016,"Michael Scriney, Mark Roantree",Michael Scriney
Generating cubes from smart city web data,7,Proceedings of the Australasian Computer Science Week Multiconference,ACM,Unknown,2017,"Michael Scriney, Martin F O'Connor, Mark Roantree",Michael Scriney
Automating Data Mart Construction from Semi-structured Data Sources,6,Unknown,Oxford University Press,The Computer Journal,2018,"Michael Scriney, Suzanne McCarthy, Andrew McCarren, Paolo Cappellari, Mark Roantree",Michael Scriney
Predicting customer churn for insurance data,4,International Conference on Big Data Analytics and Knowledge Discovery,"Springer, Cham",Unknown,2020,"Michael Scriney, Dongyun Nie, Mark Roantree",Michael Scriney
Attention Based Video Summaries of Live Online Zoom Classes,3,"AAAI-2021 Workshop on AI Education: ""Imagining Post-COVID Education with AI"" (TIPCE-2021) arXiv preprint arXiv:2101.06328",Unknown,Unknown,2021,"Hyowon Lee, Mingming Liu, Hamza Riaz, Navaneethan Rajasekaren, Michael Scriney, Alan F Smeaton",Michael Scriney
Constructing data marts from web sources using a graph common model,2,Unknown,Unknown,Unknown,2018,Michael Scriney,Michael Scriney
Integrating online data for smart city data marts,2,British International Conference on Databases,"Springer, Cham",Unknown,2017,"Michael Scriney, Martin F Oâ€™Connor, Mark Roantree",Michael Scriney
Identification of movement categories and associated velocity thresholds for elite Gaelic football and hurling referees,1,Unknown,Routledge,International Journal of Performance Analysis in Sport,2021,"Aidan J Brady, Michael Scriney, Niall M Moyna, Andrew McCarren",Michael Scriney
Representative Sample Extraction from Web Data Streams,1,International Conference on Database and Expert Systems Applications,"Springer, Cham",Unknown,2019,"Michael Scriney, Congcong Xing, Andrew McCarren, Mark Roantree",Michael Scriney
Using Artificial Intelligence to Automate Meat Cut Identification from the Semimembranosus Muscle on Beef Boning Lines,Unknown,Unknown,Unknown,Journal of Animal Science,2021,"Satya Prakash, Donagh P Berry, Mark Roantree, Oluwadurotimi Onibonoje, Leonardo Gualano, Michael Scriney, Andrew McCarren",Michael Scriney
The L2L System for Second Language Learning Using Visualised Zoom Calls Among Students,Unknown,Unknown,arXiv preprint arXiv:2106.13512,"16th European Conference on Technology-Enhanced Learning (EC-TEL), Bozen-Bolzano, Italy (online), September 2021",2021,"Aparajita Dey-Plissonneau, Hyowon Lee, Vincent Pradier, Michael Scriney, Alan F Smeaton",Michael Scriney
Usage-based Summaries of Learning Videos,Unknown,Unknown,arXiv preprint arXiv:2106.13504,"16th European Conference on Technology-Enhanced Learning (EC-TEL), Bozen-Bolzano, Italy (online), September 2021",2021,"Hyowon Lee, Mingming Liu, Michael Scriney, Alan F Smeaton",Michael Scriney
Machine learning-based tools for water digitalisation,Unknown,Unknown,Copernicus Meetings,Unknown,2021,"Asma Slaimi, Susan Hegarty, Fiona Regan, Michael Scriney, Noel Oâ€™Connor",Michael Scriney
CASIEâ€“Computing affect and social intelligence for healthcare in an ethical and trustworthy manner,Unknown,Unknown,De Gruyter Open Access,"Paladyn, Journal of Behavioral Robotics",2021,"Laurentiu Vasiliu, Keith Cortis, Ross McDermott, Aphra Kerr, Arne Peters, Marc Hesse, Jens Hagemeyer, Tony Belpaeme, John McDonald, Rudi Villing, Alessandra Mileo, Annalina Capulto, Michael Scriney, Sascha Griffiths, Adamantios Koumpis, Brian Davis",Michael Scriney
Supporting an effective review of telecollaboration for second language learning by visualising the participation and engagement at Dublin City University,Unknown,Unknown,Unknown,Unknown,2021,"Hyowon Lee, Michael Scriney, Aparajita Dey-Plissonneau, Alan Smeaton",Michael Scriney
A Methodology for Validating Diversity in Synthetic Time Series Generation,Unknown,Unknown,Elsevier,MethodsX,2021,"Fouad Bahrpeyma, Mark Roantree, Paolo Cappellari, Michael Scriney, Andrew McCarren",Michael Scriney
Identifying extra-terrestrial intelligence using machine learning,Unknown,Unknown,CEUR-WS,Unknown,2020,"MaÅ‚gorzata Gutowska, Michael Scriney, Andrew McCarren",Michael Scriney
Integrating online data for smart city data marts,Unknown,Unknown,Springer International Publishing,Unknown,2017,"Mark Roantree, Michael Scriney, Martin F O'Connor",Michael Scriney
Simulating fog and edge computing scenarios: An overview and research challenges,67,Unknown,Multidisciplinary Digital Publishing Institute,Unknown,2019,"Sergej Svorobej, Patricia Takako Endo, Malika Bendechache, Christos Filelis-Papadopoulos, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, James Byrne, Theo Lynn",Malika Bendechache
Distributed clustering algorithm for spatial data mining,39,2015 2nd IEEE International Conference on Spatial Data Mining and Geographical Knowledge Services (ICSDM),IEEE,Unknown,2015,"Malika Bendechache, M-Tahar Kechadi",Malika Bendechache
Efficient large scale clustering based on data partitioning,23,2016 IEEE international conference on Data science and advanced analytics (DSAA),IEEE,Unknown,2016,"Malika Bendechache, M-Tahar Kechadi, Nhien-An Le-Khac",Malika Bendechache
Parallel and distributed clustering framework for big spatial data mining,22,Unknown,Taylor & Francis,"International Journal of Parallel, Emergent and Distributed Systems",2019,"Malika Bendechache, A-Kamel Tari, M-Tahar Kechadi",Malika Bendechache
Hierarchical aggregation approach for distributed clustering of spatial datasets,12,2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW),IEEE,Unknown,2016,"Malika Bendechache, Nhien-An Le-Khac, M-Tahar Kechadi",Malika Bendechache
Lung infection segmentation for COVID-19 Pneumonia based on a cascade convolutional network from CT images,10,Unknown,Hindawi,BioMed Research International,2021,"Ramin Ranjbarzadeh, Saeid Jafarzadeh Ghoushchi, Malika Bendechache, Amir Amirabadi, Mohd Nizam Ab Rahman, Soroush Baseri Saadi, Amirhossein Aghamohammadi, Mersedeh Kooshki Forooshani",Malika Bendechache
Simulating resource management across the cloud-to-thing continuum: A survey and future directions,10,Unknown,Multidisciplinary Digital Publishing Institute,Unknown,2020,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Theo Lynn",Malika Bendechache
Modelling and simulation of ElasticSearch using cloudsim,9,2019 IEEE/ACM 23rd International Symposium on Distributed Simulation and Real Time Applications (DS-RT),IEEE,Unknown,2019,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Manuel Noya Mario, M Eduardo Ares, James Byrne, Theo Lynn",Malika Bendechache
Detecting human activities based on a multimodal sensor data set using a bidirectional long short-term memory model: a case study,8,Unknown,"Springer, Cham",Unknown,2020,"Silvano Ramos de Assis Neto, Guto Leoni Santos, Elisson da Silva Rocha, Malika Bendechache, Pierangelo Rosati, Theo Lynn, Patricia Takako Endo",Malika Bendechache
Brain tumor segmentation based on deep learning and an attention mechanism using MRI multi-modalities brain images,7,Unknown,Nature Publishing Group,Scientific Reports,2021,"Ramin Ranjbarzadeh, Abbas Bagherian Kasgari, Saeid Jafarzadeh Ghoushchi, Shokofeh Anari, Maryam Naseri, Malika Bendechache",Malika Bendechache
A review of current machine learning approaches for anomaly detection in network traffic,6,Unknown,Telecommunication Society of Australia Ltd.,Unknown,2020,"Wasim A Ali, KN Manasa, Malika Bendechache, Mohammed Fadhel Aljunaid, P Sandhya",Malika Bendechache
Towards simulation and optimization of cache placement on large virtual content distribution networks,6,Unknown,Elsevier,Journal of Computational Science,2020,"Christos K Filelis-Papadopoulos, Patricia Takako Endo, Malika Bendechache, Sergej Svorobej, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, James Byrne, Theo Lynn",Malika Bendechache
Study of distributed dynamic clustering framework for spatial data mining,6,Unknown,Unknown,Unknown,2017,Malika Bendechache,Malika Bendechache
Performance evaluation of a distributed clustering approach for spatial datasets,4,Australasian Conference on Data Mining,"Springer, Singapore",Unknown,2017,"Malika Bendechache, Nhien-An Le-Khac, M-Tahar Kechadi",Malika Bendechache
An extended approach to predict retinopathy in diabetic patients using the genetic algorithm and fuzzy C-means,3,Unknown,Hindawi,BioMed Research International,2021,"Saeid Jafarzadeh Ghoushchi, Ramin Ranjbarzadeh, Amir Hussein Dadkhah, Yaghoub Pourasad, Malika Bendechache",Malika Bendechache
TPCNN: Two-path convolutional neural network for tumor and liver segmentation in CT images using a novel encoding approach,3,Unknown,Pergamon,Expert Systems with Applications,2021,"Amirhossein Aghamohammadi, Ramin Ranjbarzadeh, Fatemeh Naiemi, Marzieh Mogharrebi, Shadi Dorosti, Malika Bendechache",Malika Bendechache
Application of blockchain technology to 5G-enabled vehicular networks: survey and future directions,3,Unknown,IEEE,Unknown,2020,"Malika Bendechache, Takfarinas Saber, Gabriel-Miro Muntean, Irina Tal",Malika Bendechache
Simulating Across the Cloud-to-Edge Continuum,2,Unknown,"Palgrave Macmillan, Cham",Unknown,2020,"Minas Spanopoulos-Karalexidis, Christos K Filelis Papadopoulos, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Theo Lynn",Malika Bendechache
Orchestration from the Cloud to the Edge,2,Unknown,"Palgrave Macmillan, Cham",Unknown,2020,"Sergej Svorobej, Malika Bendechache, Frank Griesinger, JÃ¶rg Domaschka",Malika Bendechache
Irish attitudes toward COVID tracker app & privacy: sentiment analysis on Twitter and survey data,1,Unknown,Unknown,Unknown,2021,"Pintu Lohar, Guodong Xie, Malika Bendechache, Rob Brennan, Edoardo Celeste, Ramona Trestian, Irina Tal",Malika Bendechache
"AI in My Life: AI, Ethics & Privacy Workshops for 15-16-Year-Olds",1,Unknown,Unknown,Unknown,2021,"Malika Bendechache, Irina Tal, PJ Wall, Laura Grehan, Emma Clarke, Aidan Odriscoll, Laurence Van Der Haegen, Brenda Leong, Anne Kearns, Rob Brennan",Malika Bendechache
Simulating and Evaluating a Real-World ElasticSearch System Using the RECAP DES Simulator,1,Unknown,Multidisciplinary Digital Publishing Institute,Future Internet,2021,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Adrian Mihai, Theo Lynn",Malika Bendechache
Towards an automatic data value analysis method for relational databases,1,Unknown,Unknown,Unknown,2020,"Malika Bendechache, Nihar Sudhanshu Limaye, Rob Brennan",Malika Bendechache
Analysing dependability and performance of a real-world Elastic Search application,1,2019 9th Latin-American Symposium on Dependable Computing (LADC),IEEE,Unknown,2019,"Malika Bendechache, Ivanovitch Silva, Guto Leoni Santos, Luiz Affonso Guedes, Sergej Svorobej, Manuel Noya Mario, M Eduardo Ares, James Byrne, Patricia Takako Endo, Theo Lynn",Malika Bendechache
Osteolysis: A Literature Review of Basic Science and Potential Computer-Based Image Processing Detection Methods,Unknown,Unknown,Hindawi,Unknown,2021,"Soroush Baseri Saadi, Ramin Ranjbarzadeh, Amir Amirabadi, Saeid Jafarzadeh Ghoushchi, Oveis Kazemi, Sonya Azadikhah, Malika Bendechache",Malika Bendechache
Public attitudes towards privacy in COVID-19 times in the Republic of Ireland: A pilot study,Unknown,Unknown,Taylor & Francis,Information Security Journal: A Global Perspective,2021,"Malika Bendechache, Pintu Lohar, Guodong Xie, Rob Brennan, Ramona Trestian, Edoardo Celeste, Kristina Kapanova, Evgeniia Jayasekera, Irina Tal",Malika Bendechache
Privacy in times of COVID-19: a pilot study in the Republic of Ireland,Unknown,Unknown,Unknown,Unknown,2021,"Guodong Xie, Pintu Lohar, Claudia Florea, Malika Bendechache, Ramona Trestian, Rob Brennan, Regina Connolly, Irina Tal",Malika Bendechache
