,Title,Citation,Conference,Publisher,Journal,Date,Authors
0,Efficient cube construction for smart city data,10,Unknown,CEUR-WS. org,Unknown,2016,"Michael Scriney, Mark Roantree"
1,Generating cubes from smart city web data,7,Proceedings of the Australasian Computer Science Week Multiconference,ACM,Unknown,2017,"Michael Scriney, Martin F O'Connor, Mark Roantree"
2,Automating Data Mart Construction from Semi-structured Data Sources,6,Unknown,Oxford University Press,The Computer Journal,2018,"Michael Scriney, Suzanne McCarthy, Andrew McCarren, Paolo Cappellari, Mark Roantree"
3,Predicting customer churn for insurance data,4,International Conference on Big Data Analytics and Knowledge Discovery,"Springer, Cham",Unknown,2020,"Michael Scriney, Dongyun Nie, Mark Roantree"
4,Attention Based Video Summaries of Live Online Zoom Classes,3,"AAAI-2021 Workshop on AI Education: ""Imagining Post-COVID Education with AI"" (TIPCE-2021) arXiv preprint arXiv:2101.06328",Unknown,Unknown,2021,"Hyowon Lee, Mingming Liu, Hamza Riaz, Navaneethan Rajasekaren, Michael Scriney, Alan F Smeaton"
5,Constructing data marts from web sources using a graph common model,2,Unknown,Unknown,Unknown,2018,Michael Scriney
6,Integrating online data for smart city data marts,2,British International Conference on Databases,"Springer, Cham",Unknown,2017,"Michael Scriney, Martin F O’Connor, Mark Roantree"
7,Identification of movement categories and associated velocity thresholds for elite Gaelic football and hurling referees,1,Unknown,Routledge,International Journal of Performance Analysis in Sport,2021,"Aidan J Brady, Michael Scriney, Niall M Moyna, Andrew McCarren"
8,Representative Sample Extraction from Web Data Streams,1,International Conference on Database and Expert Systems Applications,"Springer, Cham",Unknown,2019,"Michael Scriney, Congcong Xing, Andrew McCarren, Mark Roantree"
9,Using Artificial Intelligence to Automate Meat Cut Identification from the Semimembranosus Muscle on Beef Boning Lines,Unknown,Unknown,Unknown,Journal of Animal Science,2021,"Satya Prakash, Donagh P Berry, Mark Roantree, Oluwadurotimi Onibonoje, Leonardo Gualano, Michael Scriney, Andrew McCarren"
10,The L2L System for Second Language Learning Using Visualised Zoom Calls Among Students,Unknown,Unknown,arXiv preprint arXiv:2106.13512,"16th European Conference on Technology-Enhanced Learning (EC-TEL), Bozen-Bolzano, Italy (online), September 2021",2021,"Aparajita Dey-Plissonneau, Hyowon Lee, Vincent Pradier, Michael Scriney, Alan F Smeaton"
11,Usage-based Summaries of Learning Videos,Unknown,Unknown,arXiv preprint arXiv:2106.13504,"16th European Conference on Technology-Enhanced Learning (EC-TEL), Bozen-Bolzano, Italy (online), September 2021",2021,"Hyowon Lee, Mingming Liu, Michael Scriney, Alan F Smeaton"
12,Machine learning-based tools for water digitalisation,Unknown,Unknown,Copernicus Meetings,Unknown,2021,"Asma Slaimi, Susan Hegarty, Fiona Regan, Michael Scriney, Noel O’Connor"
13,CASIE–Computing affect and social intelligence for healthcare in an ethical and trustworthy manner,Unknown,Unknown,De Gruyter Open Access,"Paladyn, Journal of Behavioral Robotics",2021,"Laurentiu Vasiliu, Keith Cortis, Ross McDermott, Aphra Kerr, Arne Peters, Marc Hesse, Jens Hagemeyer, Tony Belpaeme, John McDonald, Rudi Villing, Alessandra Mileo, Annalina Capulto, Michael Scriney, Sascha Griffiths, Adamantios Koumpis, Brian Davis"
14,Supporting an effective review of telecollaboration for second language learning by visualising the participation and engagement at Dublin City University,Unknown,Unknown,Unknown,Unknown,2021,"Hyowon Lee, Michael Scriney, Aparajita Dey-Plissonneau, Alan Smeaton"
15,A Methodology for Validating Diversity in Synthetic Time Series Generation,Unknown,Unknown,Elsevier,MethodsX,2021,"Fouad Bahrpeyma, Mark Roantree, Paolo Cappellari, Michael Scriney, Andrew McCarren"
16,Identifying extra-terrestrial intelligence using machine learning,Unknown,Unknown,CEUR-WS,Unknown,2020,"Małgorzata Gutowska, Michael Scriney, Andrew McCarren"
17,Integrating online data for smart city data marts,Unknown,Unknown,Springer International Publishing,Unknown,2017,"Mark Roantree, Michael Scriney, Martin F O'Connor"
18,Simulating fog and edge computing scenarios: An overview and research challenges,67,Unknown,Multidisciplinary Digital Publishing Institute,Unknown,2019,"Sergej Svorobej, Patricia Takako Endo, Malika Bendechache, Christos Filelis-Papadopoulos, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, James Byrne, Theo Lynn"
19,Distributed clustering algorithm for spatial data mining,39,2015 2nd IEEE International Conference on Spatial Data Mining and Geographical Knowledge Services (ICSDM),IEEE,Unknown,2015,"Malika Bendechache, M-Tahar Kechadi"
20,Efficient large scale clustering based on data partitioning,23,2016 IEEE international conference on Data science and advanced analytics (DSAA),IEEE,Unknown,2016,"Malika Bendechache, M-Tahar Kechadi, Nhien-An Le-Khac"
21,Parallel and distributed clustering framework for big spatial data mining,22,Unknown,Taylor & Francis,"International Journal of Parallel, Emergent and Distributed Systems",2019,"Malika Bendechache, A-Kamel Tari, M-Tahar Kechadi"
22,Hierarchical aggregation approach for distributed clustering of spatial datasets,12,2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW),IEEE,Unknown,2016,"Malika Bendechache, Nhien-An Le-Khac, M-Tahar Kechadi"
23,Lung infection segmentation for COVID-19 Pneumonia based on a cascade convolutional network from CT images,10,Unknown,Hindawi,BioMed Research International,2021,"Ramin Ranjbarzadeh, Saeid Jafarzadeh Ghoushchi, Malika Bendechache, Amir Amirabadi, Mohd Nizam Ab Rahman, Soroush Baseri Saadi, Amirhossein Aghamohammadi, Mersedeh Kooshki Forooshani"
24,Simulating resource management across the cloud-to-thing continuum: A survey and future directions,10,Unknown,Multidisciplinary Digital Publishing Institute,Unknown,2020,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Theo Lynn"
25,Modelling and simulation of ElasticSearch using cloudsim,9,2019 IEEE/ACM 23rd International Symposium on Distributed Simulation and Real Time Applications (DS-RT),IEEE,Unknown,2019,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Manuel Noya Mario, M Eduardo Ares, James Byrne, Theo Lynn"
26,Detecting human activities based on a multimodal sensor data set using a bidirectional long short-term memory model: a case study,8,Unknown,"Springer, Cham",Unknown,2020,"Silvano Ramos de Assis Neto, Guto Leoni Santos, Elisson da Silva Rocha, Malika Bendechache, Pierangelo Rosati, Theo Lynn, Patricia Takako Endo"
27,Brain tumor segmentation based on deep learning and an attention mechanism using MRI multi-modalities brain images,7,Unknown,Nature Publishing Group,Scientific Reports,2021,"Ramin Ranjbarzadeh, Abbas Bagherian Kasgari, Saeid Jafarzadeh Ghoushchi, Shokofeh Anari, Maryam Naseri, Malika Bendechache"
28,A review of current machine learning approaches for anomaly detection in network traffic,6,Unknown,Telecommunication Society of Australia Ltd.,Unknown,2020,"Wasim A Ali, KN Manasa, Malika Bendechache, Mohammed Fadhel Aljunaid, P Sandhya"
29,Towards simulation and optimization of cache placement on large virtual content distribution networks,6,Unknown,Elsevier,Journal of Computational Science,2020,"Christos K Filelis-Papadopoulos, Patricia Takako Endo, Malika Bendechache, Sergej Svorobej, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, James Byrne, Theo Lynn"
30,Study of distributed dynamic clustering framework for spatial data mining,6,Unknown,Unknown,Unknown,2017,Malika Bendechache
31,Performance evaluation of a distributed clustering approach for spatial datasets,4,Australasian Conference on Data Mining,"Springer, Singapore",Unknown,2017,"Malika Bendechache, Nhien-An Le-Khac, M-Tahar Kechadi"
32,An extended approach to predict retinopathy in diabetic patients using the genetic algorithm and fuzzy C-means,3,Unknown,Hindawi,BioMed Research International,2021,"Saeid Jafarzadeh Ghoushchi, Ramin Ranjbarzadeh, Amir Hussein Dadkhah, Yaghoub Pourasad, Malika Bendechache"
33,TPCNN: Two-path convolutional neural network for tumor and liver segmentation in CT images using a novel encoding approach,3,Unknown,Pergamon,Expert Systems with Applications,2021,"Amirhossein Aghamohammadi, Ramin Ranjbarzadeh, Fatemeh Naiemi, Marzieh Mogharrebi, Shadi Dorosti, Malika Bendechache"
34,Application of blockchain technology to 5G-enabled vehicular networks: survey and future directions,3,Unknown,IEEE,Unknown,2020,"Malika Bendechache, Takfarinas Saber, Gabriel-Miro Muntean, Irina Tal"
35,Simulating Across the Cloud-to-Edge Continuum,2,Unknown,"Palgrave Macmillan, Cham",Unknown,2020,"Minas Spanopoulos-Karalexidis, Christos K Filelis Papadopoulos, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Theo Lynn"
36,Orchestration from the Cloud to the Edge,2,Unknown,"Palgrave Macmillan, Cham",Unknown,2020,"Sergej Svorobej, Malika Bendechache, Frank Griesinger, Jörg Domaschka"
37,Irish attitudes toward COVID tracker app & privacy: sentiment analysis on Twitter and survey data,1,Unknown,Unknown,Unknown,2021,"Pintu Lohar, Guodong Xie, Malika Bendechache, Rob Brennan, Edoardo Celeste, Ramona Trestian, Irina Tal"
38,"AI in My Life: AI, Ethics & Privacy Workshops for 15-16-Year-Olds",1,Unknown,Unknown,Unknown,2021,"Malika Bendechache, Irina Tal, PJ Wall, Laura Grehan, Emma Clarke, Aidan Odriscoll, Laurence Van Der Haegen, Brenda Leong, Anne Kearns, Rob Brennan"
39,Simulating and Evaluating a Real-World ElasticSearch System Using the RECAP DES Simulator,1,Unknown,Multidisciplinary Digital Publishing Institute,Future Internet,2021,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Adrian Mihai, Theo Lynn"
40,Towards an automatic data value analysis method for relational databases,1,Unknown,Unknown,Unknown,2020,"Malika Bendechache, Nihar Sudhanshu Limaye, Rob Brennan"
41,Analysing dependability and performance of a real-world Elastic Search application,1,2019 9th Latin-American Symposium on Dependable Computing (LADC),IEEE,Unknown,2019,"Malika Bendechache, Ivanovitch Silva, Guto Leoni Santos, Luiz Affonso Guedes, Sergej Svorobej, Manuel Noya Mario, M Eduardo Ares, James Byrne, Patricia Takako Endo, Theo Lynn"
42,Osteolysis: A Literature Review of Basic Science and Potential Computer-Based Image Processing Detection Methods,Unknown,Unknown,Hindawi,Unknown,2021,"Soroush Baseri Saadi, Ramin Ranjbarzadeh, Amir Amirabadi, Saeid Jafarzadeh Ghoushchi, Oveis Kazemi, Sonya Azadikhah, Malika Bendechache"
43,Public attitudes towards privacy in COVID-19 times in the Republic of Ireland: A pilot study,Unknown,Unknown,Taylor & Francis,Information Security Journal: A Global Perspective,2021,"Malika Bendechache, Pintu Lohar, Guodong Xie, Rob Brennan, Ramona Trestian, Edoardo Celeste, Kristina Kapanova, Evgeniia Jayasekera, Irina Tal"
44,Privacy in times of COVID-19: a pilot study in the Republic of Ireland,Unknown,Unknown,Unknown,Unknown,2021,"Guodong Xie, Pintu Lohar, Claudia Florea, Malika Bendechache, Ramona Trestian, Rob Brennan, Regina Connolly, Irina Tal"
45,Privacy in a Time of COVID-19: How Concerned Are You?,Unknown,Unknown,IEEE,IEEE Security & Privacy,2021,"Ramona Trestian, Guodong Xie, Pintu Lohar, Edoardo Celeste, Malika Bendechache, Rob Brennan, Evgeniia Jayasekera, Regina Connolly, Irina Tal"
46,PRIVATT-a closer look at people’s data privacy attitudes in times of COVID-19,Unknown,Unknown,IEEE,Unknown,2021,"Ramona Trestian, Guodong Xie, Pintu Lohar, Edoardo Celeste, Malika Bendechache, Rob Brennan, Irina Tal"
47,Incorporating User Preferences in Multi-objective Feature Selection in Software Product Lines Using Multi-Criteria Decision Analysis,Unknown,International Conference on Optimization and Learning,"Springer, Cham",Unknown,2021,"Takfarinas Saber, Malika Bendechache, Anthony Ventresque"
48,AUDD: Audio Urdu Digits Dataset for Automatic Audio Urdu Digit Recognition,Unknown,Unknown,Multidisciplinary Digital Publishing Institute,Applied Sciences,2021,"Aisha Aiman, Yao Shen, Malika Bendechache, Irum Inayat, Teerath Kumar"
49,首页» 文章» 文章详细信息,Unknown,Unknown,Unknown,Unknown,Unknown,"Ramin Ranjbarzadeh, Saeid Jafarzadeh Ghoushchi, Malika Bendechache, Amir Amirabadi, Mohd Nizam Ab Rahman, Soroush Baseri Saadi, Amirhossein Aghamohammadi, Mersedeh Kooshki Forooshani"
50,Urban enterprise: a review of smart city frameworks from an enterprise architecture perspective,23,2016 IEEE International Smart Cities Conference (ISC2),IEEE,Unknown,2016,"Aleksas Mamkaitis, Marija Bezbradica, Markus Helfert"
51,Cities as enterprises: a comparison of smart city frameworks based on enterprise architecture requirements,22,International conference on smart cities,"Springer, Cham",Unknown,2017,"Viviana Bastidas, Marija Bezbradica, Markus Helfert"
52,A requirements framework for the design of smart city reference architectures,16,Unknown,Unknown,Unknown,2018,"Viviana Bastidas, Markus Helfert, Marija Bezbradica"
53,Parallelisation strategies for large scale cellular automata frameworks in pharmaceutical modelling,13,2012 International Conference on High Performance Computing & Simulation (HPCS),IEEE,Unknown,2012,"Marija Bezbradica, Martin Crane, Heather J Ruskin"
54,Bitcoin currency fluctuation,12,Unknown,Scitepress,Unknown,2018,"Marius Kinderis, Marija Bezbradica, Martin Crane"
55,Scenario-based requirements elicitation for user-centric explainable ai,11,International Cross-Domain Conference for Machine Learning and Knowledge Extraction,"Springer, Cham",Unknown,2020,"Douglas Cirqueira, Dietmar Nedbal, Markus Helfert, Marija Bezbradica"
56,"Day ahead forecasting of FAANG stocks using ARIMA, LSTM networks and wavelets.",10,Unknown,CEUR Workshop Proceedings,Unknown,2018,"Tom Skehin, Martin Crane, Marija Bezbradica"
57,The role of user emotions for content personalization in e-commerce: literature review,8,International Conference on Human-Computer Interaction,"Springer, Cham",Unknown,2019,"Artem Bielozorov, Marija Bezbradica, Markus Helfert"
58,Performance analysis of the quality of service-aware networking scheme for smart internet of things gateways,8,2017 13th International Wireless Communications and Mobile Computing Conference (IWCMC),IEEE,Unknown,2017,"Anderson Augusto Simiscuka, Marija Bezbradica, Gabriel-Miro Muntean"
59,Urban Enterprise Principles development approach: a case from a European City,8,Unknown,Unknown,"AIS Pre-ICIS Work. IoT Smart City Challenges Appl. Dublin, Irel",2016,"Aleksas Mamkaitis, Marija Bezbradica, Markus Helfert"
60,Customer purchase behavior prediction in e-commerce: A conceptual framework and research agenda,7,Unknown,Springer Nature,"New Frontiers in Mining Complex Patterns: 8th International Workshop, NFMCP 2019, Held in Conjunction with ECML-PKDD 2019, Würzburg, Germany, September 16, 2019, Revised Selected Papers",2020,"Markus Helfert, Marija Bezbradica"
61,Modelling drug coatings: A parallel cellular automata model of ethylcellulose-coated microspheres,7,Unknown,"IACSIT Press, Singapore",Unknown,2011,"Marija Bezbradica, Heather J Ruskin, Martin Crane"
62,The Shift from financial to non-financial measures during transition into digital retail–a systematic literature review,6,International conference on business information systems,"Springer, Cham",Unknown,2019,"Gültekin Cakir, Marija Bezbradica, Markus Helfert"
63,Applications of High Performance Algorithms to Large Scale Cellular Automata Frameworks Used in Pharmaceutical Modelling.,6,Unknown,Unknown,J. Cell. Autom.,2016,"Marija Bezbradica, Martin Crane, Heather J Ruskin"
64,Predicting students’ academic performance and main behavioral features using data mining techniques,5,International Conference on Computing,"Springer, Cham",Unknown,2019,"Suad Almutairi, Hadil Shaiba, Marija Bezbradica"
65,Towards preprocessing guidelines for neural network embedding of customer behavior in digital retail,5,Unknown,Unknown,Unknown,2019,"Douglas Cirqueira, Markus Helfert, Marija Bezbradica"
66,Types of IT architectures in smart cities–a review from a business model and enterprise architecture perspective,5,Unknown,Unknown,Unknown,2016,"Zohreh Pourzolfaghar, Marija Bezbradica, Markus Helfert"
67,Comparative analysis of asynchronous cellular automata in stochastic pharmaceutical modelling,5,Unknown,Elsevier,Journal of Computational Science,2014,"Marija Bezbradica, Heather J Ruskin, Martin Crane"
68,Understanding urban mobility and pedestrian movement,4,Unknown,IntechOpen,Unknown,2019,"Marija Bezbradica, Heather J Ruskin"
69,An overview of user-level usage monitoring in cloud environment,4,Unknown,UKAIS,Unknown,2018,"Manoj Kesavulu, Duc Tien Dang Nguyen, Markus Helfert, Marija Bezbradica"
70,A usage-based data extraction framework for cloud-based application-an human-computer interaction approach,4,Unknown,Scitepress,Unknown,2017,"Manoj Kesavulu, Markus Helfert, Marija Bezbradica"
71,"Customer Purchase Behavior Prediction in E-commerce: Current Tasks, Applications and Methodologies",3,Unknown,Unknown,International Workshop New Frontiers in Mining Complex Patterns,2019,"Douglas Cirqueira, Markus Hofer, Dietmar Nedbal, Markus Helfert, Marija Bezbradica"
72,Modelling impact of morphological urban structure and cognitive behaviour on pedestrian flows,3,International Conference on Computational Science and Its Applications,"Springer, Cham",Unknown,2014,"Marija Bezbradica, Heather J Ruskin"
73,AI cloud-based smart manufacturing and 3D printing techniques for future in-house production,2,2019 International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM),IEEE,Unknown,2019,"Mohammed Saeed Jawad, Marija Bezbradica, Martin Crane, Mohammed Khalil Alijel"
74,Generic Refactoring Methodology for Cloud Migration-Position Paper,2,International Conference on Cloud Computing and Services Science,SCITEPRESS,Unknown,2017,"Manoj Kesavulu, Marija Bezbradica, Markus Helfert"
75,Probabilistic pharmaceutical modelling: a comparison between synchronous and asynchronous cellular automata,2,International Conference on Parallel Processing and Applied Mathematics,"Springer, Berlin, Heidelberg",Unknown,2013,"Marija Bezbradica, Heather J Ruskin, Martin Crane"
76,Stochastic computational modelling of complex drug delivery systems,2,Unknown,Unknown,Unknown,2013,Marija Bezbradica
77,High-performance computing for data analytics,2,2012 IEEE/ACM 16th International Symposium on Distributed Simulation and Real Time Applications,IEEE,Unknown,2012,"Dimitri Perrin, Marija Bezbradica, Martin Crane, Heather J Ruskin, Christophe Duhamel"
78,Probabilistic models for dissolution of ethylcellulose coated microsphere,2,Unknown,ESM-Eurosis,Unknown,2010,"Marija Bezbradica, Ana Barat, Heather J Ruskin, Martin Crane"
79,Generating and Analyzing Chatbot Responses using Natural Language Processing,2,Unknown,Unknown,Unknown,Unknown,"Moneerh Aleedy, Hadil Shaiba, Marija Bezbradica"
80,Learning behaviours data in programming education: Community analysis and outcome prediction with cleaned data,1,Unknown,North-Holland,Future Generation Computer Systems,2022,"Tai Tan Mai, Marija Bezbradica, Martin Crane"
81,Student behaviours in using learning resources in higher education: How do behaviours reflect success in programming education?,1,Unknown,Editorial Universitat Politècnica de València,Unknown,2021,"Tai Mai, Martin Crane, Marija Bezbradica"
82,Towards Refactoring in Cloud-Centric Internet of Things for Smart Cities,1,Unknown,Unknown,Unknown,2016,"Manoj Kesavulu, Markus Helfert, Marija Bezbradica"
83,Towards Design Principles for User-Centric Explainable AI in Fraud Detection,Unknown,International Conference on Human-Computer Interaction,"Springer, Cham",Unknown,2021,"Douglas Cirqueira, Markus Helfert, Marija Bezbradica"
84,Education as a complex system: using physic methods for the analysis of students' learning behaviours in the context of programming education.,Unknown,Unknown,Unknown,Unknown,2021,"Tai Tan Mai, Marija Bezbradica, Martin Crane"
85,Explainable Sentiment Analysis Application for Social Media Crisis Management in Retail,Unknown,Unknown,Unknown,Unknown,2020,"Douglas Cirqueira, Fernando Almeida, Gültekin Cakir, Antonio Jacob, Fabio Lobato, Marija Bezbradica, Markus Helfert"
86,Retail Strategy in the Age of Retail Apocalypse–Exploring the Role of Customer Experience Orientation on Retail Performance,Unknown,Unknown,Unknown,Unknown,2020,"Gültekin Cakir, Marija Bezbradica, Markus Helfert"
87,Who Wants to Use an Augmented Reality Shopping Assistant Application?,Unknown,Unknown,Unknown,Unknown,2020,"Daniel Mora, Robert Zimmermann, Douglas Cirqueira, Marija Bezbradica, Markus Helfert, Andreas Auinger, Dirk Werth"
88,Scenario-Based Requirements Elicitation for User-Centric Explainable AI,Unknown,Unknown,Springer Nature,"Machine Learning and Knowledge Extraction: 4th IFIP TC 5, TC 12, WG 8.4, WG 8.9, WG 12.9 International Cross-Domain Conference, CD-MAKE 2020, Dublin, Ireland, August 25-28, 2020, Proceedings",2020,Marija Bezbradica
89,Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,Unknown,Unknown,Academic Press,Unknown,2020,"Marija Bezbradica, Martin Crane, Heather J Ruskin"
90,Received Total Wideband Power Data Analysis: Multiscale wavelet analysis of RTWP data in a 3G network,Unknown,Unknown,Unknown,Unknown,2019,"John Garrigan, Martin Crane, Marija Bezbradica"
91,A usage analytics model for analysing user behaviour in IBM academic cloud,Unknown,Unknown,Unknown,Unknown,2018,"Manoj Kesavulu, Duc Tien Dang Nguyen, Marija Bezbradica, Markus Helfert"
92,Usage Analytics: A Process to Extract and Analyse Usage Data to Understand User Behaviour in Cloud,Unknown,International Conference on Computer-Human Interaction Research and Applications,"Springer, Cham",Unknown,2017,"Manoj Kesavulu, Duc-Tien Dang-Nguyen, Marija Bezbradica, Markus Helfert"
93,Proposing Design Principles for User-Centric Explainable AI in Fraud Detection⋆,Unknown,Unknown,Unknown,Unknown,Unknown,Marija Bezbradica
94,This file was downloaded from: http://eprints. qut. edu. au/82681,Unknown,Unknown,Unknown,Unknown,Unknown,"D Perrin, M Bezbradica, M Crane, HJ Ruskin, C Duhamel"
95,Probabilistic Pharmaceutical Modelling: A Comparison Between Synchronous and Asynchronous Cellular...,Unknown,Unknown,Unknown,Unknown,Unknown,"Marija Bezbradica, Heather J Ruskin, Martin Crane"
96,Seshat: The global history databank,159,Unknown,Unknown,Cliodynamics: The Journal of Quantitative History and Cultural Evolution,2015,"Peter Turchin, Rob Brennan, Thomas E Currie, Kevin C Feeney, Pieter Francois, Daniel Hoyer, Joseph G Manning, Arkadiusz Marciniak, Daniel Austin Mullins, Alessio Palmisano, Peter Peregrine, Edward AL Turner, Harvey Whitehouse"
97,Cross-lingual ontology mapping–an investigation of the impact of machine translation,79,Unknown,Springer Berlin/Heidelberg,The Semantic Web,2009,"Bo Fu, Rob Brennan, Declan O’Sullivan"
98,SCTP congestion control: Initial simulation studies,48,Unknown,Elsevier,Unknown,2001,"Rob Brennan, Thomas Curran"
99,Cross-lingual ontology mapping and its use on the multilingual semantic web,45,Unknown,Unknown,"Proceedings of the 1st Workshop on the Multilingual Semantic Web, CEUR",2010,"Bo Fu, Rob Brennan, Declan O'Sullivan"
100,A configurable translation-based cross-lingual ontology mapping system to adjust mapping outcome,41,Unknown,Elsevier,"Web Semantics: Science, Services and Agents on the World Wide Web",2012,"Bo Fu, Rob Brennan, Declan O’Sullivan"
101,FIPA-compliant agents for real-time control of intelligent network traffic,41,Unknown,Elsevier,Computer Networks,1999,"Brendan Jennings, Rob Brennan, Rune Gustavsson, Robert Feldt, Jeremy Pitt, Konstantinos Prouskas, Joachim Quantz"
102,Improving curated web-data quality with structured harvesting and assessment,37,Unknown,IGI Global,International Journal on Semantic Web and Information Systems (IJSWIS),2014,"Kevin Chekov Feeney, Declan O'Sullivan, Wei Tai, Rob Brennan"
103,Evolutionary trends in intelligent networks,37,Unknown,IEEE,IEEE Communications Magazine,2000,"Rob Brennan, Brendan Jennings, Conor McArdle, Thomas Curran"
104,"Challenges for federated, autonomic network management in the future internet",35,2009 IFIP/IEEE International Symposium on Integrated Network Management-Workshops,IEEE,Unknown,2009,"Brendan Jennings, Rob Brennan, William Donnelly, Simon N Foley, Dave Lewis, Declan O'Sullivan, John Strassner, Sven van der Meer"
105,Experimental studies of SCTP multi-homing,34,Unknown,Unknown,"First Joint IEI/IEE Symposium on Telecommunications Systems Research, Dublin, Ireland",2001,"Thomas Ravier, Rob Brennan, Thomas Curran"
106,The Celtic Gandalf framework,30,MELECON 2006-2006 IEEE Mediterranean Electrotechnical Conference,IEEE,Unknown,2006,"Zwi Altman, Ronan Skehill, Raquel Barco, Lars Moltsen, Rob Brennan, Abed Samhat, Rana Khanafer, Hervé Dubreil, Michael Barry, Beatriz Solana"
107,"A macroscope for global history: Seshat Global History Databank, a methodological overview",26,Unknown,The Alliance of Digital Humanities Organizations,Unknown,2016,"Pieter Francois, JG Manning, Harvey Whitehouse, Rob Brennan, Thomas Currie, Kevin Feeney, Peter Turchin"
108,Creating a vocabulary for data privacy,24,"OTM Confederated International Conferences"" On the Move to Meaningful Internet Systems""","Springer, Cham",Unknown,2019,"Harshvardhan J Pandit, Axel Polleres, Bert Bos, Rob Brennan, Bud Bruegger, Fajar J Ekaputra, Javier D Fernández, Roghaiyeh Gachpaz Hamed, Elmar Kiesling, Mark Lizar, Eva Schlehahn, Simon Steyskal, Rigo Wenning"
109,User evaluation study of a tagging approach to semantic mapping,21,European Semantic Web Conference,"Springer, Berlin, Heidelberg",Unknown,2009,"Colm Conroy, Rob Brennan, Declan O’Sullivan, Dave Lewis"
110,Enabling decentralised management through federation,19,Unknown,Elsevier,Computer Networks,2010,"Kevin Feeney, Rob Brennan, John Keeney, Hendrik Thomas, Dave Lewis, Aidan Boran, Declan O’Sullivan"
111,Policy-based integration of multiprovider digital home services,18,Unknown,IEEE,IEEE network,2009,"Rob Brennan, David Lewis, John Keeney, Zohar Etzioni, Kevin Feeney, Declan O'Sullivan, Jose A Lozano, Brendan Jennings"
