,Title,Citation,Conference,Publisher,Journal,Date
0,Efficient cube construction for smart city data,10,Unknown,CEUR-WS. org,Unknown,2016
1,Generating cubes from smart city web data,7,Proceedings of the Australasian Computer Science Week Multiconference,ACM,Unknown,2017
2,Automating Data Mart Construction from Semi-structured Data Sources,6,Unknown,Oxford University Press,The Computer Journal,2018
3,Predicting customer churn for insurance data,4,International Conference on Big Data Analytics and Knowledge Discovery,"Springer, Cham",Unknown,2020
4,Attention Based Video Summaries of Live Online Zoom Classes,3,"AAAI-2021 Workshop on AI Education: ""Imagining Post-COVID Education with AI"" (TIPCE-2021) arXiv preprint arXiv:2101.06328",Unknown,Unknown,2021
5,Constructing data marts from web sources using a graph common model,2,Unknown,Unknown,Unknown,2018
6,Integrating online data for smart city data marts,2,British International Conference on Databases,"Springer, Cham",Unknown,2017
7,Identification of movement categories and associated velocity thresholds for elite Gaelic football and hurling referees,1,Unknown,Routledge,International Journal of Performance Analysis in Sport,2021
8,Representative Sample Extraction from Web Data Streams,1,International Conference on Database and Expert Systems Applications,"Springer, Cham",Unknown,2019
9,Using Artificial Intelligence to Automate Meat Cut Identification from the Semimembranosus Muscle on Beef Boning Lines,Unknown,Unknown,Unknown,Journal of Animal Science,2021
10,The L2L System for Second Language Learning Using Visualised Zoom Calls Among Students,Unknown,Unknown,arXiv preprint arXiv:2106.13512,"16th European Conference on Technology-Enhanced Learning (EC-TEL), Bozen-Bolzano, Italy (online), September 2021",2021
11,Usage-based Summaries of Learning Videos,Unknown,Unknown,arXiv preprint arXiv:2106.13504,"16th European Conference on Technology-Enhanced Learning (EC-TEL), Bozen-Bolzano, Italy (online), September 2021",2021
12,Machine learning-based tools for water digitalisation,Unknown,Unknown,Copernicus Meetings,Unknown,2021
13,CASIE–Computing affect and social intelligence for healthcare in an ethical and trustworthy manner,Unknown,Unknown,De Gruyter Open Access,"Paladyn, Journal of Behavioral Robotics",2021
14,Supporting an effective review of telecollaboration for second language learning by visualising the participation and engagement at Dublin City University,Unknown,Unknown,Unknown,Unknown,2021
15,A Methodology for Validating Diversity in Synthetic Time Series Generation,Unknown,Unknown,Elsevier,MethodsX,2021
16,Identifying extra-terrestrial intelligence using machine learning,Unknown,Unknown,CEUR-WS,Unknown,2020
17,Integrating online data for smart city data marts,Unknown,Unknown,Springer International Publishing,Unknown,2017
18,Simulating fog and edge computing scenarios: An overview and research challenges,67,Unknown,Multidisciplinary Digital Publishing Institute,Unknown,2019
19,Distributed clustering algorithm for spatial data mining,39,2015 2nd IEEE International Conference on Spatial Data Mining and Geographical Knowledge Services (ICSDM),IEEE,Unknown,2015
20,Efficient large scale clustering based on data partitioning,23,2016 IEEE international conference on Data science and advanced analytics (DSAA),IEEE,Unknown,2016
21,Parallel and distributed clustering framework for big spatial data mining,22,Unknown,Taylor & Francis,"International Journal of Parallel, Emergent and Distributed Systems",2019
22,Hierarchical aggregation approach for distributed clustering of spatial datasets,12,2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW),IEEE,Unknown,2016
23,Lung infection segmentation for COVID-19 Pneumonia based on a cascade convolutional network from CT images,10,Unknown,Hindawi,BioMed Research International,2021
24,Simulating resource management across the cloud-to-thing continuum: A survey and future directions,10,Unknown,Multidisciplinary Digital Publishing Institute,Unknown,2020
25,Modelling and simulation of ElasticSearch using cloudsim,9,2019 IEEE/ACM 23rd International Symposium on Distributed Simulation and Real Time Applications (DS-RT),IEEE,Unknown,2019
26,Detecting human activities based on a multimodal sensor data set using a bidirectional long short-term memory model: a case study,8,Unknown,"Springer, Cham",Unknown,2020
27,Brain tumor segmentation based on deep learning and an attention mechanism using MRI multi-modalities brain images,7,Unknown,Nature Publishing Group,Scientific Reports,2021
28,A review of current machine learning approaches for anomaly detection in network traffic,6,Unknown,Telecommunication Society of Australia Ltd.,Unknown,2020
29,Towards simulation and optimization of cache placement on large virtual content distribution networks,6,Unknown,Elsevier,Journal of Computational Science,2020
30,Study of distributed dynamic clustering framework for spatial data mining,6,Unknown,Unknown,Unknown,2017
31,Performance evaluation of a distributed clustering approach for spatial datasets,4,Australasian Conference on Data Mining,"Springer, Singapore",Unknown,2017
