,Title,Authors,Citation,Conference,Publisher,Journal,Date
0,An examination of personality traits and how they impact on software development teams,"Murat Yilmaz, Rory V O’Connor, Ricardo Colomo-Palacios, Paul Clarke",74,Unknown,Elsevier,Information and Software Technology,2017
1,Software engineering education and games: a systematic literature review,"Mehmet Kosa, Murat Yilmaz, Rory O'Connor, Paul Clarke",70,Unknown,Technische Universität Graz,Journal of Universal Computer Science,2016
2,A Scrumban integrated gamification approach to guide software process improvement: a Turkish case study,"Murat Yilmaz, Rory V. O'Connor",65,Unknown,Unknown,Tehnicki Vjesnik (Technical Gazette),2016
3,Gamification as a Disruptive Factor in Software Process Improvement Initiatives.,"Eduardo Herranz, Ricardo Colomo Palacios, Antonio de Amescua Seco, Murat Yilmaz",65,Unknown,Unknown,J. Univers. Comput. Sci.,2014
4,Exploring the relationship between software process adaptive capability and organisational performance,"Paul Clarke, Rory V O’Connor, Brian Leavy, Murat Yilmaz",54,Unknown,IEEE,IEEE Transactions on Software Engineering,2015
5,A software process engineering approach to understanding software productivity and team personality characteristics: an empirical investigation,Murat Yilmaz,39,Unknown,Unknown,Unknown,2013
6,Teaching ISO/IEC 12207 software lifecycle processes: A serious game approach,"Ufuk Aydan, Murat Yilmaz, Paul M Clarke, Rory V O’Connor",36,Unknown,North-Holland,Computer Standards & Interfaces,2017
7,A systematic approach to the comparison of roles in the software development processes,"Murat Yilmaz, Rory V O’Connor, Paul Clarke",32,International Conference on Software Process Improvement and Capability Determination (SPICE 2012),"Springer, Berlin, Heidelberg",Unknown,2012
8,An investigation of software development process terminology,"Paul Clarke, Antoni-Lluís Mesquida, Damjan Ekert, Joseph J Ekstrom, Tatjana Gornostaja, Milos Jovanovic, Jørn Johansen, Antonia Mas, Richard Messnarz, Blanca Nájera Villar, Alexander O’Connor, Rory V O’Connor, Michael Reiner, Gabriele Sauberer, Klaus-Dirk Schmitz, Murat Yilmaz",30,International Conference on Software Process Improvement and Capability Determination (SPICE 2016),"Springer, Cham",Unknown,2016
9,Overcoming Public Speaking Anxiety of Software Engineers Using Virtual Reality Exposure Therapy,"Merve Denizci Nazligul, Murat Yilmaz, Ulas Gulec, Mert Ali Gozcu, Rory V O’ Connor, Paul M Clarke",28,European Conference on Software Process Improvement (EUROSPI 2017),Unknown,Unknown,2017
10,A gamification approach to improve the software development process by exploring the personality of software practitioners,"Mert Yilmaz, Murat Yilmaz, Rory V O’Connor, Paul Clarke",27,International Conference on Software Process Improvement and Capability Determination,"Springer, Cham",Unknown,2016
11,Towards the understanding and classification of the personality traits of software development practitioners: Situational context cards approach,"Murat Yilmaz, Rory V OConnor",25,2012 38th Euromicro Conference on Software Engineering and Advanced Applications,IEEE,Unknown,2012
12,Improving software development process through economic mechanism design,"Murat Yilmaz, Rory V O’Connor, John Collins",24,European Conference on Software Process Improvement (EUROSPI 2010),"Springer, Berlin, Heidelberg",Unknown,2010
13,A 3D virtual environment for training soccer referees,"Ulas Gulec, Murat Yilmaz, Veysi Isler, Rory V O’Connor, Paul M Clarke",23,Unknown,North-Holland,Computer Standards & Interfaces,2019
14,Effective social productivity measurements during software development—an empirical study,"Murat Yilmaz, Rory V O'Connor, Paul Clarke",22,Unknown,World Scientific Publishing Company,International Journal of Software Engineering and Knowledge Engineering,2016
15,Software development roles: a multi-project empirical investigation,"Murat Yilmaz, Rory V O'Connor, Paul Clarke",21,Unknown,ACM,ACM SIGSOFT Software Engineering Notes,2015
16,In search of the origins and enduring impact of agile software development,"Paul Clarke, Rory V O'Connor, Murat Yilmaz",19,Unknown,Unknown,Unknown,2018
17,Towards a serious game to teach ISO/IEC 12207 software lifecycle process: an interactive learning approach,"Ufuk Aydan, Murat Yilmaz, Rory V O’Connor",18,International Conference on Software Process Improvement and Capability Determination (SPICE 2015),"Springer, Cham",Unknown,2015
18,A hierarchy of SPI activities for software SMEs: results from ISO/IEC 12207-based SPI assessments,"Paul Clarke, Rory V O’Connor, Murat Yilmaz",16,International Conference on Software Process Improvement and Capability Determination (SPICE 2012),"Springer, Berlin, Heidelberg",Unknown,2012
19,Social capital as a determinant factor of software development productivity: An empirical study using structural equation modeling,"Murat Yilmaz, Rory O’Connor",16,Unknown,IGI Global,International Journal of Human Capital and Information Technology Professionals (IJHCITP),2012
20,A systematic investigation into the use of game elements in the context of software business landscapes: A systematic literature review,"Serhan Olgun, Murat Yilmaz, Paul Clarke, Rory O’Connor",15,International Conference on Software Process Improvement and Capability Determination (SPICE 2017),"Springer, Cham",Unknown,2017
21,A market based approach for resolving resource constrained task allocation problems in a software development process,"Murat Yilmaz, Rory V O’Connor",15,European Conference on Software Process Improvement,"Springer, Berlin, Heidelberg",Unknown,2012
22,A software process engineering approach to improving software team productivity using socioeconomic mechanism design,"Murat Yilmaz, Rory V O'Connor",15,Unknown,ACM,ACM SIGSOFT Software Engineering Notes,2011
23,An empirical investigation into social productivity of a software process: An approach by using the structural equation modeling,"Murat Yilmaz, Rory V O’connor",15,European Conference on Software Process Improvement (EUROSPI 2011),"Springer, Berlin, Heidelberg",Unknown,2011
24,Refactoring software development process terminology through the use of ontology,"Paul M Clarke, Antoni Lluís Mesquida Calafat, Damjan Ekert, Joseph J Ekstrom, Tatjana Gornostaja, Milos Jovanovic, Jørn Johansen, Antonia Mas, Richard Messnarz, Blanca Nájera Villar, Alexander O’Connor, Rory V O’Connor, Michael Reiner, Gabriele Sauberer, Klaus-Dirk Schmitz, Murat Yilmaz",14,European Conference on Software Process Improvement (EuroSPI 2016),"Springer, Cham",Unknown,2016
25,A serious game for improving the decision making skills and knowledge levels of Turkish football referees according to the laws of the game,"Ulas Gulec, Murat Yilmaz",13,Unknown,Springer International Publishing,SpringerPlus,2016
26,Maximizing the value of the software development process by game theoretic analysis,"Murat Yilmaz, Rory V O'Connor",13,Proceedings of the 11th International Conference on Product Focused Software (PROFES 2010),ACM,Unknown,2010
27,Integration of accessibility design patterns with the software implementation process of ISO/IEC 29110,"Sandra Sanchez‐Gordon, Mary Sánchez‐Gordón, Murat Yilmaz, Rory V O'Connor",12,Unknown,Unknown,Journal of Software: Evolution and Process,2019
28,The Impact of Situational Context on Software Process: A Case Study of a Very Small-Sized Company in the Online Advertising Domain,"Görkem Giray, Murat Yilmaz, Rory V O’Connor, Paul M Clarke",12,25th European Conference on Software Process Improvement (EuroSPI 2018),"Springer, Cham",Unknown,2018
29,An interactive 3D virtual environment to reduce the public speaking anxiety levels of novice software engineers,"Merve Denizci Nazligul, Murat Yilmaz, Ulaş Gulec, Adviye Esin Yılmaz, Veysi Isler, Rory O'Connor, MA Gozcu, Paul Clarke",12,Unknown,The Institution of Engineering and Technology,IET Software,2018
30,Exploring software process variation arising from differences in situational context,"Ryan Treanor Paul M Clarke, Rory V O’Connor, David Solan, Peter Elger, Murat Yilmaz, Adam Ennis, Mark Gerrity, Sean McGrath",12,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2017
31,A Literature Survey: Is it Necessary to Develop a New Software Development Methodology for Virtual Reality Projects?,"Ulas Gulec, Murat Yilmaz, Veysi İsler",12,Unknown,Technische Universität Graz,Journal of Universal Computer Science,2017
32,A machine-based personality oriented team recommender for software development organizations,"Murat Yilmaz, Ali Al-Taei, Rory V O’Connor",11,European Conference on Software Process Improvement (EUROSPI 2015),"Springer, Cham",Unknown,2015
33,Applying blockchain to improve the integrity of the software development process,"Murat Yilmaz, Serdar Tasel, Eray Tuzun, Ulas Gulec, Rory V O’Connor, Paul M Clarke",9,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2019
34,Examining Reward Mechanisms for Effective Usage of Application Lifecycle Management Tools,"Çağdaş Üsfekes, Murat Yilmaz, Eray Tuzun, Paul M Clarke, Rory V O’ Connor",8,European Conference on Software Process Improvement (EUROSPI 2017),Unknown,Unknown,2017
35,An Exploratory Study to Assess Analytical and Logical Thinking Skills of the Software Practitioners using a Gamification Perspective,"Şahin Kayalı, Murat Yilmaz",8,Unknown,Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü,Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü Dergisi,2017
36,Designing games for improving the software development process,"Mehmet Kosa, Murat Yilmaz",8,European Conference on Software Process Improvement (EUROSPI 2015),"Springer, Cham",Unknown,2015
37,An exploration of individual personality types in software development,"Murat Yilmaz, Rory V O’Connor, Paul Clarke",8,European Conference on Software Process Improvement,"Springer, Berlin, Heidelberg",Unknown,2014
38,The Design Process of a Board Game for Exploring the Territories of the United States,"Mehmet Kosa, Murat Yilmaz",7,Unknown,Unknown,Press Start,2017
39,Software Developer’s Journey,"Murat Yilmaz, Berke Atasoy, Rory V O’Connor, Jean-Bernard Martens, Paul Clarke",7,European Conference on Software Process Improvement (EuroSPI 2016),"Springer, Cham",Unknown,2016
