Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Alessandra Mileo,An experimental comparison of knowledge transfer algorithms in deep neural networks.,"Quinn, Sean, McGuinness, Kevin, Mileo, Alessandra","Irish Machine Vision and Image Processing Conference (IMVIP), 1-3 Sept 2021, Dublin, Ireland",2021,"Sean Quinn, Kevin McGuinness, Alessandra Mileo","Quinn, Sean, ORCID: 0000-0003-0807-1076, McGuinness, Kevin, ORCID: 0000-0003-1336-6477, Mileo, Alessandra, ORCID: 0000-0002-6614-6462",,978-0-9934207-6-4,,Conference or Workshop Item (Paper),Conference,Yes,,,Knowledge Transfer; Knowledge Distillation; Deep Learning; Representation Learning,Computer Science > Image processing. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26159,06 Sep 2021 14:40 by  Kevin Mcguinness. Last Modified 08 Sep 2021 09:34,Irish Pattern Recognition & Classification Society Conference Proceedings 2021..  Irish Pattern Recognition & Classification Society. ISBN 978-0-9934207-6-4,Irish Pattern Recognition & Classification Society,https://drive.google.com/file/d/1quqaYxnhBBruPhYOYO3kiPXjmiD1itkN/view,© 2021 The Authors.,"Irish Research Council GOIPG/2018/2501, Science Foundation Ireland SFI/12/RC/2289_P2., Nvidia Corporation research hardware grant",,,
Alessandra Mileo,Extracting knowledge from deep neural networks through graph analysis.,"Horta, Vitor A.C., Tiddi, Ilaria, Little, Suzanne, Mileo, Alessandra","Future Generation Computer Systems, 120 . pp. 109-118",2021,"Vitor A.C. Horta, Ilaria Tiddi, Suzanne Little, Alessandra Mileo","Tiddi, Ilaria, ORCID: 0000-0001-7116-9338, Little, Suzanne, ORCID: 0000-0003-3281-3471, Mileo, Alessandra, ORCID: 0000-0002-6614-6462","Horta, Vitor A.C.",,0167-739X,Article (Published),,Yes,,,Explainable AI; Deep representation learning; Graph analysis,Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,25855,18 May 2021 13:02 by  Vitor Araujo Cautiero horta. Last Modified 18 May 2021 13:22,,Elsevier,https://dx.doi.org/10.1016/j.future.2021.02.009,© 2021 The Authors. Open Access. (CC-BY-4.0),,,,
Alessandra Mileo,Towards explaining deep neural networks through graph analysis.,"Horta, Vitor A.C., Mileo, Alessandra","International Conference on Database and Expert Systems Applications DEXA 2019, 26-20 Aug 2019, Linz, Austria",2019,"Vitor A.C. Horta, Alessandra Mileo","Mileo, Alessandra, ORCID: 0000-0002-6614-6462","Horta, Vitor A.C.",978-3-030-27683-6,,Conference or Workshop Item (Paper),Workshop,Yes,,,Explainable AI; Deep learning; Graph analysis,Computer Science > Artificial intelligence,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24691,08 Jul 2020 13:46 by  Alessandra Mileo. Last Modified 08 Jul 2020 13:46,DEXA 2019: Database and Expert Systems Applications. Communications in Computer and Information Science (CCIS)1062.  Springer. ISBN 978-3-030-27683-6,Springer,http://dx.doi.org/10.1007/978-3-030-27684-3_20,© 2019 Springer,Science Foundation Ireland (SFI) Grant Number 17/RC-PhD/3483.,,,
Alessandra Mileo,Towards architecture-agnostic neural transfer: a knowledge-enhanced approach.,"Quinn, Sean, Mileo, Alessandra","28th International Joint Conference on Artificial Intelligence, 10 - 16 Aug 2019, Macao, China",2019,"Sean Quinn, Alessandra Mileo","Mileo, Alessandra, ORCID: 0000-0002-6614-6462","Quinn, Sean",978-0-9992411-2-7,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23353,23 May 2019 15:00 by  Sean Quinn. Last Modified 06 Aug 2019 14:14,"Kraus, Sarit, (ed.)Proceedings of the 28th International Joint Conference on Artificial Intelligence..  International Joint Conferences on Artificial Intelligence Organization. ISBN 978-0-9992411-2-7",International Joint Conferences on Artificial Intelligence Organization,http://dx.doi.org/10.24963/ijcai.2019/915,© 2019 International Joint Conferences on Artificial Intelligence,"Irish Research Council (GOIPG/2018/2501), Science Foundation Ireland (SFI/12/RC/2289)",,,
Alessandra Mileo,Enhancing the scalability of expressive stream reasoning via input-driven parallelization.,"Le Pham, Thu, Ali, Intizar, Mileo, Alessandra","Semantic Web, 10 (3). pp. 457-474",2019,"Thu Le Pham, Intizar Ali, Alessandra Mileo","Mileo, Alessandra, ORCID: 0000-0002-6614-6462","Le Pham, Thu, Ali, Intizar",,1570-0844,Article (Published),,Yes,,,"Semantic Web, stream reasoning; non-monotonic reasoning; Answer Set Programming; parallel reasoning, data partitioning; dependency graph",UNSPECIFIED,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22940,18 Jan 2019 15:55 by  Alessandra Mileo. Last Modified 24 Apr 2019 09:13,,IOS Press,http://dx.doi.org/10.3233/SW-180330,© 2018 IOS Press and the authors. All rights reserved,,,,
Alessandra Mileo,Injecting knowledge into deep neural networks.,"Quinn, Sean, Mileo, Alessandra","Irish Postgraduate Research Conference, 8-9 Nov 2018, Dublin, Ireland.",2018,"Sean Quinn, Alessandra Mileo","Mileo, Alessandra, ORCID: 0000-0002-6614-6462","Quinn, Sean",,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22953,28 Jan 2019 09:42 by  Sean Quinn. Last Modified 31 Jan 2019 16:28,,,,© 2018 The Authors,"Irish Research Council, GOIPG/2018/2501",,,
Alessandra Mileo,Automated discovery and integration of semantic urban data streams: the ACEIS middleware.,"Gao, Feng, Muhammad, Intizar Ali, Curry, Edward, Mileo, Alessandra","Future Generation Computer Systems, 76 . pp. 561-581",2017,"Feng Gao, Intizar Ali Muhammad, Edward Curry, Alessandra Mileo",,"Gao, Feng, Muhammad, Intizar Ali, Curry, Edward, Mileo, Alessandra",,0167-739X,Article (Published),,Yes,,,Semantic Web; Complex Event Processing; Service Oriented Computing; RDF Stream Processing,Computer Science > Information technology. Computer Science > Artificial intelligence. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21737,03 May 2017 11:28 by  Alessandra Mileo. Last Modified 02 Mar 2019 04:30,,Elsevier,https://doi.org/10.1016/j.future.2017.03.002,© 2017 Elsevier,"Science Foundation Ireland grant No. SFI/12/RC/2289, European Science Foundation. EU FP7 CityPulse Project under grant No. 603095, Key Projects of National Social Science Foundation of China (11 & ZD189)",,,
Alessandra Mileo,Automatic configuration of smart city applications for user-centric decision support.,"Pham, Thu-Le, Germano, Stefano, Mileo, Alessandra, Kuemper, Daniel, Muhammad, Intizar Ali","Workshop on IoT Infrastructures and Data Analytics for Smart Cities, 7-9 Mar 2017, Paris, France",2017,"Thu-Le Pham, Stefano Germano, Alessandra Mileo, Daniel Kuemper, Intizar Ali Muhammad",,"Pham, Thu-Le, Germano, Stefano, Mileo, Alessandra, Kuemper, Daniel, Muhammad, Intizar Ali",2472-8144,,Conference or Workshop Item (Paper),Workshop,Yes,,,Smart cities; Real-time systems; Data acquisition; Semantics; Decision Support,Computer Science > Computer networks. Computer Science > Information technology. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21770,03 May 2017 09:57 by  Alessandra Mileo. Last Modified 19 Jul 2018 15:10,"20th Conference on Innovations in Clouds, Internet and Networks (ICIN). ICIN(168091).  IEEE. ISBN 2472-8144",IEEE,http://ieeexplore.ieee.org/abstract/document/7899441/,,"EU Citypulse  grant No.603095., Science Foundation Ireland No. SFI/12/RC/2289",,,
Alessandra Mileo,Towards scalable non-monotonic stream reasoning via input dependency analysis.,"Pham, Thu-Le, Mileo, Alessandra, Intizar Ali, Muhammad","8th International Workshop on Data Engineering meets the Semantic Web (DESWeb), 19-22 Apr 2017, San Diego, USA. (In Press)",2017,"Thu-Le Pham, Alessandra Mileo, Muhammad Intizar Ali",,"Pham, Thu-Le, Mileo, Alessandra, Intizar Ali, Muhammad",,,Conference or Workshop Item (Paper),Workshop,Yes,,,Stream reasoning; rule-based systems; semantic query processing,Computer Science > Information technology,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21769,04 May 2017 10:05 by  Alessandra Mileo. Last Modified 19 Jul 2018 15:10,,,,,"Science Foundation Ireland grant No. SFI/12/RC/2289, Insight-Cisco Systems Galway targeted project grant No. RIB1144.",,,
Alessandra Mileo,Stream Reasoning.,"Mileo, Alessandra, Dao-Tran, Minh, Eiter, Thomas, Fink, Michael","Ozsu, M. Tamer and Liu, Ling, (eds.) Encyclopedia of Database Systems 2017. Encyclopedia of Database Systems, Volume . Springer-Verlag, New York, USA",2017,"Alessandra Mileo, Minh Dao-Tran, Thomas Eiter, Michael Fink",,"Mileo, Alessandra, Dao-Tran, Minh, Eiter, Thomas, Fink, Michael",9781461482666,,Book Section,,Yes,,,,Computer Science > Information technology. Computer Science > Algorithms. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21771,02 May 2017 13:56 by  Alessandra Mileo. Last Modified 19 Jul 2018 15:10,,Springer-Verlag,,© 2017 Springer-Verlag,Science Foundation Ireland,,,
