Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Andy Way,DELA Corpus - A Document-Level Corpus Annotated with Context-Related Issues.,"Castilho, Sheila, Cavalheiro Camargo, João Lucas, Menezes, Miguel, Way, Andy","Sixth Conference on Machine Translation (WMT21), 10-11 Nov 2021, Punta Cana, Dominican Republic (Online). (In Press)",2021,"Sheila Castilho, João Lucas Cavalheiro Camargo, Miguel Menezes, Andy Way","Castilho, Sheila, ORCID: 0000-0002-8416-6555, Cavalheiro Camargo, João Lucas, ORCID: 0000-0003-3746-1225, Way, Andy, ORCID: 0000-0001-5736-5930","Menezes, Miguel",,,Conference or Workshop Item (Paper),Conference,Yes,,,"machine translation evaluation; document-level MT; corpus, annotation",Computer Science > Computational linguistics. Computer Science > Machine translating. Humanities > Language. Humanities > Translating and interpreting. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26256,14 Sep 2021 12:44 by  Dr Sheila Castilho M de Sousa. Last Modified 14 Sep 2021 12:44,,Association for Computational Linguistics (ACL),https://aclanthology.org/venues/wmt/,2021 The Authors,"Irish Research Council (GOIPD/2020/69), Science Foundation Ireland through the SFI Research Centres Programme (Grant 13/RC/2106_P2)",,,
Andy Way,Can Google Translate Rewire Your L2 English Processing?,"Resende, Natália, Way, Andy","Digital, 1 (1). pp. 66-85",2021,"Natália Resende, Andy Way","Resende, Natália, ORCID: 0000-0002-5248-2457, Way, Andy, ORCID: 0000-0001-5736-5930",,,2673-6470,Article (Published),,Yes,,,machine translation; google translate; English learning; English teaching; Portuguese; syntactic priming; psycholinguistics,Humanities > Language. Humanities > Linguistics. Humanities > Translating and interpreting. Social Sciences > Teaching. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,26213,08 Sep 2021 11:25 by  Natalia Resende. Last Modified 08 Sep 2021 11:25,,MDPI,https://doi.org/10.3390/digital1010006,© 2021 the Authors. Open Access (CC-BY-4.0),"European Union’s Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 843455, Science Foundation Ireland Research Centres Programme (Grant 13/RC/2106) and is co-funded by the European Regional Development Fund",,,
Andy Way,A review of the state‑of‑the‑art in automatic post‑editing.,"do Carmo, Félix, Shterionov, Dimitar, Moorkens, Joss, Wagner, Joachim, Hossari, Murhaf, Paquin, Eric, Schmidtke, Dag, Groves, Declan, Way, Andy","Machine Translation, 35 (2). pp. 101-143",2020,"Félix do Carmo, Dimitar Shterionov, Joss Moorkens, Joachim Wagner, Murhaf Hossari, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way","do Carmo, Félix, ORCID: 0000-0003-4193-3854, Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, Moorkens, Joss, ORCID: 0000-0003-0766-0071, Wagner, Joachim, ORCID: 0000-0002-8290-3849, Way, Andy, ORCID: 0000-0001-5736-5930","Hossari, Murhaf, Paquin, Eric, Schmidtke, Dag, Groves, Declan",,0922-6567,Article (Published),,Yes,,,"Automatic Post-editing; Neural Post-editing; Neural machine
translation; State-of-the-art in Automatic Post-editing",Computer Science > Machine translating. Humanities > Translating and interpreting. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Applied Language and Intercultural Studies. Research Initiatives and Centres > ADAPT. ,,25316,06 Jan 2021 13:04 by  Joss Moorkens. Last Modified 05 Oct 2021 10:05,,Springer,http://dx.doi.org/10.1007/s10590-020-09252-y,© 2020 The Authors CC-BY- 4.0 (Open Access),"ADAPT Centre for Digital Content Technology funded under the SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund, Science Foundation Ireland (SFI) under Grant Number 13/RC/2077., European Union’s Horizon 2020 research and innovation programme, under the EDGE COFUND Marie Skłodowska-Curie Grant Agreement No. 713567.",,,
Andy Way,Terminology-aware sentence mining for NMT domain adaptation: ADAPT’s submission to the Adap-MT 2020 English-to-Hindi AI translation shared task.,"Haque, Rejwanul, Moslem, Yasmin, Way, Andy","Workshop on Low Resource Domain Adaptation for Indic Machine Translation (Adap-MT 2020), 18-21 Dec 2020, Patna, India (Online). (In Press)",2020,"Rejwanul Haque, Yasmin Moslem, Andy Way","Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Moslem, Yasmin, ORCID: 0000-0003-4595-6877, Way, Andy, ORCID: 0000-0001-5736-5930",,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Computational linguistics. Computer Science > Machine learning. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25446,28 Jan 2021 14:11 by  Thomas Murtagh. Last Modified 28 Jan 2021 14:11,Proceedings of Workshop on Low Resource Domain Adaptation for Indic Machine Translation (Adap-MT 2020)..  NLP Association of India (NLPAI).,NLP Association of India (NLPAI),,© 2020 The Authors,"Science Foundation Ireland (SFI) Research Centres Programme (Grant No. 13/RC/2106) and is co-funded under the European Regional Development Fund, Science Foundation Ireland (SFI) under Grant Number 13/RC/2077 and 18/CRT/6224",Part of ICON 2020: 17th International Conference on Natural Language Processing,,
Andy Way,Identifying complaints from product reviews in low-resource scenarios via neural machine translation.,"Singh, Raghvendra Pratap, Haque, Rejwanul, Hasanuzzaman, Mohammed, Way, Andy","ICON 2020: 17th International Conference on Natural Language Processing, 18-21 Dec 2020, IIT Patna, India (Online).",2020,"Raghvendra Pratap Singh, Rejwanul Haque, Mohammed Hasanuzzaman, Andy Way","Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Hasanuzzaman, Mohammed, ORCID: 0000-0003-1838-0091, Way, Andy, ORCID: 0000-0001-5736-5930","Singh, Raghvendra Pratap",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Computational linguistics. Computer Science > Machine learning. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25291,04 Jan 2021 13:15 by  Raghvendra Pratap Singh. Last Modified 12 Aug 2021 14:07,,Association for Computational Linguistics (ACL),,© 2020 The Authors,Science Foundation Ireland (SFI) Research Centres Programme (Grant No. 13/RC/2106) and is co-funded under the European Regional Development Fund.,"This paper is from the practicum of M.Sc. in Computing, Dublin City University",,
Andy Way,Identifying complaints from product reviews: a case study on Hindi.,"Singh, Raghvendra Pratap, Haque, Rejwanul, Hasanuzzaman, Mohammed, Way, Andy","28th Irish Conference on Artificial Intelligence and Cognitive Science, 7-8 Dec 2020, Dublin, Ireland.",2020,"Raghvendra Pratap Singh, Rejwanul Haque, Mohammed Hasanuzzaman, Andy Way","Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Hasanuzzaman, Mohammed, ORCID: 0000-0003-1838-0091, Way, Andy, ORCID: 0000-0001-5736-5930","Singh, Raghvendra Pratap",,,Conference or Workshop Item (Paper),Conference,Yes,,,Random walk; LSTM; fastText;Dice coeﬀicient; SMOTE,Computer Science > Artificial intelligence. Computer Science > Computational linguistics. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,25290,04 Jan 2021 13:32 by  Raghvendra Pratap Singh. Last Modified 04 Jan 2021 13:32,Proceedings of The 28th Irish Conference on Artificial Intelligence and Cognitive Science AICS 2020.2771.  CUER-WS.,CUER-WS,http://ceur-ws.org/Vol-2771/AICS2020_paper_28.pdf,© 2020 The Authors CC- 0 (Open Access),,"This paper was presented in student track of AICS2020 from the practicum of M.Sc. in Computing, Dublin City University",,
Andy Way,An error-based investigation of statistical and neural machine translation performance on Hindi-to-Tamil and English-to-Tamil.,"Ramesh, Akshai, Parthasarathy, Venkatesh Balavadhani, Haque, Rejwanul, Way, Andy","7th Workshop on Asian Translation (WAT2020), 4 Dec 2020, Suzhou, China (Online).",2020,"Akshai Ramesh, Venkatesh Balavadhani Parthasarathy, Rejwanul Haque, Andy Way","Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Way, Andy, ORCID: 0000-0001-5736-5930","Ramesh, Akshai, Parthasarathy, Venkatesh Balavadhani",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Computational linguistics. Computer Science > Computer engineering. Computer Science > Machine learning. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25203,04 Dec 2020 14:24 by  Rejwanul Haque. Last Modified 08 Apr 2021 16:29,Proceedings of the 7th Workshop on Asian Translation (WAT2020)..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/2020.wat-1.22,© 2020 The Authors.,"Science Foundation Ireland (SFI) Research Centres Programme (Grant No. 13/RC/2106), European Research Council, European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No. 713567, Science Foundation Ireland (SFI) under Grant Number 13/RC/2077",,,
Andy Way,Arabisc: context-sensitive neural spelling checker.,"Moslem, Yasmin, Haque, Rejwanul, Way, Andy","AACL Workshop of Natural Language Processing Techniques for Educational Application (NLP-TEA), Asia-Pacific Chapter of the Association for Computational Linguistics (AACL), 4 Dec 2020, Suzhou, China (Online).",2020,"Yasmin Moslem, Rejwanul Haque, Andy Way","Moslem, Yasmin, ORCID: 0000-0003-4595-6877, Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Way, Andy, ORCID: 0000-0001-5736-5930",,,,Conference or Workshop Item (Paper),Workshop,Yes,,,Spelling Checking; Spelling Correction,Computer Science > Computational linguistics. Computer Science > Computer engineering. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,,25403,28 Jan 2021 14:11 by  Thomas Murtagh. Last Modified 28 Jan 2021 14:11,,,https://www.aclweb.org/anthology/2020.nlptea-1.2/,© 2020 The Authors. CC-BY-4.0,"Science Foundation Ireland (SFI) Research Centres Programme (Grant No. 13/RC/2106), European Regional Development Fund, Research grants from SFI and Microsoft under Grant Numbers 13/RC/2077 and 18/CRT/6224",Code: https://github.com/ymoslem/Arabisc/blob/main/README.md,,
Andy Way,Investigating low­-resource machine translation for English­-to­-Tamil.,"Ramesh, Akshai, Parthasarathy, Venkatesh Balavadhani, Haque, Rejwanul, Way, Andy","Proceedings of the 3rd Workshop on Technologies for MT of Low Resource Languages (LoResMT 2020) AACL-IJCNLP, December 4-7, 2020, Suzhou, China (Online). (In Press)",2020,"Akshai Ramesh, Venkatesh Balavadhani Parthasarathy, Rejwanul Haque, Andy Way","Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Way, Andy, ORCID: 0000-0001-5736-5930","Ramesh, Akshai, Parthasarathy, Venkatesh Balavadhani",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computational linguistics. Computer Science > Computer engineering. Computer Science > Machine learning. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,25201,04 Dec 2020 14:23 by  Rejwanul Haque. Last Modified 04 Dec 2020 14:23,Proceedings of the 3rd Workshop on Technologies for MT of Low Resource Languages (LoResMT 2020)..,,https://sites.google.com/view/loresmt/,© 2020 The Authors.,"Science Foundation of Ireland, Grant No. 13/RC/2106, European Research Council, European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska­Curie grant agreement No. 713567, Science Foundation of Ireland,  Grant No. 13/RC/2077",Part of the 1st Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics (AACL) and the 10th International Joint Conference on Natural Language Processing (IJCNLP).,,
Andy Way,The ADAPT Centre’s neural MT systems for the WAT 2020 document-level translation task.,"Jooste, Wandri, Haque, Rejwanul, Way, Andy","7th Workshop on Asian Translation (WAT2020), 4 Dec 2020, Suzhou, China (Online).",2020,"Wandri Jooste, Rejwanul Haque, Andy Way","Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Way, Andy, ORCID: 0000-0001-5736-5930","Jooste, Wandri",,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Computational linguistics. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25205,04 Dec 2020 14:27 by  Wandri Jooste. Last Modified 08 Apr 2021 16:32,Proceedings of the 7th Workshop on Asian Translation (WAT2020)..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/2020.wat-1.17,© 2020 The Authors.,,,,
