Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Dimitar Shterionov,A review of the state‑of‑the‑art in automatic post‑editing.,"do Carmo, Félix, Shterionov, Dimitar, Moorkens, Joss, Wagner, Joachim, Hossari, Murhaf, Paquin, Eric, Schmidtke, Dag, Groves, Declan, Way, Andy","Machine Translation, 35 (2). pp. 101-143",2020,"Félix do Carmo, Dimitar Shterionov, Joss Moorkens, Joachim Wagner, Murhaf Hossari, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way","do Carmo, Félix, ORCID: 0000-0003-4193-3854, Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, Moorkens, Joss, ORCID: 0000-0003-0766-0071, Wagner, Joachim, ORCID: 0000-0002-8290-3849, Way, Andy, ORCID: 0000-0001-5736-5930","Hossari, Murhaf, Paquin, Eric, Schmidtke, Dag, Groves, Declan",,0922-6567,Article (Published),,Yes,,,"Automatic Post-editing; Neural Post-editing; Neural machine
translation; State-of-the-art in Automatic Post-editing",Computer Science > Machine translating. Humanities > Translating and interpreting. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Applied Language and Intercultural Studies. Research Initiatives and Centres > ADAPT. ,,25316,06 Jan 2021 13:04 by  Joss Moorkens. Last Modified 05 Oct 2021 10:05,,Springer,http://dx.doi.org/10.1007/s10590-020-09252-y,© 2020 The Authors CC-BY- 4.0 (Open Access),"ADAPT Centre for Digital Content Technology funded under the SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund, Science Foundation Ireland (SFI) under Grant Number 13/RC/2077., European Union’s Horizon 2020 research and innovation programme, under the EDGE COFUND Marie Skłodowska-Curie Grant Agreement No. 713567.",,,
Dimitar Shterionov,A roadmap to neural automatic post-editing: an empirical approach.,"Shterionov, Dimitar, do Carmo, Félix, Moorkens, Joss, Hossari, Murhaf, Wagner, Joachim, Paquin, Eric, Schmitdke, Dag, Groves, Declan, Way, Andy",Machine Translation (34). pp. 67-96,2020,"Dimitar Shterionov, Félix do Carmo, Joss Moorkens, Murhaf Hossari, Joachim Wagner, Eric Paquin, Dag Schmitdke, Declan Groves, Andy Way","Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, Moorkens, Joss, ORCID: 0000-0003-0766-0071, Wagner, Joachim, ORCID: 0000-0002-8290-3849, Way, Andy, ORCID: 0000-0001-5736-5930","do Carmo, Félix, Hossari, Murhaf, Paquin, Eric, Schmitdke, Dag, Groves, Declan",,0922-6567,Article (Published),,Yes,,,"Automatic post-editing; Neural post-editing; Multi-source; Deep
learning; Empirical evaluation; Machine Translation",Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Applied Language and Intercultural Studies. Research Initiatives and Centres > ADAPT. ,,25315,06 Jan 2021 14:08 by  Joss Moorkens. Last Modified 06 Jan 2021 14:08,,Springer,http://dx.doi.org/10.1007%2Fs10590-020-09249-7,© 2020 The Authors CC-BY-4.0 (Open Access),"SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development, European Union’s Horizon 2020 research and innovation programme, under the EDGE COFUND Marie Skłodowska-Curie Grant Agreement No. 713567, Science Foundation Ireland (SFI) under Grant Number 13/RC/2077",,,
Dimitar Shterionov,Selecting Backtranslated Data from Multiple Sources for Improved Neural Machine Translation.,"Soto, Xabier, Shterionov, Dimitar, Poncelas, Alberto, Way, Andy","Annual Conference of the Association for Computational Linguistics, ACL, 5-10 July 2020, Seattle, WA, USA (Online).",2020,"Xabier Soto, Dimitar Shterionov, Alberto Poncelas, Andy Way","Soto, Xabier, ORCID: 0000-0002-3622-6496, Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, Poncelas, Alberto, ORCID: 0000-0002-5089-1687, Way, Andy, ORCID: 0000-0001-5736-5930",,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,UNSPECIFIED,,24425,25 Jun 2020 15:47 by  Alberto Poncelas. Last Modified 22 Jan 2021 14:22,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/2020.acl-main.359.pdf,© 2020 The Authors,"Spanish Ministry of Economy and Competitiveness (MINECO) FPI grant number BES-2017-081045, Science Foundation Ireland (SFI)  Research Centres Programme (Grant No. 13/RC/2106), European Regional Development Fund",,,
Dimitar Shterionov,Combining SMT and NMT back-translated data for efficient NMT.,"Poncelas, Alberto, Popović, Maja, Shterionov, Dimitar, Maillette de Buy Wenniger, Gideon, Way, Andy","Recent Advances in Natural Language Processing (RANLP 2019), 2-4 Sept 2019, Varna, Bulgaria.",2019,"Alberto Poncelas, Maja Popović, Dimitar Shterionov, Gideon Maillette de Buy Wenniger, Andy Way","Poncelas, Alberto, ORCID: 0000-0002-5089-1687, Popović, Maja, ORCID: 0000-0001-8234-8745, Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, Way, Andy, ORCID: 0000-0001-5736-5930","Maillette de Buy Wenniger, Gideon",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computational linguistics. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24272,11 Mar 2020 10:14 by  Alberto Poncelas. Last Modified 22 Jan 2021 14:21,Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2019)..  INCOMA Ltd.,INCOMA Ltd,http://dx.doi.org/10.26615/978-954-452-056-4_107,© 2019 the Authors,"SFI Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund, European Regional Development Fund, European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No 713567.",,,
Dimitar Shterionov,APE through neural and statistical MT with augmented data: ADAPT/DCU submission to the WMT 2019 APE Shared task.,"Shterionov, Dimitar, Wagner, Joachim, do Carmo, Félix","Fourth Conference on Machine Translation (WMT19), 01-02 Aug 2019, Florence, Italy.",2019,"Dimitar Shterionov, Joachim Wagner, Félix do Carmo","Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, Wagner, Joachim, ORCID: 0000-0002-8290-3849, do Carmo, Félix, ORCID: 0000-0003-4193-3854",,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Applied Language and Intercultural Studies. Research Initiatives and Centres > ADAPT. ,,23917,06 Dec 2019 09:59 by  Joachim Wagner. Last Modified 08 Nov 2021 15:16,"Bojar, Ondřej and Chatterjee, Rajen and Federmann, Christian and Fishel, Mark, (eds.)Proceedings of the Fourth Conference on Machine Translation: Shared Task Papers, Day 2).3.  Association for Computational Linguistics (ACL).",Association for Computational Linguistics (ACL),http://dx.doi.org/10.18653/v1/W19-5415,© 2019 ACL. CC-BY-4.0,"Science Foundation Ireland (SFI) Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund, European Unions Horizon 2020 under the EDGE COFUND Marie Skłodowska-Curie Grant Agreement no. 713567, Science Foundation Ireland (SFI) under Grant Number 13/RC/2077.",,,
Dimitar Shterionov,When less is more in neural quality estimation of machine translation. An industry case study.,"Way, Andy, Shterionov, Dimitar, do Carmo, Félix, Moorkens, Joss, Paquin, Eric, Schmidtke, Dag, Groves, Declan","MT Summit XVII, 19-23 Aug 2019, Dublin,Ireland.",2019,"Andy Way, Dimitar Shterionov, Félix do Carmo, Joss Moorkens, Eric Paquin, Dag Schmidtke, Declan Groves","Way, Andy, ORCID: 0000-0001-5736-5930, Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, do Carmo, Félix, ORCID: 0000-0003-4193-3854, Moorkens, Joss, ORCID: 0000-0003-4864-5986","Paquin, Eric, Schmidtke, Dag, Groves, Declan",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Applied Language and Intercultural Studies. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23864,21 Oct 2019 12:50 by  Andrew Way. Last Modified 08 Nov 2021 15:19,Proceedings of MT Summit XVII.2.  European Association for Machine Translation.,European Association for Machine Translation,,© 2018 The authors.,"SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the ERD Fund, Horizon ´ 2020 programme: EDGE COFUND Marie Skodowska-Curie Grant Agreement no. 713567",,,
Dimitar Shterionov,Large-scale machine translation evaluation of the iADAATPA project.,"Castilho, Sheila, Resende, Natália, Gaspari, Federico, Way, Andy, O'Dowd, Tony, Mazur, Marek, Herranz, Manuel, Helle, Alex, Ramirez-Sanchez, Gema, Sanchez-Cartagena, Victor, Pinnis, Marcis, Sics, Valters","MT Summit XVII, 19-23 Aug 2019, Dublin, Ireland.",2019,"Sheila Castilho, Natália Resende, Federico Gaspari, Andy Way, Tony O'Dowd, Marek Mazur, Manuel Herranz, Alex Helle, Gema Ramirez-Sanchez, Victor Sanchez-Cartagena, Marcis Pinnis, Valters Sics","Castilho, Sheila, ORCID: 0000-0002-8416-6555, Resende, Natália, ORCID: 0000-0002-5248-2457, Gaspari, Federico, ORCID: 0000-0003-3808-8418, Way, Andy, ORCID: 0000-0001-5736-5930","O'Dowd, Tony, Mazur, Marek, Herranz, Manuel, Helle, Alex, Ramirez-Sanchez, Gema, Sanchez-Cartagena, Victor, Pinnis, Marcis, Sics, Valters",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23863,21 Oct 2019 12:30 by  Andrew Way. Last Modified 20 Jan 2021 16:41,"Forcada, Mikel and Way, Andy and Tinsley, John and Shterionov, Dimitar and Rici, Celia and Gaspari, Federico, (eds.)Proceedings of MT Summit XVII.2.  European Association for Machine Translation.",European Association for Machine Translation,https://www.aclweb.org/anthology/W19-6732.pdf,© 2018 The authors.,"INEA through grant N ◦ 2016-EU-IA-0132 as part of the EU’s CEF Telecom Programme, ADAPT Centre for Digital Content Technology at Dublin City University is funded under the Science Foundation Ireland Research Centres Programme (Grant 13/RC/ 2106) and is co-funded under the European Regional Development Fund.",,,
Dimitar Shterionov,Lost in translation: loss and decay of linguistic richness in machine translation.,"Way, Andy, Shterionov, Dimitar, Vanmassenhove, Eva","MT Summit XVII, 19-23 Aug 2019, Dublin,Ireland.",2019,"Andy Way, Dimitar Shterionov, Eva Vanmassenhove","Way, Andy, ORCID: 0000-0001-5736-5930, Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, Vanmassenhove, Eva, ORCID: 0000-0003-1162-820X",,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23865,21 Oct 2019 13:08 by  Andrew Way. Last Modified 06 Jul 2020 14:09,"Forcada, Mikel and Way, Barry and Haddow, Barry and Sennrich, Rico, (eds.)Proceedings of MT Summit XVII.1.  European Association for Machine Translation.",European Association for Machine Translation,https://www.aclweb.org/anthology/W19-6622.pdf,"© 2019 The authors. This article is licensed under a Creative
Commons 4.0 licence.","Dublin City University Faculty of Engineering & Computing under the Daniel O’Hare Research Scholarship, ADAPT Centre for Digital Content Technology, which is funded under the SFI Research Centres Programme (Grant 13/RC/2106).",,,
Dimitar Shterionov,Towards language-agnostic alignment of product titles and descriptions: a neural approach.,"Stein, Daniel, Shterionov, Dimitar, Way, Andy","2019 World Wide Web Conference, 13-17 May 2019, San Francisco, USA",2019,"Daniel Stein, Dimitar Shterionov, Andy Way","Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, Way, Andy, ORCID: 0000-0001-5736-5930","Stein, Daniel",978-1-4503-6675-5,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,23867,21 Oct 2019 13:44 by  Andrew Way. Last Modified 21 Oct 2019 13:44,WWW '19 Companion Proceedings of The 2019 World Wide Web Conference..  Association for Computing Machinery (ACM). ISBN 978-1-4503-6675-5,Association for Computing Machinery (ACM),http://dx.doi.org/10.1145/3308560.3316602,"© 2019 9 IW3C2 (International World Wide Web Conference Committee), published under Creative Commons CC-BY 4.0 License.",SFI,,,
Dimitar Shterionov,Investigating backtranslation in neural machine translation.,"Poncelas, Alberto, Shterionov, Dimitar, Way, Andy, Maillette de Buy Wenniger, Gideon, Passban, Peyman","21st Annual Conference of The European Association for Machine Translation, 28-30 May 2018, Alicante, Spain.",2018,"Alberto Poncelas, Dimitar Shterionov, Andy Way, Gideon Maillette de Buy Wenniger, Peyman Passban","Poncelas, Alberto, ORCID: 0000-0002-5089-1687, Shterionov, Dimitar, ORCID: 0000-0001-6300-797X, Way, Andy, ORCID: 0000-0001-5736-5930","Maillette de Buy Wenniger, Gideon, Passban, Peyman",,,Conference or Workshop Item (Lecture),Conference,Yes,,,Machine Translation; Statistical Machine Translation;  Neural Machine Translation,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22881,19 Dec 2018 12:43 by  Gideon Maillette De buy. Last Modified 22 Jan 2021 14:15,Proceedings of the 21st Annual Conference of the European Association for Machine Translation..,,http://dx.doi.org/10.18653/v1/W18-64015,©2018 the Authors,,,,
