Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Gareth Jones,Translation quality assessment: a brief survey on manual and automatic methods.,"Han, Lifeng, Jones, Gareth J.F., Smeaton, Alan F.","MoTra21: Workshop on Modelling Translation: Translatology in the Digital Age, 31 May- 2 Jun 2021, Rejkjavik, Iceland (Online). (In Press)",2021,"Lifeng Han, Gareth J.F. Jones, Alan F. Smeaton","Han, Lifeng, ORCID: 0000-0002-3221-2185, Jones, Gareth J.F., ORCID: 0000-0003-2923-8365, Smeaton, Alan F., ORCID: 0000-0003-1028-8389",,,,Conference or Workshop Item (Paper),Workshop,Yes,,,"Translation;  Translation Quality; Assessment Methods; Survey, Human Assessment; Automated Assessment",Business > Assistive computer technology. Computer Science > Computer engineering. Computer Science > Computer software. Computer Science > Machine translating. Humanities > Language. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25738,05 May 2021 14:44 by  Lifeng Han. Last Modified 20 Sep 2021 13:07,"Proceedings of: MoTra21, Workshop on Modelling Translation: Translatology in the Digital Age..  Association for Computational Linguistics (ACL).",Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/2021.motra-1.3.pdf,© 2021 The Authors,"Science Foundation Ireland  (SFI) Research Centres Programme (Grant 13/RC/2106) & the European Regional Development Fund for ADAPT Centre for Digital Content Technology, Science Foundation Ireland under grant number SFI/12/RC/2289 (Insight Centre)",Part of NoDaLiDa21 conference 2021,,
Gareth Jones,Chinese character decomposition for neural MT with multi-word expressions.,"Han, Lifeng, Jones, Gareth J.F., Smeaton, Alan F., Bolzoni, Paolo","23rd Nordic Conference on Computational Linguistics (NoDaLiDa 2021), 31 May- 2 June 2021, Reykjavik, Iceland (Online). (In Press)",2021,"Lifeng Han, Gareth J.F. Jones, Alan F. Smeaton, Paolo Bolzoni","Han, Lifeng, ORCID: 0000-0002-3221-2185, Jones, Gareth J.F., ORCID: 0000-0003-2923-8365, Smeaton, Alan F., ORCID: 0000-0003-1028-8389","Bolzoni, Paolo",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Algorithms. Computer Science > Artificial intelligence. Computer Science > Computational linguistics. Computer Science > Computer software. Computer Science > Machine translating. Humanities > Language. Humanities > Linguistics. Humanities > Semantics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,,25742,30 Apr 2021 15:18 by  Lifeng Han. Last Modified 20 Sep 2021 13:07,"Proceedings of the 23rd Nordic Conference on Computational Linguistics (NoDaLiDa)..  Linköping University Electronic Press, Sweden via Association for Computational Linguistics (ACL).","Linköping University Electronic Press, Sweden via Association for Computational Linguistics (ACL)",https://aclanthology.org/2021.nodalida-main.35,© 2021 The Authors,"Science Foundation Ireland SFI Research Centres Programme (Grant 13/RC/2106) and  co-funded under the European Regional Development Fund., Science Foundation Ireland under grant number SFI/12/RC/2289 (Insight Centre)",,,
Gareth Jones,AlphaMWE: construction of multilingual parallel corpora with MWE annotations.,"Han, Lifeng, Jones, Gareth J.F., Smeaton, Alan F.","Joint Workshop on Multiword Expressions and Electronic Lexicons (MWE-LEX 2020), 13 Dec 2020, Barcelona, Spain (Online).",2020,"Lifeng Han, Gareth J.F. Jones, Alan F. Smeaton","Han, Lifeng, ORCID: 0000-0002-3221-2185, Jones, Gareth J.F., ORCID: 0000-0003-2923-8365, Smeaton, Alan F., ORCID: 0000-0003-1028-8389",,,,Conference or Workshop Item (Paper),Workshop,Yes,,,Multi-word Expressions; Multilingual corpora,Computer Science > Artificial intelligence. Computer Science > Computational linguistics. Computer Science > Machine translating. Humanities > Language. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,,25153,11 Dec 2020 17:13 by  Lifeng Han. Last Modified 20 Sep 2021 13:07,Proceedings of Joint Workshop on Multiword Expressions and Electronic Lexicons (MWE-LEX 2020)..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/2020.mwe-1.6,© 2020 The Authors. CC-BY-4.0,"Science Foundation Ireland (SFI) Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund, Science Foundation Ireland SFI/12/RC/2289 (Insight Centre)",,,
Gareth Jones,"MultiMWE: building a multi-lingual multi-word expression (MWE) parallel
corpora.","Han, Lifeng, Jones, Gareth J.F., Smeaton, Alan F.","12th International Conference on Language Resources and Evaluation (LREC), 11-16 May, 2020, Marseille, France. (Virtual).",2020,"Lifeng Han, Gareth J.F. Jones, Alan F. Smeaton","Han, Lifeng, ORCID: 0000-0002-3221-2185, Jones, Gareth J.F., ORCID: 0000-0003-2923-8365, Smeaton, Alan F., ORCID: 0000-0003-1028-8389",,,,Conference or Workshop Item (Paper),Conference,Yes,,,Machine Translation; Natural Language Processing; Multi-word Expression; Parallel Corpora; Chinese-English; German-English,Computer Science > Artificial intelligence. Computer Science > Computational linguistics. Computer Science > Information technology. Computer Science > Machine translating. Computer Science > Software engineering. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24502,29 May 2020 11:33 by  Lifeng Han. Last Modified 20 Sep 2021 13:08,Proceedings of the 12th Language Resources and Evaluation Conference (LREC2020)..  European Language Resources Association (ELRA).,European Language Resources Association (ELRA),https://www.aclweb.org/anthology/2020.lrec-1.363,© 2020 The Authors. Creative Commons Attribution CC-BY-NC 4.0,"Science Foundation Ireland Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund, Science Foundation Ireland under grant number SFI/12/RC/2289 (Insight Centre)., European Regional Development Fund",,,
Gareth Jones,LSTM language model adaptation with images and titles for multimedia automatic speech recognition.,"Moriya, Yasufumi, Jones, Gareth J.F.","IEEE SLT 2018 - Workshop on Spoken Language Technology, 18-21 Dec 2018, Athens, Greece",2019,"Yasufumi Moriya, Gareth J.F. Jones","Jones, Gareth J.F., ORCID: 0000-0003-2923-8365","Moriya, Yasufumi",978-1-5386-4334-1,,Conference or Workshop Item (Paper),Workshop,Yes,,,ASR; LSTM; multimodal language; model adaptation,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23389,30 May 2019 15:31 by  Thomas Murtagh. Last Modified 31 Jul 2019 08:44,Proceedings of the Spoken Language Technology Workshop (SLT) 2018 IEEE..  IEEE. ISBN 978-1-5386-4334-1,IEEE,http://dx.doi.org/10.1109/SLT.2018.8639551,© 2018 IEEE,Science Foundation Ireland as part of the ADAPT Centre (Grant 13/RC/2106) (www. adaptcentre.ie) at Dublin City University,,,
Gareth Jones,Procrastination is the thief of time: evaluating the effectiveness of proactive search systems.,"Sen, Procheta, Ganguly, Debasis, Jones, Gareth J.F.","41st International ACM SIGIR Conference on Research and Development in Information Retrieval, 8-12 July 2018, Ann Arbor, MI, USA",2018,"Procheta Sen, Debasis Ganguly, Gareth J.F. Jones","Ganguly, Debasis, ORCID: 0000-0003-0050-7138, Jones, Gareth J.F., ORCID: 0000-0003-2923-8365","Sen, Procheta",978-1-4503-5657-2,,Conference or Workshop Item (Paper),Conference,Yes,,,Evaluation Metric; Proactive Search; Contextual Recommendation,Computer Science > Information retrieval. Computer Science > Information storage and retrieval systems. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23396,04 Jun 2019 16:12 by  Thomas Murtagh. Last Modified 04 Jun 2019 16:12,Proceedings of The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval..  Association for Computing Machinery (ACM). ISBN 978-1-4503-5657-2,Association for Computing Machinery (ACM),http://dx.doi.org/10.1145/3209978.3210114,© 2018 ACM,Science Foundation Ireland as part of the ADAPT Centre (Grant 13/RC/2106) (www.adaptcentre.ie) at Dublin City University.,,,
Gareth Jones,Dublin's participation in the predicting media memorability task at MediaEval 2018.,"Smeaton, Alan F., Corrigan, Owen, Dockree, Paul, Gurrin, Cathal, Healy, Graham, Hu, Feiyan, McGuinness, Kevin, Mohedano, Eva, Ward, Tomás E.","MediaEval Benchmarking Initiative for Multimedia Evaluation, 29-31 Oct 2018, Nice, France.",2018,"Alan F. Smeaton, Owen Corrigan, Paul Dockree, Cathal Gurrin, Graham Healy, Feiyan Hu, Kevin McGuinness, Eva Mohedano, Tomás E. Ward","Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Corrigan, Owen, ORCID: 0000-0002-1840-982X, Gurrin, Cathal, ORCID: 0000-0003-2903-3968, Healy, Graham, ORCID: 0000-0001-6429-6339, Hu, Feiyan, ORCID: 0000-0001-7451-6438, McGuinness, Kevin, ORCID: 0000-0003-1336-6477, Ward, Tomás E., ORCID: 0000-0002-6173-6607","Dockree, Paul, Mohedano, Eva",,,Conference or Workshop Item (Paper),Conference,No,,,,Computer Science > Image processing. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22737,18 Oct 2018 09:27 by  Owen Corrigan. Last Modified 13 Mar 2019 13:53,"Larson, Martha and Arora, Piyush and Demarty, Claire-Hélène and Riegler, Michael and Bischke, Benjamin and Dellandrea, Emmanuel and Lux, Mathias and Porter, Alastair and Jones, Gareth J.F., (eds.)Working Notes Proceedings of the MediaEval 2018 Workshop. CEUR-WS Proceedings.  CEUR-WS.",CEUR-WS,http://ceur-ws.org/Vol-2283/MediaEval_18_paper_14.pdf,© 2018 The Authors,This work was partially supported by Science Foundation Ireland under the SFI Research Centres Programme grant number SFI/12/RC/2289.,,,
Gareth Jones,"Eyes and ears together: new task for multimodal spoken
content analysis.","Moriya, Yasufumi, Sanabria, Ramon, Metze, Florian, Jones, Gareth J.F.","MediaEval’18, 29-31 Oct 2018, Sophia Antipolis, France.",2018,"Yasufumi Moriya, Ramon Sanabria, Florian Metze, Gareth J.F. Jones","Metze, Florian, ORCID: 0000-0002-6663-8600, Jones, Gareth J.F., ORCID: 0000-0003-2923-8365","Moriya, Yasufumi, Sanabria, Ramon",,,Conference or Workshop Item (Paper),Conference,Yes,,,Human speech processing,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23384,30 May 2019 15:31 by  Thomas Murtagh. Last Modified 31 Jul 2019 08:51,"Larson, Martha and Arora, Piyush and Demarty, Claire-Hélène and Riegler, Michael, (eds.)Working Notes Proceedings of the MediaEval 2018 Workshop.2283.  CEUR-WS.",CEUR-WS,http://ceur-ws.org/Vol-2283/MediaEval_18_paper_59.pdf,©2018 The Authors,,,,
Gareth Jones,"Overview of the CLEF 2018 personalised
information retrieval lab (PIR-CLEF 2018).","Pasi, Gabriella, Jones, Gareth J.F., Curtis, Keith, Marrara, Stefania, Sanvitto, Camilla, Ganguly, Debasis, Sen, Procheta","CLEF 2018 - Conference and Labs of the Evaluation Forum, 10-14 Sept 2018, Avignon, France.",2018,"Gabriella Pasi, Gareth J.F. Jones, Keith Curtis, Stefania Marrara, Camilla Sanvitto, Debasis Ganguly, Procheta Sen","Pasi, Gabriella, ORCID: 0000-0002-6080-8170, Jones, Gareth J.F., ORCID: 0000-0003-2923-8365, Ganguly, Debasis, ORCID: 0000-0003-0050-7138","Curtis, Keith, Marrara, Stefania, Sanvitto, Camilla, Sen, Procheta",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Information retrieval,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23394,04 Jun 2019 16:12 by  Thomas Murtagh. Last Modified 31 Jul 2019 08:50,CLEF 2018 - Conference and Labs of the Evaluation Forum..  CEUR-WS.,CEUR-WS,http://ceur-ws.org/Vol-2125/invited_paper_12.pdf,© 2018 The Authors,,,,
Gareth Jones,Challenges in the development of effective systems for Professional Legal Search.,"Arora, Piyush, Hossari, Murhaf, Maldonado, Alfredo, Conran, Clare, Jones, Gareth J.F., Paulus, Alexander, Klostermann, Johannes, Dirschl, Christian","The First International Workshop on Professional Search (ProfS2018); the Second Workshop on Knowledge Graphs and Semantics for Text Retrieval, Analysis, and Understanding (KG4IR); and the International Workshop on Data Search (DATA:S, 12 July 2018, Ann Arbor, Michigan, USA.",2018,"Piyush Arora, Murhaf Hossari, Alfredo Maldonado, Clare Conran, Gareth J.F. Jones, Alexander Paulus, Johannes Klostermann, Christian Dirschl","Arora, Piyush, ORCID: 0000-0002-4261-2860, Jones, Gareth J.F., ORCID: 0000-0003-2923-8365","Hossari, Murhaf, Maldonado, Alfredo, Conran, Clare, Paulus, Alexander, Klostermann, Johannes, Dirschl, Christian",,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Information storage and retrieval systems,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-No Derivative Works 3.0 License. View License,22806,23 Nov 2018 16:22 by  Piyush Arora. Last Modified 13 Mar 2019 13:54,"Joint Proceedings of the First International Workshop on Professional Search (ProfS2018); the Second Workshop on Knowledge Graphs and Semantics for Text Retrieval, Analysis, and Understanding (KG4IR); and the International Workshop on Data Search (DATA:S.1.  CEUR-WS.",CEUR-WS,http://ceur-ws.org/Vol-2127/paper5-profs.pdf,© 2018 The Authors,Science Foundation Ireland (SFI) and Wolters kluwer as a part of the ADAPT Centre at Dublin City University (Grant No: 12/CE/I2267).,,,
