Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Graham Healy,The influence of audio on video memorability with an audio gestalt regulated video memorability system.,"Sweeney, Lorin, Healy, Graham, Smeaton, Alan F.","18th conference of Content-Based Multimedia Indexing, 28-30 June 2021, Lille, France (Online).",2021,"Lorin Sweeney, Graham Healy, Alan F. Smeaton","Sweeney, Lorin, ORCID: 0000-0002-3427-1250, Healy, Graham, ORCID: 0000-0001-6429-6339, Smeaton, Alan F., ORCID: 0000-0003-1028-8389",,,,Conference or Workshop Item (Paper),Conference,Yes,,,Memorability;  multimodal;  audio  gestalt;  deep learning,Computer Science > Machine learning. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25801,28 Jun 2021 13:11 by  Lorin Sweeney. Last Modified 05 Jul 2021 09:59,2021 International Conference on Content-Based Multimedia Indexing (CBMI)..,,https://dx.doi.org/10.1109/CBMI50038.2021.9461903,© 2021 IEEE,"Science Foundation Ireland (SFI) Grant Number SFI/12/RC/2289 P2, European Regional Development Fund",,,
Graham Healy,A VR interface for browsing visual spaces at VBS2021.,"Tran, Ly-Duyen, Nguyen, Manh-Duy, Nguyen, Thao-Nhu, Healy, Graham, Caputo, Annalina, Nguyen, Binh T., Gurrin, Cathal",International Conference on Multimedia Modeling,2021,"Ly-Duyen Tran, Manh-Duy Nguyen, Thao-Nhu Nguyen, Graham Healy, Annalina Caputo, Binh T. Nguyen, Cathal Gurrin","Healy, Graham, ORCID: 0000-0001-6429-6339, Caputo, Annalina, ORCID: 0000-0002-7144-8545, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Tran, Ly-Duyen, Nguyen, Manh-Duy, Nguyen, Thao-Nhu, Nguyen, Binh T.",978-3-030-67834-0,,Conference or Workshop Item (Paper),Conference,Yes,,,Video Browser Showdown; Interactive Retrieval; Virtual Reality; Eolas,Computer Science > Artificial intelligence. Computer Science > Information retrieval. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25805,26 Apr 2021 11:10 by  Annalina Caputo. Last Modified 26 Apr 2021 11:10,"MultiMedia Modeling. MMM 2021, Proceedings. Lecture Notes in Computer Science12573.  Springer International Publishing. ISBN 978-3-030-67834-0",Springer International Publishing,https://dx.doi.org/10.1007/978-3-030-67835-7_50,© 2021 The Authors,Science Foundation Ireland under grant numbers 18/CRT/6223 and 18/CRT/6224,,,
Graham Healy,DCU team at the NTCIR-15 micro-activity retrieval task.,"Le, Tu-Khiem, Nguyen, Manh-Duy, Tran, Ly-Duyen, Ninh, Van-Tu, Gurrin, Cathal, Healy, Graham","NTCIR-15, 8-11 Dec 2020, Tokyo, Japan.",2020,"Tu-Khiem Le, Manh-Duy Nguyen, Ly-Duyen Tran, Van-Tu Ninh, Cathal Gurrin, Graham Healy","Le, Tu-Khiem, ORCID: 0000-0003-3013-9380, Ninh, Van-Tu, ORCID: 0000-0003-0641-8806, Gurrin, Cathal, ORCID: 0000-0003-4395-7702, Healy, Graham, ORCID: 0000-0001-6429-6339","Nguyen, Manh-Duy, Tran, Ly-Duyen",,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Image processing. Computer Science > Information retrieval. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26443,05 Nov 2021 11:36 by  Manh Duy Nguyen. Last Modified 05 Nov 2021 11:36,Proceedings of the 15th NTCIR Conference on Evaluation of Information Access Technologies..  NTCIR.,NTCIR,http://research.nii.ac.jp/ntcir/workshop/OnlineProceedings15/NTCIR/toc_ntcir.html,© 2020 The Authors,"Science Foundation Ireland under grant numbers SFI/12/RC/2289_2, SFI/13/RC/2106, 18/CRT/6223, and 18/CRT/6224, Dublin City University’s Research Committee",,,
Graham Healy,Contrastive representation learning: a framework and review.,"Le-Khac, Phúc H., Healy, Graham, Smeaton, Alan F.","IEEE Access, 8 . pp. 1-28",2020,"Phúc H. Le-Khac, Graham Healy, Alan F. Smeaton","Le-Khac, Phúc H., ORCID: 0000-0002-0504-5844, Healy, Graham, ORCID: 0000-0001-6429-6339, Smeaton, Alan F., ORCID: 0000-0003-1028-8389",,,2169-3536,Article (Published),,Yes,,,Contrastive learning; representation learning; self-supervised learning; unsupervised learning; deep learning; Contrastive Learning; Representation Learning; Self-supervised Learning;,Computer Science > Machine learning,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,25121,28 Oct 2020 12:49 by  Alan Smeaton. Last Modified 18 Dec 2020 17:12,,IEEE,http://dx.doi.org/10.1109/ACCESS.2020.3031549,2020 The Authors. Open Access CC-BY,Science Foundation Ireland (SFI) Centre for Research Training in Machine Learning (18/CRT/6183) and in part by the Insight Centre for Data Analytics (SFI/12/RC/2289_P2).,,,
Graham Healy,LifeSeeker 2.0: interactive lifelog search engine at LSC 2020.,"Le, Tu-Khiem, Ninh, Van-Tu, Tran, Minh-Triet, Nguyen, Thanh-An, Nguyen, Hai-Dang, Zhou, Liting, Healy, Graham, Gurrin, Cathal","Annual Workshop on Lifelog Search Challenge (LSC'20), 27 Oct 2020, Dublin, Ireland",2020,"Tu-Khiem Le, Van-Tu Ninh, Minh-Triet Tran, Thanh-An Nguyen, Hai-Dang Nguyen, Liting Zhou, Graham Healy, Cathal Gurrin","Le, Tu-Khiem, ORCID: 0000-0003-3013-9380, Zhou, Liting, ORCID: 0000-0002-7778-8743, Healy, Graham, ORCID: 0000-0001-6429-6339, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Ninh, Van-Tu, Tran, Minh-Triet, Nguyen, Thanh-An, Nguyen, Hai-Dang",978-1-4503-7136-0,,Conference or Workshop Item (Paper),Conference,Yes,,,lifelog; information system; interactive retrieval,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24639,17 Jun 2020 14:46 by  Cathal Gurrin. Last Modified 20 May 2021 13:48,Proceedings of the Third Annual Workshop on Lifelog Search Challenge (LSC'20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7136-0,Association for Computing Machinery (ACM),https://doi.org/10.1145/3379172.3391724,© 2020 The Authors,"Irish Research Council (IRC) under Grant Number GOIPG/2016/741, Science Foundation Ireland under grant numbers SFI/12/RC/2289 and SFI/13/RC/2106, Vietnam Ireland Bilateral Education Exchange Programme (VIBE) 2019",,,
Graham Healy,Synthetic-Neuroscore: using a neuro-AI interface for evaluating generative adversarial networks.,"Wang, Zhengwei, She, Qi, Smeaton, Alan F., Ward, Tomás E., Healy, Graham","Neurocomputing, 405 . pp. 26-36",2020,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomás E. Ward, Graham Healy","Wang, Zhengwei, ORCID: 0000-0001-7706-553X, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Ward, Tomás E., ORCID: 0000-0002-6173-6607, Healy, Graham, ORCID: 0000-0001-6429-6339","She, Qi",,0925-2312,Article (Published),,Yes,,,Neuroscore; Generative adversarial networks; Neuro-AI interface; Brain-computer interface,Biological Sciences > Neuroscience. Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24650,18 Jun 2020 15:31 by  Graham Healy. Last Modified 18 Jun 2020 15:31,,Elsevier,http://dx.doi.org/10.1016/j.neucom.2020.04.069,© 2020 Elsevier,This work is funded as part of the Insight Centre for Data Analytics which is supported by Science Foundation Ireland under Grant Number SFI/12/RC/2289.,,,
Graham Healy,Experiences and insights from the collection of a novel multimedia EEG dataset.,"Healy, Graham, Wang, Zhengwei, Ward, Tomás E., Smeaton, Alan F., Gurrin, Cathal","26th International Conference on Multimedia Modeling (MMM2020), 5-8 Jan 2020, Daejeon, Korea (Republic of)",2019,"Graham Healy, Zhengwei Wang, Tomás E. Ward, Alan F. Smeaton, Cathal Gurrin","Healy, Graham, ORCID: 0000-0001-6429-6339, Wang, Zhengwei, ORCID: 0000-0001-7706-553X, Ward, Tomás E., ORCID: 0000-0002-6173-6607, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Gurrin, Cathal, ORCID: 0000-0003-2903-3968",,978-3-030-37733-5,,Conference or Workshop Item (Paper),Conference,Yes,,,Brain-computer Interface; Electroencephalography; RSVP,Biological Sciences > Neuroscience. Computer Science > Information retrieval. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24649,18 Jun 2020 15:44 by  Graham Healy. Last Modified 18 Jun 2020 15:44,"26th International Conference, MMM 2020, Proceedings, Part II. Lecture Notes in Computer Science11962.  Springer, Cham. ISBN 978-3-030-37733-5","Springer, Cham",http://dx.doi.org/10.1007/978-3-030-37734-2_39,© 2020 Springer,"Insight Centre for Data Analytics (which is supported by Science Foundation Ireland under Grant Number SFI/12/RC/2289), Dublin City University’s Research Committee",,,
Graham Healy,Use of neural signals to evaluate the quality of generative adversarial network performance in facial image generation.,"Wang, Zhengwei, Healy, Graham, Smeaton, Alan F., Ward, Tomás E.","Cognitive Computation, 12 (1). pp. 13-24",2019,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomás E. Ward","Wang, Zhengwei, ORCID: 0000-0001-7706-553X, Healy, Graham, ORCID: 0000-0001-6429-6339, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Ward, Tomás E., ORCID: 0000-0002-6173-6607",,,1866-9964,Article (Published),,Yes,,,Generative adversarial networks; Rapid serial visual presentation; Neuroscore;  Brain-computer interface;  Neuro-AI interface,Biological Sciences > Neuroscience. Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24648,18 Jun 2020 15:42 by  Graham Healy. Last Modified 18 Jun 2020 15:42,,Springer Nature,http://dx.doi.org/10.1007/s12559-019-09670-y,© 2019 Springer Nature,Insight Centre for Data Analytics which is supported by Science Foundation Ireland under Grant Number SFI/12/RC/2289,,,
Graham Healy,A baseline Interactive retrieval engine for visual lifelogs at the NTCIR-14 lifelog-3 Task.,"Ninh, Van-Tu, Le, Tu-Khiem, Zhou, Liting, Healy, Graham, Kaushik, Venkataraman, Tran, Minh-Triet, Dang-Nguyen, Duc-Tien, Smyth, Sinead, Gurrin, Cathal","14th NTCIR (2018 - 2019) Evaluation of Information Access Technologies, 10-13 June 2019, Tokyo, Japan.",2019,"Van-Tu Ninh, Tu-Khiem Le, Liting Zhou, Graham Healy, Venkataraman Kaushik, Minh-Triet Tran, Duc-Tien Dang-Nguyen, Sinead Smyth, Cathal Gurrin","Ninh, Van-Tu, ORCID: 0000-0003-0641-8806, Le, Tu-Khiem, ORCID: 0000-0003-3013-9380, Zhou, Liting, ORCID: 0000-0002-7778-8743, Healy, Graham, ORCID: 0000-0001-6429-6339, Tran, Minh-Triet, ORCID: 0000-0003-3046-3041, Dang-Nguyen, Duc-Tien, ORCID: 0000-0002-2761-2213, Smyth, Sinead, ORCID: 0000-0002-8736-0505, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Kaushik, Venkataraman",,,Conference or Workshop Item (Paper),Conference,Yes,,,Interactive lifelog search engine,Computer Science > Information retrieval. Computer Science > Interactive computer systems. Computer Science > Information storage and retrieval systems. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24171,27 Jan 2020 16:00 by  Van Tu Ninh. Last Modified 08 Nov 2021 14:27,NTCIR-14 Conference: Proceedings of the 14th NTCIR Conference on Evaluation of Information Access Technologies..  Association for Computing Machinery (ACM).,Association for Computing Machinery (ACM),http://dx.doi.org/10.1145/3326460.3329162,© 2019 Association for Computing Machinery,"Irish Research Council (IRC) under Grant Number GOIPG/2016/741, Science Foundation Ireland under grant numbers SFI/12/RC/2289, Science Foundation Ireland under grant numbers 13/RC/2106",,,
Graham Healy,Overview of the NTCIR-14 Lifelog-3 task.,"Gurrin, Cathal, Joho, Hideo, Hopfgartner, Frank, Zhou, Liting, Ninh, Van-Tu, Le, Tu-Khiem, Albatal, Rami, Dang-Nguyen, Duc-Tien, Healy, Graham","14th NTCIR Conference on Evaluation of Information Access Technologies, 10-13 June 2019, Tokyo Japan.",2019,"Cathal Gurrin, Hideo Joho, Frank Hopfgartner, Liting Zhou, Van-Tu Ninh, Tu-Khiem Le, Rami Albatal, Duc-Tien Dang-Nguyen, Graham Healy","Gurrin, Cathal, ORCID: 0000-0003-4395-7702, Hopfgartner, Frank, ORCID: 0000-0003-0380-6088, Zhou, Liting, ORCID: 0000-0002-7778-8743, Le, Tu-Khiem, ORCID: 0000-0003-3013-9380, Albatal, Rami, ORCID: 0000-0002-9269-8578, Dang-Nguyen, Duc-Tien, ORCID: 0000-0002-2761-2213, Healy, Graham, ORCID: 0000-0001-6429-6339","Joho, Hideo, Ninh, Van-Tu",,,Conference or Workshop Item (Paper),Conference,Yes,,,Lifelog; Information Retrieval; Test Collection,Computer Science > Lifelog,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25867,19 May 2021 17:31 by  Michael Scriney. Last Modified 08 Nov 2021 14:25,Proceedings of the 14th NTCIR Conference on Evaluation of Information Access Technologies..  NTCIR.,NTCIR,http://research.nii.ac.jp/ntcir/workshop/OnlineProceedings14/pdf/ntcir/01-NTCIR14-OV-LIFELOG-GurrinC.pdf,© 2014 The Authors.,"Science Foundation Ireland under grant number SFI/12/RC/2289, Irish Research Council (IRC) under Grant Number GOIPG/2016/741",,,
