Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Heather J. Ruskin,"Release modelling of nanoencapsulated food ingredients by probabilistic
models: cellular automata and Monte Carlo methods.","Bezbradica, Marija, Crane, Martin, Ruskin, Heather J.","Jafari, Seid (ed.) Nanoencapsulation in the Food Industry. Academic Press, Cambridge, Massachusetts, pp. 273-309",2020,"Marija Bezbradica, Martin Crane, Heather J. Ruskin","Bezbradica, Marija, ORCID: 0000-0001-9366-5113, Crane, Martin, ORCID: 0000-0001-7598-3126, Ruskin, Heather J., ORCID: 0000-0001-7101-2242",,9780128156667,,Book Section,,Yes,,,Probabilistic models; Monte Carlo simulation; Cellular automata models; Agent-based models,Computer Science > Computer simulation. Mathematics > Mathematical models. Mathematics > Stochastic analysis. Mathematics > Statistics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26158,06 Sep 2021 14:27 by  Marija Bezbradica. Last Modified 06 Sep 2021 14:27,,Academic Press,https://www.sciencedirect.com/science/article/pii/B9780128156650000084,© 2020 Academic Press,,,,
Heather J. Ruskin,Understanding urban mobility and pedestrian movement.,"Bezbradica, Marija, Ruskin, Heather J.","Bobek, Vito, (ed.) Smart Urban Development. Understanding urban mobility and pedestrian movement . IntechOpen, Online.",2019,"Marija Bezbradica, Heather J. Ruskin","Bezbradica, Marija, ORCID: 0000-0001-9366-5113, Ruskin, Heather J., ORCID: 0000-0001-7101-2242",,,,Book Section,,No,,,Infrastructure; Population Dynamics; Environmental Issues;Agent-Based Modelling; Pedestrian Behaviour,Computer Science > Algorithms. Computer Science > Computer simulation. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,,25760,14 Apr 2021 13:19 by  Marija Bezbradica. Last Modified 14 Apr 2021 13:20,,IntechOpen,https://dx.doi.org/10.5772/intechopen.86801,© 2019 The Authors. (Open Access),,,,
Heather J. Ruskin,HIV models for treatment interruption: adaptation and comparison.,"Hillmann, Andreas, Crane, Martin, Ruskin, Heather J.","Physica A Statistical Mechanics and its Applications, 483 . pp. 44-56",2017,"Andreas Hillmann, Martin Crane, Heather J. Ruskin","Crane, Martin, ORCID: 0000-0001-7598-3126","Hillmann, Andreas, Ruskin, Heather J.",,0378-4371,Article (Published),,Yes,,,Compartmental Models; Structured Treatment Interruption; Dynamic models; HIV; Cellular automata; Antiretroviral treatment,Biological Sciences > Bioinformatics. Mathematics > Differential equations. Mathematics > Numerical analysis. Medical Sciences > Epidemiology. Medical Sciences > Diseases. Mathematics > Statistics. Biological Sciences > Immunology. Computer Science > Computer simulation. ,Research Initiatives and Centres > Scientific Computing and Complex Systems Modelling (Sci-Sym). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21791,11 May 2017 15:24 by  Martin Crane. Last Modified 01 Jul 2019 08:55,,Elsevier,https://doi.org/10.1016/j.physa.2017.05.005,© 2017 Elsevier,,,,
Heather J. Ruskin,NTCIR-12 lifelog data analytics.,"Li, Na, Gurrin, Cathal, Crane, Martin, Ruskin, Heather J.","The first Workshop on Lifelogging Tools and Applications, 16th Oct. 2016, Amsterdam, The Netherlands",2016,"Na Li, Cathal Gurrin, Martin Crane, Heather J. Ruskin","Gurrin, Cathal, ORCID: 0000-0003-2903-3968, Crane, Martin, ORCID: 0000-0001-7598-3126, Ruskin, Heather J., ORCID: 0000-0001-7101-2242","Li, Na",978-1-4503-4517-0,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Lifelog. Computer Science > Algorithms. Computer Science > Information retrieval. Mathematics > Mathematical physics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,,21450,24 Oct 2016 13:04 by  Na Li. Last Modified 08 Nov 2019 12:42,LTA '16 Proceedings of the first Workshop on Lifelogging Tools and Applications. LTA '16.  ACM. ISBN 978-1-4503-4517-0,ACM,http://dl.acm.org/citation.cfm?id=2983583,"© ACM, 2016. This is the author's version of the work. It is posted here by permission of ACM
for your personal use. Not for redistribution. The definitive version was published in LTA '16 Proceedings of the first Workshop on Lifelogging Tools and Applications",,,,
Heather J. Ruskin,Finding motifs in larger personal lifelogs.,"Li, Na, Crane, Martin, Gurrin, Cathal, Ruskin, Heather J.","7th Augmented Human International Conference 2016, 25-26 Feb 2016, Geneva, Switzerland",2016,"Na Li, Martin Crane, Cathal Gurrin, Heather J. Ruskin","Crane, Martin, ORCID: 0000-0001-7598-3126, Gurrin, Cathal, ORCID: 0000-0003-2903-3968, Ruskin, Heather J., ORCID: 0000-0001-7101-2242","Li, Na",978-1-4503-3680-2,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Lifelog. Computer Science > Machine learning. Computer Science > Image processing. Computer Science > Algorithms. Computer Science > Information retrieval. Mathematics > Mathematical physics. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21306,29 Jul 2016 13:45 by  Na Li. Last Modified 08 Nov 2019 12:42,Proceedings of the 7th Augmented Human International Conference 2016..  ACM. ISBN 978-1-4503-3680-2,ACM,http://dl.acm.org/citation.cfm?id=2875214,© 2016 ACM,,,,
Heather J. Ruskin,Data integration for microarrays: enhanced inference for gene regulatory networks.,"Sîrbu, Alina, Crane, Martin, Ruskin, Heather J.","Microarrays, 4 (2). pp. 255-269",2015,"Alina Sîrbu, Martin Crane, Heather J. Ruskin","Crane, Martin, ORCID: 0000-0001-7598-3126, Ruskin, Heather J., ORCID: 0000-0001-7101-2242","Sîrbu, Alina",,2076-3905,Article (Published),,Yes,,,Data integration; Microarrays; Gene regulatory networks; Transcriptional regulation; Reverse engineering,Biological Sciences > Bioinformatics. Computer Science > Machine learning. Mathematics > Mathematical models. Mathematics > Statistics. Physical Sciences > Statistical physics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,,20584,26 May 2015 10:53 by  Martin Crane. Last Modified 03 Oct 2018 11:18,,MDPI - Open Access Publishing,http://www.mdpi.com/2076-3905/4/2/255,,IRCSET,,,
Heather J. Ruskin,Comparative analysis of asynchronous cellular automata in stochastic pharmaceutical modelling.,"Bezbradica, Marija, Ruskin, Heather J., Crane, Martin","Journal Of Computational Science, 5 (5). pp. 834-840",2014,"Marija Bezbradica, Heather J. Ruskin, Martin Crane","Bezbradica, Marija, ORCID: 0000-0001-9366-5113, Ruskin, Heather J., ORCID: 0000-0001-7101-2242, Crane, Martin, ORCID: 0000-0001-7598-3126",,,1877-7503,Article (Published),,Yes,,,Complex systems; Controlled drug delivery; High-performance computing; Swellable devices; Probabilistic models,Mathematics. Mathematics > Stochastic analysis. ,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,19947,19 Sep 2014 10:48 by  Martin Crane. Last Modified 03 Oct 2018 11:30,,Elsevier,http://dx.doi.org/doi:10.1016/j.jocs.2014.04.010,© 2014 Elsevier,,,,
Heather J. Ruskin,Modelling impact of morphological urban structure and cognitive behaviour on pedestrian flows.,"Bezbradica, Marija, Ruskin, Heather J.","International Conference on Computational Science and Its Applications, 30 Jun-3 Jul 2014, Guimaraes, Portugal.",2014,"Marija Bezbradica, Heather J. Ruskin","Bezbradica, Marija, ORCID: 0000-0001-9366-5113, Ruskin, Heather J., ORCID: 0000-0001-7101-2242",,,,Conference or Workshop Item (Paper),Conference,Yes,,,GIS; agent-based modelling; urban spatial-temporal modelling; pedestrian behaviour; geovisualisation,UNSPECIFIED,Research Initiatives and Centres > Scientific Computing and Complex Systems Modelling (Sci-Sym). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21691,30 Jan 2017 13:17 by  Thomas Murtagh. Last Modified 03 Oct 2018 11:57,Computational Science and Its Applications – ICCSA 2014. Lecture Notes in Computer Science (LNCS)8582.  Springer International Publishing.,Springer International Publishing,,© 2014 Springer International Publishing,,,,
Heather J. Ruskin,Probabilistic pharmaceutical modelling: A comparison between synchronous and asynchronous cellular automata.,"Bezbradica, Marija, Ruskin, Heather J., Crane, Martin","International Conference on Parallel Processing and Applied Mathematics, 8-11 Sep 2016, Warsaw, Poland.",2014,"Marija Bezbradica, Heather J. Ruskin, Martin Crane","Bezbradica, Marija, ORCID: 0000-0001-9366-5113, Ruskin, Heather J., ORCID: 0000-0001-7101-2242, Crane, Martin, ORCID: 0000-0001-7598-3126",,,,Conference or Workshop Item (Paper),Conference,Yes,,,Complex modelling; Controlled drug delivery systems;  Discrete systems;  Parallel algorithms,Medical Sciences > Pharmacology. Computer Science > Computational complexity. ,Research Initiatives and Centres > Scientific Computing and Complex Systems Modelling (Sci-Sym). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21692,30 Jan 2017 13:53 by  Thomas Murtagh. Last Modified 03 Oct 2018 11:27,PPAM 2013: Parallel Processing and Applied Mathematics. Lecture Notes in Computer Science (LNCS)8685.  Springer International Publishing.,Springer International Publishing,,© Springer International Publishing,,,,
Heather J. Ruskin,Application of statistical physics for the identification of important events in visual lifelogs.,"Gurrin, Cathal, Ruskin, Heather J., Crane, Martin, Li, Na","2013 IEEE International Conference on Bioinformatics and Biomedicine (IEEE BIBM 2013), 18-21 Dec 2013, Shanghai, China.",2013,"Cathal Gurrin, Heather J. Ruskin, Martin Crane, Na Li","Gurrin, Cathal, ORCID: 0000-0003-2903-3968, Ruskin, Heather J., ORCID: 0000-0001-7101-2242, Crane, Martin, ORCID: 0000-0001-7598-3126","Li, Na",,,Conference or Workshop Item (Paper),Conference,Yes,,,"Eigenvalues and eigenfunctions; Correlation; Visualization;
Dementia; Camera",Computer Science > Lifelog. Mathematics > Mathematical models. Physical Sciences > Statistical physics. ,Research Initiatives and Centres > Scientific Computing and Complex Systems Modelling (Sci-Sym). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,19944,15 May 2014 10:28 by  Martin Crane. Last Modified 04 Feb 2020 14:51,"Proceedings of the 2013 IEEE International Conference on Bioinformatics and Biomedicine, 2013..  IEEE Computer Society.",IEEE Computer Society,http://www.computer.org/csdl/proceedings/bibm/2013/9999/00/06732563.pdf,© 2013 IEEE,,,,
