Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Irina Tal,Irish attitudes to privacy in COVID-19 times: sentiment analysis on Twitter and survey data.,"Lohar, Pintu, Xie, Guodong, Bendechache, Malika, Brennan, Rob, Celeste, Edoardo, Trestian, Ramona, Tal, Irina","16th International ARES Conference on Availability, Reliability and Security ARES21, 17- 21 Aug 2021, Vienna, Austria + Online",2021,"Pintu Lohar, Guodong Xie, Malika Bendechache, Rob Brennan, Edoardo Celeste, Ramona Trestian, Irina Tal","Bendechache, Malika, ORCID: 0000-0003-0069-1860, Brennan, Rob, ORCID: 0000-0001-8236-362X","Lohar, Pintu, Xie, Guodong, Celeste, Edoardo, Trestian, Ramona, Tal, Irina",978-1-4503-9051-4,,Conference or Workshop Item (Paper),Conference,Yes,,,privacy; Sentiment Analysis; COVID-19; tracker app,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,,26009,12 Aug 2021 15:22 by  Vidatum Academic. Last Modified 10 Nov 2021 14:43,,Association for Computing Machinery (ACM),https://dx.doi.org/10.1145/3465481.3469193,© 2021 The Authors. Open Access (CC-BY-4.0),"Science Foundation Ireland grant number 20/COV/0229 and 13/RC/2094, European Regional Development Fund through the Southern and Eastern Regional Operational Programme to Lero - the Irish Software Research Centre (www.lero.ie) and the ADAPT Centre for Digital Content Technology (www.adaptcentre.ie) [grant number 13/RC/21",,,
Irina Tal,Public attitudes towards privacy in COVID-19 times in the Republic of Ireland: a pilot study.,"Bendechache, Malika, Lohar, Pintu, Xie, Guodong, Brennan, Rob, Trestian, Ramona, Celeste, Edoardo, Kapanova, Kristina, Jayasekera, Evgeniia, Tal, Irina",Information Security Journal ,2021,"Malika Bendechache, Pintu Lohar, Guodong Xie, Rob Brennan, Ramona Trestian, Edoardo Celeste, Kristina Kapanova, Evgeniia Jayasekera, Irina Tal","Bendechache, Malika, ORCID: 0000-0003-0069-1860, Brennan, Rob, ORCID: 0000-0001-8236-362X","Lohar, Pintu, Xie, Guodong, Trestian, Ramona, Celeste, Edoardo, Kapanova, Kristina, Jayasekera, Evgeniia, Tal, Irina",,1939-3555,Article (Published),,Yes,,,COVID-19; privacy; pandemic; attitude; information; data,Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Law and Government. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26058,08 Sep 2021 08:45 by  Malika Bendechache. Last Modified 08 Sep 2021 08:45,,Taylor & Francis,https://dx.doi.org/10.1080/19393555.2021.1956650,© 2021 Taylor & Francis. (CC-BY-NC),"Science Foundation Ireland through COVID Rapid Response programme grant number 20/COV/0229 and through the grant 13/RC/2094 co-funded under the European Regional Development Fund through the Southern and Eastern Regional Operational Programme to Lero -, ADAPT Centre for Digital Content Technology (www.adaptcentre.ie) [grant number 13/RC/2106].",,,
Irina Tal,Privacy in a Time of Covid-19: How concerned are you?,"Trestian, Ramona, Xie, Guodong, Lohar, Pintu, Celeste, Edoardo, Bendechache, Malika, Brennan, Rob, Jayasekera, Evgeniia, Connolly, Regina, Tal, Irina",IEEE Security & Privacy ,2021,"Ramona Trestian, Guodong Xie, Pintu Lohar, Edoardo Celeste, Malika Bendechache, Rob Brennan, Evgeniia Jayasekera, Regina Connolly, Irina Tal","Trestian, Ramona, ORCID: 0000-0003-3315-3081, Bendechache, Malika, ORCID: 0000-0003-0069-1860, Brennan, Rob, ORCID: 0000-0001-8236-362X, Connolly, Regina, ORCID: 0000-0003-3196-2889","Xie, Guodong, Lohar, Pintu, Celeste, Edoardo, Jayasekera, Evgeniia, Tal, Irina",,1540-7993,Article (Published),,Yes,,,"Bluetooth; Data privacy; COVID-19; Privacy; Servers; Pandemics; 
Coronaviruses",Computer Science > Artificial intelligence. Computer Science > Computer security. Social Sciences > Law. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26059,29 Jul 2021 15:06 by  Malika Bendechache. Last Modified 29 Jul 2021 15:06,,IEEE,https://dx.doi.org/10.1109/MSEC.2021.3092607,© 2021 IEEE,"Science Foundation Ireland through COVID Rapid Response programme grant number 20/COV/0229 and through the grant 13/RC/2094, European Regional Development Fund through the Southern and Eastern Regional Operational Programme to Lero - the Irish Software Research Centre (www.lero.ie), ADAPT Centre for Digital Content Technology (www.adaptcentre.ie) [grant number 13/RC/2106]",,,
Irina Tal,"AI in my life: AI, ethics & privacy workshops for 15-16-year-olds.","Bendechache, Malika, Tal, Irina, Wall, P.J, Grehan, Laura, Clarke, Emma, O'Driscoll, Aidan, Van Der Haegen, Laurence, Leong, Brenda, Kearns, Anne, Brennan, Rob","WebSci '21: 13th ACM Web Science Conference 2021, 21-25 June 2021, Online.",2021,"Malika Bendechache, Irina Tal, P.J Wall, Laura Grehan, Emma Clarke, Aidan O'Driscoll, Laurence Van Der Haegen, Brenda Leong, Anne Kearns, Rob Brennan","Bendechache, Malika, ORCID: 0000-0003-0069-1860, Wall, P.J, ORCID: 0000-0002-5859-4425, Brennan, Rob, ORCID: 0000-0001-8236-362X","Tal, Irina, Grehan, Laura, Clarke, Emma, O'Driscoll, Aidan, Van Der Haegen, Laurence, Leong, Brenda, Kearns, Anne",,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Computer security. Social Sciences > Education. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,,26045,29 Jun 2021 17:13 by  Malika Bendechache. Last Modified 14 Jul 2021 10:09,In proceeding of WebSci '21: 13th ACM Web Science Conference 2021..  Association for Computing Machinery (ACM).,Association for Computing Machinery (ACM),https://doi.org/10.1145/3462741.3466664,© 2021 ACM. Open Access (CC-BY-4.0),"Science Foundation Ireland through Discover programme grant number 20/DP/8175, ADAPT Centre for Digital Content Technology (www.adaptcentre.ie) [grant number 13/RC/2106_P2, Lero- the Irish Software Research Centre (www.lero.ie). [grant number 13/RC/2094_2]",,,
Irina Tal,A machine learning resource allocation solution to improve video quality in remote education.,"Comşa, Ioan-Sorin, Molnar, Andreea, Tal, Irina, Bergamin, Per, Muntean, Gabriel-Miro, Muntean, Cristina Hava, Trestian, Ramona",IEEE Transactions on Broadcasting . pp. 1-21,2021,"Ioan-Sorin Comşa, Andreea Molnar, Irina Tal, Per Bergamin, Gabriel-Miro Muntean, Cristina Hava Muntean, Ramona Trestian","Comşa, Ioan-Sorin, ORCID: 0000-0002-9121-0286, Bergamin, Per, ORCID: 0000-0002-2551-9058, Muntean, Gabriel-Miro, ORCID: 0000-0003-2958-7979, Muntean, Cristina Hava, ORCID: 0000-0001-5082-9253, Trestian, Ramona, ORCID: 0000-0003-3315-3081","Molnar, Andreea, Tal, Irina",,0018-9316,Article (Published),,Yes,,,Video quality; machine learning; resource allocation; quality of service; technology enhanced learning,Social Sciences > Distance education. Social Sciences > Educational technology. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25813,14 May 2021 10:36 by  Vidatum Academic. Last Modified 14 May 2021 10:36,,IEEE,https://dx.doi.org/10.1109/TBC.2021.3068872,© 2021 IEEE.,,,,
Irina Tal,"Application of blockchain technology to
5G-enabled vehicular networks: survey and future
directions.","Bendechache, Malika, Saber, Takfarinas, Muntean, Gabriel-Miro, Tal, Irina","International Symposium on High Performance Mobile Computing & Wireless Networks for HPC (MCWN 2020), 10-14 Dec 2020, Barcelona, Spain (Online). (In Press)",2020,"Malika Bendechache, Takfarinas Saber, Gabriel-Miro Muntean, Irina Tal","Bendechache, Malika, ORCID: 0000-0003-0069-1860, Saber, Takfarinas, ORCID: 0000-0003-2958-7979, Muntean, Gabriel-Miro, ORCID: 0000-0003-2958-7979","Tal, Irina",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computer networks. Computer Science > Computer security. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,,25132,09 Dec 2020 15:34 by  Malika Bendechache. Last Modified 09 Dec 2020 15:34,,IEEE,,© The Authors,"Science Foundation Ireland grants 13/RC/2094 (Lero), 16/SP/3804 (Enable), 12/RC/2289 P2 (Insight) and 13/RC/2106 (Adapt).",,,
Irina Tal,Mulsemedia in telecommunication and networking education: a novel teaching approach that improves the learning process.,"Tal, Irina, Zou, Longhao, Covaci, Alexandra, Ibarrola, Eva, Bratu, Marilena, Ghinea, Gheorghita, Muntean, Gabriel-Miro","IEEE Communications Magazine, 57 (11). pp. 60-66",2019,"Irina Tal, Longhao Zou, Alexandra Covaci, Eva Ibarrola, Marilena Bratu, Gheorghita Ghinea, Gabriel-Miro Muntean","Zou, Longhao, ORCID: 0000-0002-3477-7438, Covaci, Alexandra, ORCID: 0000-0002-3205-2273, Ibarrola, Eva, ORCID: 0000-0002-7704-6096, Ghinea, Gheorghita, ORCID: 0000-0003-2578-5580, Muntean, Gabriel-Miro, ORCID: 0000-0003-2958-7979","Tal, Irina, Bratu, Marilena",,0163-6804,Article (Published),,Yes,,,"Mulsemedia; Technology Enhanced Learning;
Learner Experience; Telecommunication",Social Sciences > Education. Social Sciences > Educational technology. Social Sciences > Teaching. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25810,27 Apr 2021 10:31 by  Vidatum Academic. Last Modified 29 Jun 2021 10:03,,IEEE,https://dx.doi.org/10.1109/MCOM.001.1900241,© 2019 IEEE,European Union’s Horizon 2020 Research and Innovation program under Grant Agreement no. 688503.,,,
Irina Tal,Towards reasoning vehicles: a survey of fuzzy logic-based solutions in vehicular networks.,"Muntean, Gabriel-Miro, Tal, Irina","ACM Computing Surveys, 50 (6)",2017,"Gabriel-Miro Muntean, Irina Tal","Muntean, Gabriel-Miro, ORCID: 0000-0003-2958-7979","Tal, Irina",,0360-0300,Article (Published),,Yes,,,Ad-hoc Networks; Mobile ad hoc Networks; Q-learning approach; Electric bicycles; Vanets; Communication architecture; Taxonomy; Fuzzy Logic;  Smart Vehicles,Computer Science > Artificial intelligence. Computer Science > Computational complexity. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. ,,25811,14 May 2021 10:39 by  Vidatum Academic. Last Modified 14 May 2021 10:39,,Association for Computing Machinery (ACM),https://dx.doi.org/10.1145/3125640,© 2017 The Authors,"Dublin City University under the Daniel O’Hare Research Scholarship scheme, Science Foundation Ireland grant 10/CE/I1855 to Lero and European Union’s Horizon 2020 Research and Innovation programme under Grant Agreement no. 688503 for the NEWTON project",Article Number 80,,
Irina Tal,Vehicular-communications-based speed advisory system for electric bicycles.,"Tal, Irina, Ciubotaru, Bogdan, Muntean, Gabriel-Miro","IEEE Transactions on Vehicular Technology, 65 (6). pp. 4129-4143",2016,"Irina Tal, Bogdan Ciubotaru, Gabriel-Miro Muntean","Muntean, Gabriel-Miro, ORCID: 0000-0003-2958-7979","Tal, Irina, Ciubotaru, Bogdan",,0018-9545,Article (Published),,Yes,,,component; vehicular communications; electric bicycles; energy efficiency; speed advisory; green transportation,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25812,27 Apr 2021 12:48 by  Vidatum Academic. Last Modified 29 Jun 2021 10:03,,IEEE,https://dx.doi.org/10.1109/TVT.2015.2442338,© 2015 IEEE,"Dublin City University under the Daniel O’Hare Research Scholarship schem, Science Foundation Ireland grant 10/CE/I1855 to Lero - the Irish Software Engineering Research Centre",,,
Irina Tal,Improving user experience and energy efficiency for different classes of users in vehicular networks.,"Tal, Irina","PhD thesis, Dublin City University.",2016,Irina Tal,,"Tal, Irina",,,Thesis (PhD),,No,March 2016,"Muntean, Gabriel-Miro",,Computer Science > Computer networks. Engineering > Telecommunication. Engineering > Electronic engineering. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering,This item is licensed under a Creative Commons Attribution-NonCommercial-No Derivative Works 3.0 License. View License,21016,13 Apr 2016 13:29 by  Gabriel Muntean. Last Modified 19 Jul 2018 15:07,,,,,"DCU Daniel O'Hare Scholarship, SFI Grant no. 10/CE/I1855 Lero (the Irish Software Research Centre)",,,
