Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Jennifer Foster,Improving document-level sentiment analysis with user and product context.,"Lyu, Chenyang, Foster, Jennifer, Graham, Yvette","Proceedings of the 28th International Conference on Computational Linguistics, 8-13 Dec 20, Barcelona, Spain (Online).",2020,"Chenyang Lyu, Jennifer Foster, Yvette Graham","Foster, Jennifer, ORCID: 0000-0002-7789-4853","Lyu, Chenyang, Graham, Yvette",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computational linguistics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,,25959,03 Jun 2021 10:45 by  Jennifer Foster. Last Modified 03 Jun 2021 10:47,Proceedings of the 28th International Conference on Computational Linguistics..  International Committee on Computational Linguistics (ICCL).,International Committee on Computational Linguistics (ICCL),https://dx.doi.org/10.18653/v1/2020.coling-main.590,© 2020 The Authors. (CC-BY-4.0),Science Foundation Ireland (SFI) Centre for Research Training in Machine Learning (18/CRT/6183),,,
Jennifer Foster,"How to make neural natural language generation as reliable as
templates in task-oriented dialogue.","Elder, Henry, O'Connor, Alexander, Foster, Jennifer","2020 Conference on Empirical Methods in Natural Language Processing (EMNLP), 16-20 Nov 2020, Online.",2020,"Henry Elder, Alexander O'Connor, Jennifer Foster","O'Connor, Alexander, ORCID: 0000-0003-0301-999X, Foster, Jennifer, ORCID: 0000-0002-7789-4853","Elder, Henry",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computational linguistics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,25957,02 Jun 2021 15:21 by  Jennifer Foster. Last Modified 02 Jun 2021 15:21,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),http://dx.doi.org/10.18653/v1/2020.emnlp-main.230,2020 Association for Computational Linguistics. (CC-BY-4.0),Science Foundation Ireland  via ADAPT Centre for Digital Content Technology is funded under the SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund,,,
Jennifer Foster,"Q. Can knowledge graphs be used to answer Boolean questions?
A. It’s complicated!","Dzendzik, Daria, Vogel, Carl, Foster, Jennifer","First Workshop on Insights from Negative Results in NLP, 10 Nov 2020, Online.",2020,"Daria Dzendzik, Carl Vogel, Jennifer Foster","Vogel, Carl, ORCID: 0000-0001-8928-8546, Foster, Jennifer, ORCID: 0000-0002-7789-4853","Dzendzik, Daria",,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Computational linguistics. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,25960,03 Jun 2021 11:09 by  Jennifer Foster. Last Modified 03 Jun 2021 11:09,Proceedings of the First Workshop on Insights from Negative Results in NLP..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),http://dx.doi.org/10.18653/v1/2020.insights-1.2,© 2020 The Authors. (CC-BY-4.0),"Science Foundation Ireland in the ADAPT Centre for Digital Content Technology, funded under the SFI Research Centres Programme (Grant 13/RC/2106) and the European Regional Development Fund.",,,
Jennifer Foster,Treebank embedding vectors for out-of-domain dependency parsing.,"Wagner, Joachim, Barry, James, Foster, Jennifer","58th Annual Meeting of the Association for Computational Linguistics (ACL 2020), 05-10 Jul 2020, Online (virtual conference).",2020,"Joachim Wagner, James Barry, Jennifer Foster","Wagner, Joachim, ORCID: 0000-0002-8290-3849, Barry, James, ORCID: 0000-0003-3051-585X, Foster, Jennifer, ORCID: 0000-0002-7789-4853",,,,Conference or Workshop Item (Paper),Conference,Yes,,,dependency parsing,Computer Science > Computational linguistics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,24861,27 Aug 2020 14:05 by  Joachim Wagner. Last Modified 27 Aug 2020 14:05,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),http://dx.doi.org/10.18653/v1/2020.acl-main.778,© 2020 The Authors CC-BY-4.0,"Science Foundation Ireland (SFI) Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund",,,
Jennifer Foster,Annotating verbal MWEs in Irish for the PARSEME Shared Task 1.2.,"Walsh, Abigail, Lynn, Teresa, Foster, Jennifer","Joint Workshop on Multiword Expressions and Electronic Lexicons, 13 Dec 2020, Barcelona, Spain (Online).",2020,"Abigail Walsh, Teresa Lynn, Jennifer Foster","Foster, Jennifer, ORCID: 0000-0002-7789-4853","Walsh, Abigail, Lynn, Teresa",,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Computational linguistics. Computer Science > Machine learning. Humanities > Irish language. Humanities > Language. Humanities > Linguistics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,25961,03 Jun 2021 12:09 by  Jennifer Foster. Last Modified 03 Jun 2021 12:09,Proceedings of the Joint Workshop on Multiword Expressions and Electronic Lexicons..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/2020.mwe-1.7/,© 2020 ACL (CC-BY-4.0),"Irish Government Department of Culture, Heritage and the Gaeltacht under the GaelTech Project, Science Foundation Ireland in the ADAPT Centre (Grant 13/RC/2106)",,,
Jennifer Foster,Cross-lingual parsing with polyglot training and multi-treebank learning: a Faroese case study.,"Barry, James, Wagner, Joachim, Foster, Jennifer","The 2nd Workshop on Deep Learning Approaches for Low-Resource NLP (DeepLo 2019), 3 - 5 Nov 2019, Hong Kong, China",2019,"James Barry, Joachim Wagner, Jennifer Foster","Barry, James, ORCID: 0000-0003-3051-585X, Wagner, Joachim, ORCID: 0000-0002-8290-3849, Foster, Jennifer, ORCID: 0000-0002-7789-4853",,978-1-950737-78-9,,Conference or Workshop Item (Paper),Workshop,Yes,,,Faroese language resources; knowledge transfer across related languages; dependency parsing for low-resource languages,Computer Science > Computational linguistics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,23972,29 Nov 2019 15:58 by  Joachim Wagner. Last Modified 27 Aug 2020 14:12,Proceedings of the 2nd Workshop on Deep Learning Approaches for Low-Resource NLP (DeepLo 2019)..  Association for Computational Linguistics. ISBN 978-1-950737-78-9,Association for Computational Linguistics,http://dx.doi.org/10.18653/v1/D19-6118,© 2019 The Association for Computational Linguistics (ACL) CC-BY-4.0,"Science Foundation Ireland SFI Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund",,,
Jennifer Foster,Query expansion for sentence retrieval using pseudo relevance feedback and word embedding.,"Arora, Piyush, Foster, Jennifer, Jones, Gareth J.F.","8th International Conference of the Cross-Language Evaluation Forum for European Languages, 11–14 Sept 2017, Dublin, Ireland",2017,"Piyush Arora, Jennifer Foster, Gareth J.F. Jones","Arora, Piyush, ORCID: 0000-0002-4261-2860, Foster, Jennifer, ORCID: 0000-0002-7789-4853, Jones, Gareth J.F., ORCID: 0000-0003-2923-8365",,978-3-319-65812-4,,Conference or Workshop Item (Poster),Conference,Yes,,,Query expansion; Pseudo relevance feedback;  Word embeddings; Sentence retrieval,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22805,03 Dec 2018 10:47 by  Piyush Arora. Last Modified 01 Feb 2019 12:28,"Jones, Gareth J.F. and Lawless, Séamus and Gonzalo, Julio and Kelly, Liadh and Goeuriot, Lorraine and Mandl, Thomas and Cappellato, Linda and Ferro, Nicola, (eds.)Lecture Notes in Computer Science LNCS. Information Systems and Applications10456.  Springer, Cham. ISBN 978-3-319-65812-4","Springer, Cham",https://doi.org/10.1007/978-3-319-65813-1_8,© 2017 Springer International Publishing AG,Science Foundation Ireland (SFI) as a part of the ADAPT Centre at Dublin City University (Grant No: 12/CE/I2267).,,,
Jennifer Foster,Report on ACL survey on preprint publishing and reviewing.,"Foster, Jennifer, Hearst, Marti, Nivre, Joakim, Zhao, Shiqi",Policy Report. Association for Computational Linguistics (ACL).,2017,"Jennifer Foster, Marti Hearst, Joakim Nivre, Shiqi Zhao","Foster, Jennifer, ORCID: 0000-0002-7789-4853, Nivre, Joakim, ORCID: 0000-0002-7873-3971","Hearst, Marti, Zhao, Shiqi",,,Monograph (Policy Report),,No,,,double blind reviewing; preprint servers; gender bias,Computer Science > Computational complexity. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,,25188,18 Nov 2020 13:36 by  Jennifer Foster. Last Modified 18 Nov 2020 13:36,,Association for Computational Linguistics (ACL),https://www.aclweb.org/portal/sites/default/files/SurveyReport2017.pdf,© 2017 The Authors,,,,
Jennifer Foster,Morphological features of the Irish universal dependency treebank.,"Lynn, Teresa, Foster, Jennifer, Dras, Mark","15th International Workshop on Treebanks and Linguistic Theories (TLT15), 20-21 Jan 2017, Bloomington, IN, USA.",2017,"Teresa Lynn, Jennifer Foster, Mark Dras","Foster, Jennifer, ORCID: 0000-0002-7789-4853","Lynn, Teresa, Dras, Mark",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine learning,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23609,31 Jul 2019 11:24 by  Thomas Murtagh. Last Modified 27 May 2020 11:00,"Dickinson, Markus and Hajič, Jan and Kübler, Sandra and Przepiórkowski, Adam, (eds.)Proceedings of the 15th International Workshop on Treebanks and Linguistic Theories (TLT15). CEUR Workshop Proceedings1779.  CEUR-WS.",CEUR-WS,http://ceur-ws.org/Vol-1779/09lynn.pdf,© 2017 The Authors,"ADAPT Centre for Digital Content Technology (www.adaptcentre.ie) at Dublin City University, funded under the SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund.",,,
Jennifer Foster,"Part-of-speech tagging of code-mixed social media content: pipeline,
stacking and joint modelling.","Barman, Utsab, Wagner, Joachim, Foster, Jennifer","Second Workshop on Computational Approaches to Code Switching, 2 Nov 2016, Austin, Texas, USA.",2016,"Utsab Barman, Joachim Wagner, Jennifer Foster","Wagner, Joachim, ORCID: 0000-0002-8290-3849, Foster, Jennifer, ORCID: 0000-0002-7789-4853","Barman, Utsab",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,23067,11 Mar 2019 11:56 by  Thomas Murtagh. Last Modified 27 Aug 2020 14:15,Proceedings of the Second Workshop on Computational Approaches to Code Switching..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://doi.org/10.18653/v1/W16-5804,© 2016 Association for Computational Linguistics (ACL) CC- BY- 4.0,Science Foundation Ireland (Grant 12/CE/I2267) as part of CNGL (www.cngl.ie) at Dublin City University.,,,
