Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Long Cheng,MPC-CSAS: multi-party computation for real-time privacy-preserving speed advisory systems.,"Liu, Mingming, Cheng, Long, Gu, Yingqi, Wang, Ying, Liu, Qingzhi, O'Connor, Noel E.",IEEE Transactions on Intelligent Transportation Systems ,2021,"Mingming Liu, Long Cheng, Yingqi Gu, Ying Wang, Qingzhi Liu, Noel E. O'Connor","Liu, Mingming, ORCID: 0000-0002-8988-2104, Cheng, Long, ORCID: 0000-0003-1638-059X, Gu, Yingqi, ORCID: 0000-0001-5807-6102, O'Connor, Noel E., ORCID: 0000-0002-4033-9135","Wang, Ying, Liu, Qingzhi",,1524-9050,Article (Published),,Yes,,,Speed advisory systems; Multi-party computation; Vehicle networks; Optimal consensus algorithm,Computer Science > Algorithms. Computer Science > Artificial intelligence. Engineering > Control theory. Engineering > Electronic engineering. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25397,08 Jun 2021 16:49 by  Mingming Liu. Last Modified 08 Jun 2021 16:49,,Institute of Electrical and Electronics Engineers (IEEE),https://dx.doi.org/10.1109/TITS.2021.3052840,© 2021 IEEE,Science Foundation Ireland,,,
Long Cheng,Privacy-preserving behavioral correctness verification of cross-organizational workflow with task synchronization patterns.,"Liu, Cong, Zeng, QingTian, Cheng, Long, Duan, Hua, Zhou, MengChu, Cheng, JiuJun","IEEE Transactions on Automation Science and Engineering, 18 . pp. 1-12",2020,"Cong Liu, QingTian Zeng, Long Cheng, Hua Duan, MengChu Zhou, JiuJun Cheng","Liu, Cong, ORCID: 0000-0002-5999-2126, Zeng, QingTian, ORCID: 0000-0002-6421-8223, Cheng, Long, ORCID: 0000-0003-1638-059X, Zhou, MengChu, ORCID: 0000-0002-5408-8752, Cheng, JiuJun, ORCID: 0000-0001-5176-4762","Duan, Hua",,1545-5955,Article (Published),,Yes,,,Task analysis; Synchronization;Organizations; Petri nets;Privacy; Standards organizations; Behavioral correctness verification; business privacy preservation; cross-organizational workflow; discrete event systems; Petri nets;task synchronization pattern.,Computer Science > Computer engineering. Computer Science > Computer security. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24733,03 Jul 2020 11:00 by  Long Cheng. Last Modified 11 Nov 2020 16:01,,IEEE,http://dx.doi.org/10.1109/TASE.2020.2993376,© 2020 IEEE,"Science Foundation of China; Science and Technology Development Fund of Shandong Province, Taishan Scholars Program of Shandong Province; Shandong University of Science and Technology Research Fund",,,
Long Cheng,Rethinking defeasible reasoning: a scalable approach.,"Maher, Michael J., Tachmazidis, Ilias, Antoniou, Grigoris, Wade, Stephen, Cheng, Long","Theory and Practice of Logic Programming, 20 (4). pp. 552-586",2020,"Michael J. Maher, Ilias Tachmazidis, Grigoris Antoniou, Stephen Wade, Long Cheng","Tachmazidis, Ilias, ORCID: 0000-0002-9052-7329, Antoniou, Grigoris, ORCID: 0000-0003-3673-6602","Maher, Michael J., Wade, Stephen, Cheng, Long",,1471-0684,Article (Published),,Yes,,,Defeasible Reasoning; Parallel Reasoning; Scalability,Computer Science > Algorithms. Computer Science > Artificial intelligence. Computer Science > Computer engineering. ,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24726,01 Jul 2020 12:55 by  Long Cheng. Last Modified 25 Aug 2020 03:30,,Cambridge University Press,http://dx.doi.org/10.1017/S1471068420000010,© 2020 Cambridge University Press,,,,
Long Cheng,A WOA-based optimization approach for task scheduling in cloud Computing systems.,"Chen, Xuan, Cheng, Long, Liu, Cong, Liu, Qingzhi, Liu, Jinwei, Mao, Ying, Murphy, John",IEEE Systems Journal . pp. 1-12.,2020,"Xuan Chen, Long Cheng, Cong Liu, Qingzhi Liu, Jinwei Liu, Ying Mao, John Murphy","Cheng, Long, ORCID: 0000-0003-1638-059X, Murphy, John, ORCID: 0000-0001-7822-1573","Chen, Xuan, Liu, Cong, Liu, Qingzhi, Liu, Jinwei, Mao, Ying",,,Article (Published),,Yes,,,Cloud computing; task scheduling; whale optimization algorithm; metaheuristics; multi-objective optimization;,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24294,20 Mar 2020 11:33 by  Long Cheng. Last Modified 20 Mar 2020 12:07,,IEEE,http://dx.doi.org/10.1109/JSYST.2019.2960088,© 2020 IEEE,,,,
Long Cheng,Resilient neural network training for accelerators with computing errors.,"Xu, Dawen, Xing, Kouzi, Liu, Cheng, Wang, Ying, Dai, Yulin, Cheng, Long, Li, Huawei, Zhang, Lei","2019 IEEE 30th International Conference on Application-specific Systems, Architectures and Processors (ASAP), 15-17 July 2019, New York, USA.",2019,"Dawen Xu, Kouzi Xing, Cheng Liu, Ying Wang, Yulin Dai, Long Cheng, Huawei Li, Lei Zhang","Cheng, Long, ORCID: 0000-0003-1638-059X","Xu, Dawen, Xing, Kouzi, Liu, Cheng, Wang, Ying, Dai, Yulin, Li, Huawei, Zhang, Lei",,,Conference or Workshop Item (Paper),Conference,Yes,,,"Two dimensional displays; Hafnium; resilient training; CNN accelerator; 
relaxed design constrain; fault tolerance",UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24293,20 Mar 2020 11:28 by  Long Cheng. Last Modified 20 Mar 2020 11:28,"2019 IEEE 30th International Conference on Application-specific Systems, Architectures and Processors. ASAP.  IEEE.",IEEE,http://dx.doi.org/10.1109/ASAP.2019.00-23,© 2019 IEEE,"National Natural Science Foundation of China (No. 61874124), Chinese Academy of Sciences STS (No. KFJ-STS-SCYD-226), European Union’s Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement (No. 799066)",,,
Long Cheng,Learning process models in IoT Edge.,"Cheng, Long, Liu, Cong, Liu, Qingzhi, Duan, Yucong, Murphy, John","2019 IEEE World Congress on Services (SERVICES), 8 - 13 July 2019, Milan, Italy.",2019,"Long Cheng, Cong Liu, Qingzhi Liu, Yucong Duan, John Murphy","Cheng, Long, ORCID: 0000-0003-1638-059X, Duan, Yucong, ORCID: 0000-0001-8417-892X, Murphy, John, ORCID: 0000-0001-7822-1573","Liu, Cong, Liu, Qingzhi",,,Conference or Workshop Item (Paper),Conference,Yes,,,Computational modeling; Servers;Petri nets; Edge computing; Real-time systems; Data models; Cloud computing,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24291,19 Mar 2020 15:38 by  Long Cheng. Last Modified 19 Mar 2020 15:38,2019 IEEE World Congress on Services..  IEEE.,IEEE,http://dx.doi.org/10.1109/SERVICES.2019.00043,2019 IEEE,European Union’s Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 799066,,,
Long Cheng,Flowcon: elastic flow configuration for containerized deep learning applications.,"Zheng, Wenjia, Tynes, Michael, Gorelick, Henry, Mao, Ying, Cheng, Long, Hou, Yantian","Proceedings of the 48th International Conference on Parallel Processing, 5 -8 Aug 2019, Kyoto, Japan",2019,"Wenjia Zheng, Michael Tynes, Henry Gorelick, Ying Mao, Long Cheng, Yantian Hou","Tynes, Michael, ORCID: 0000-0002-5007-1056, Cheng, Long, ORCID: 0000-0003-1638-059X, Hou, Yantian, ORCID: 0000-0001-8295-6871","Zheng, Wenjia, Gorelick, Henry, Mao, Ying",978-1-4503-6295-5,,Conference or Workshop Item (Paper),Conference,Yes,,,"cloud computing; deep learning; containerized application; resource
management; high performance analytics",UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24290,19 Mar 2020 14:43 by  Long Cheng. Last Modified 19 Mar 2020 14:43,Proceedings of the 48th International Conference on Parallel Processing. ICPP.  Association for Computing Machinery (ACM). ISBN 978-1-4503-6295-5,Association for Computing Machinery (ACM),http://dx.doi.org/10.1145/3337821.3337868,© 2019 Association for Computing Machinery(ACM),European Union’s Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 799066,,,
Long Cheng,Deep reinforcement learning for IoT network dynamic clustering in edge computing.,"Liu, Qingzhi, Cheng, Long, Ozcelebi, Tanir, Murphy, John, Lukkien, Johan","2019 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID), 14-17 May 2019, Larnica, Cyprus.",2019,"Qingzhi Liu, Long Cheng, Tanir Ozcelebi, John Murphy, Johan Lukkien","Cheng, Long, ORCID: 0000-0003-1638-059X","Liu, Qingzhi, Ozcelebi, Tanir, Murphy, John, Lukkien, Johan",,,Conference or Workshop Item (Paper),Conference,Yes,,,Big Data; data analysis; Internet of Things;learning; pattern clustering;Deep Reinforcement Learning; DQN; IoT Network; Dynamic Clustering; Edge Computing,Computer Science > Artificial intelligence,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24289,19 Mar 2020 13:07 by  Long Cheng. Last Modified 19 Mar 2020 14:45,"2019 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing. CCGRID.  IEEE.",IEEE,http://dx.doi.org/10.1109/CCGRID.2019.00077,2019 The Authors,,,,
Long Cheng,Load-balancing distributed outer joins through operator decomposition.,"Cheng, Long, Kotoulas, Spyros, Liu, Qingzhi, Wang, Ying","Journal of Parallel and Distributed Computing, 132 . pp. 21-35",2019,"Long Cheng, Spyros Kotoulas, Qingzhi Liu, Ying Wang","Cheng, Long, ORCID: 0000-0003-1638-059X, Kotoulas, Spyros, ORCID: 0000-0003-4754-6433","Liu, Qingzhi, Wang, Ying",,0743-7315,Article (Published),,Yes,,,Distributed join; Outer join; Data skew; Load balancing; Spark,Computer Science > Computer engineering,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24292,20 Mar 2020 12:50 by  Long Cheng. Last Modified 14 May 2021 03:30,,Elsevier,http://dx.doi.org/10.1016/j.jpdc.2019.05.008,© 2019 Elsevier,European Union’s Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 799066.,,,
Long Cheng,Scalable discovery of hybrid process models in a cloud computing environment.,"Cheng, Long, van Dongen, Boudewijn, van der Aalst, Wil","IEEE Transactions on Services Computing, 13 (2). pp. 368-380",2019,"Long Cheng, Boudewijn van Dongen, Wil van der Aalst","Cheng, Long, ORCID: 0000-0003-1638-059X, van Dongen, Boudewijn, ORCID: 0000-0002-3978-6464, van der Aalst, Wil, ORCID: 0000-0002-0955-6940",,,1939-1374,Article (Published),,Yes,,,Process discovery; hybrid process model; event log; big data; service computing; cloud computing,Computer Science > Computer engineering,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24286,18 Mar 2020 17:53 by  Long Cheng. Last Modified 27 Apr 2020 14:01,,IEEE,http://dx.doi.org/10.1109/TSC.2019.2906203,"© 2019 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained
for all other users, including reprinting/ republishing this material for advertising or
promotional purposes, creating new collective works for resale or redistribution to servers or
lists, or reuse of any copyrighted components of this work in other works.","NWO DeLiBiDa research program, European Union’s Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 799066, Alexander von Humboldt (AvH) Stiftung",,,
