Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Malika Bendechache,Incorporating user preferences in multi-objective feature selection in software product lines using multi-criteria decision analysis.,"Saber, Takfarinas, Bendechache, Malika, Ventresque, Anthony","Optimization and Learning 4th International Conference, OLA 2021, 21-23 June 2021, Catania, Italy",2021,"Takfarinas Saber, Malika Bendechache, Anthony Ventresque","Saber, Takfarinas, ORCID: 0000-0003-2958-7979, Bendechache, Malika, ORCID: 0000-0003-0069-1860, Ventresque, Anthony, ORCID: 0000-0003-2064-1238",,978-3-030-85671-7,,Conference or Workshop Item (Paper),Conference,Yes,,,"Feature Selection; Software Product Line; Multi-Objective Evolution
Algorithm; Multi-Criteria Decision Analysis.",Computer Science > Algorithms. Computer Science > Artificial intelligence. Computer Science > Software engineering. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26265,15 Sep 2021 09:49 by  Takfarinas Saber. Last Modified 15 Sep 2021 10:47,"Dorronsoro, Bernabé and Amodeo, Lionel and Pavone, Mario and Ruiz, Patricia, (eds.)Optimization and Learning. Communications in Computer and Information Science (CCIS)1443.  Springer, Cham. ISBN 978-3-030-85671-7","Springer, Cham",https://dx.doi.org/10.1007/978-3-030-85672-4_27,© 2021 Springer,"Science Foundation Ireland grants No. 13/RC/2094 P2 (Lero), Science Foundation Ireland grants No. 13/RC/2106 P2 (ADAPT)",,,
Malika Bendechache,Irish attitudes to privacy in COVID-19 times: sentiment analysis on Twitter and survey data.,"Lohar, Pintu, Xie, Guodong, Bendechache, Malika, Brennan, Rob, Celeste, Edoardo, Trestian, Ramona, Tal, Irina","16th International ARES Conference on Availability, Reliability and Security ARES21, 17- 21 Aug 2021, Vienna, Austria + Online",2021,"Pintu Lohar, Guodong Xie, Malika Bendechache, Rob Brennan, Edoardo Celeste, Ramona Trestian, Irina Tal","Bendechache, Malika, ORCID: 0000-0003-0069-1860, Brennan, Rob, ORCID: 0000-0001-8236-362X","Lohar, Pintu, Xie, Guodong, Celeste, Edoardo, Trestian, Ramona, Tal, Irina",978-1-4503-9051-4,,Conference or Workshop Item (Paper),Conference,Yes,,,privacy; Sentiment Analysis; COVID-19; tracker app,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,,26009,12 Aug 2021 15:22 by  Vidatum Academic. Last Modified 10 Nov 2021 14:43,,Association for Computing Machinery (ACM),https://dx.doi.org/10.1145/3465481.3469193,© 2021 The Authors. Open Access (CC-BY-4.0),"Science Foundation Ireland grant number 20/COV/0229 and 13/RC/2094, European Regional Development Fund through the Southern and Eastern Regional Operational Programme to Lero - the Irish Software Research Centre (www.lero.ie) and the ADAPT Centre for Digital Content Technology (www.adaptcentre.ie) [grant number 13/RC/21",,,
Malika Bendechache,Public attitudes towards privacy in COVID-19 times in the Republic of Ireland: a pilot study.,"Bendechache, Malika, Lohar, Pintu, Xie, Guodong, Brennan, Rob, Trestian, Ramona, Celeste, Edoardo, Kapanova, Kristina, Jayasekera, Evgeniia, Tal, Irina",Information Security Journal ,2021,"Malika Bendechache, Pintu Lohar, Guodong Xie, Rob Brennan, Ramona Trestian, Edoardo Celeste, Kristina Kapanova, Evgeniia Jayasekera, Irina Tal","Bendechache, Malika, ORCID: 0000-0003-0069-1860, Brennan, Rob, ORCID: 0000-0001-8236-362X","Lohar, Pintu, Xie, Guodong, Trestian, Ramona, Celeste, Edoardo, Kapanova, Kristina, Jayasekera, Evgeniia, Tal, Irina",,1939-3555,Article (Published),,Yes,,,COVID-19; privacy; pandemic; attitude; information; data,Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Law and Government. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26058,08 Sep 2021 08:45 by  Malika Bendechache. Last Modified 08 Sep 2021 08:45,,Taylor & Francis,https://dx.doi.org/10.1080/19393555.2021.1956650,© 2021 Taylor & Francis. (CC-BY-NC),"Science Foundation Ireland through COVID Rapid Response programme grant number 20/COV/0229 and through the grant 13/RC/2094 co-funded under the European Regional Development Fund through the Southern and Eastern Regional Operational Programme to Lero -, ADAPT Centre for Digital Content Technology (www.adaptcentre.ie) [grant number 13/RC/2106].",,,
Malika Bendechache,Privacy in a Time of Covid-19: How concerned are you?,"Trestian, Ramona, Xie, Guodong, Lohar, Pintu, Celeste, Edoardo, Bendechache, Malika, Brennan, Rob, Jayasekera, Evgeniia, Connolly, Regina, Tal, Irina",IEEE Security & Privacy ,2021,"Ramona Trestian, Guodong Xie, Pintu Lohar, Edoardo Celeste, Malika Bendechache, Rob Brennan, Evgeniia Jayasekera, Regina Connolly, Irina Tal","Trestian, Ramona, ORCID: 0000-0003-3315-3081, Bendechache, Malika, ORCID: 0000-0003-0069-1860, Brennan, Rob, ORCID: 0000-0001-8236-362X, Connolly, Regina, ORCID: 0000-0003-3196-2889","Xie, Guodong, Lohar, Pintu, Celeste, Edoardo, Jayasekera, Evgeniia, Tal, Irina",,1540-7993,Article (Published),,Yes,,,"Bluetooth; Data privacy; COVID-19; Privacy; Servers; Pandemics; 
Coronaviruses",Computer Science > Artificial intelligence. Computer Science > Computer security. Social Sciences > Law. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26059,29 Jul 2021 15:06 by  Malika Bendechache. Last Modified 29 Jul 2021 15:06,,IEEE,https://dx.doi.org/10.1109/MSEC.2021.3092607,© 2021 IEEE,"Science Foundation Ireland through COVID Rapid Response programme grant number 20/COV/0229 and through the grant 13/RC/2094, European Regional Development Fund through the Southern and Eastern Regional Operational Programme to Lero - the Irish Software Research Centre (www.lero.ie), ADAPT Centre for Digital Content Technology (www.adaptcentre.ie) [grant number 13/RC/2106]",,,
Malika Bendechache,"AI in my life: AI, ethics & privacy workshops for 15-16-year-olds.","Bendechache, Malika, Tal, Irina, Wall, P.J, Grehan, Laura, Clarke, Emma, O'Driscoll, Aidan, Van Der Haegen, Laurence, Leong, Brenda, Kearns, Anne, Brennan, Rob","WebSci '21: 13th ACM Web Science Conference 2021, 21-25 June 2021, Online.",2021,"Malika Bendechache, Irina Tal, P.J Wall, Laura Grehan, Emma Clarke, Aidan O'Driscoll, Laurence Van Der Haegen, Brenda Leong, Anne Kearns, Rob Brennan","Bendechache, Malika, ORCID: 0000-0003-0069-1860, Wall, P.J, ORCID: 0000-0002-5859-4425, Brennan, Rob, ORCID: 0000-0001-8236-362X","Tal, Irina, Grehan, Laura, Clarke, Emma, O'Driscoll, Aidan, Van Der Haegen, Laurence, Leong, Brenda, Kearns, Anne",,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Computer security. Social Sciences > Education. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,,26045,29 Jun 2021 17:13 by  Malika Bendechache. Last Modified 14 Jul 2021 10:09,In proceeding of WebSci '21: 13th ACM Web Science Conference 2021..  Association for Computing Machinery (ACM).,Association for Computing Machinery (ACM),https://doi.org/10.1145/3462741.3466664,© 2021 ACM. Open Access (CC-BY-4.0),"Science Foundation Ireland through Discover programme grant number 20/DP/8175, ADAPT Centre for Digital Content Technology (www.adaptcentre.ie) [grant number 13/RC/2106_P2, Lero- the Irish Software Research Centre (www.lero.ie). [grant number 13/RC/2094_2]",,,
Malika Bendechache,Brain tumor segmentation based on deep learning and an attention mechanism using MRI multi-modalities brain images.,"Ranjbarzadeh, Ramin, Bagherian Kasgari, Abbas, Jafarzadeh Ghoushchi, Saeid, Anari, Shokofeh, Naseri, Maryam, Bendechache, Malika","Scientific Reports, 11 ",2021,"Ramin Ranjbarzadeh, Abbas Bagherian Kasgari, Saeid Jafarzadeh Ghoushchi, Shokofeh Anari, Maryam Naseri, Malika Bendechache","Ranjbarzadeh, Ramin, ORCID: 0000-0001-7065-9060, Bagherian Kasgari, Abbas, ORCID: 0000-0003-1630-5207, Bendechache, Malika, ORCID: 0000-0003-0069-1860","Jafarzadeh Ghoushchi, Saeid, Anari, Shokofeh, Naseri, Maryam",,2045-2322,Article (Published),,Yes,,,Brain tumor segmentation; Image segmentation; Medical image analysis; Attention mechanism,Computer Science > Artificial intelligence. Computer Science > Machine learning. Medical Sciences > Cancer. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,,25889,25 May 2021 14:06 by  Malika Bendechache. Last Modified 25 May 2021 14:06,,Springer,https://doi.org/10.1038/s41598-021-90428-8,© 2021 Springer. Open Access. (CC BY 4.0),Science Foundation Ireland (SFI) 561 under the grants No. 13/RC/2094\_P2 (Lero) and 13/RC/2106\_P2 (ADAPT).,Article number: 10930,,
Malika Bendechache,Lung infection segmentation for COVID-19 pneumonia based on a cascade convolutional network from CT images.,"Ranjbarzadeh, Ramin, Jafarzadeh Ghoushchi, Saeid, Bendechache, Malika, Amirabadi, Amir, Ab Rahman, Mohd Nizam, Baseri Saadi, Soroush, Aghamohammadi, Amirhossein, Forooshani, Mersedeh Kooshki","BioMed Research International, 2021 ",2021,"Ramin Ranjbarzadeh, Saeid Jafarzadeh Ghoushchi, Malika Bendechache, Amir Amirabadi, Mohd Nizam Ab Rahman, Soroush Baseri Saadi, Amirhossein Aghamohammadi, Mersedeh Kooshki Forooshani","Ranjbarzadeh, Ramin, ORCID: 0000-0001-7065-9060, Jafarzadeh Ghoushchi, Saeid, ORCID: 0000-0003-3665-9010, Bendechache, Malika, ORCID: 0000-0003-0069-1860, Ab Rahman, Mohd Nizam, ORCID: 0000-0002-7053-4396","Amirabadi, Amir, Baseri Saadi, Soroush, Aghamohammadi, Amirhossein, Forooshani, Mersedeh Kooshki",,2314-6133,Article (Published),,Yes,,,Deep learning; CNN; Lung infection; COVID-19; Lung segmentation,Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,,25821,30 Apr 2021 14:11 by  Malika Bendechache. Last Modified 30 Apr 2021 14:11,,Hindawi,https://dx.doi.org/10.1155/2021/5544742,2021 The Authors Open Access (CC-BY-4.0),,Article Number 5544742,,
Malika Bendechache,"Simulating and evaluating a real-world elastic search system
using the RECAP DES simulator.","Bendechache, Malika, Svorobej, Sergej, Endo, Patricia-Takako, Mihai, Adrian, Lynn, Theo","Future Internet, 13 (4)",2021,"Malika Bendechache, Sergej Svorobej, Patricia-Takako Endo, Adrian Mihai, Theo Lynn","Bendechache, Malika, ORCID: 0000-0003-0069-1860, Svorobej, Sergej, ORCID: 0000-0001-8900-8700, Endo, Patricia-Takako, ORCID: 0000-0002-9163-5583, Lynn, Theo, ORCID: 0000-0001-9284-7580","Mihai, Adrian",,1999-5903,Article (Published),,Yes,,,Simulation; Modelling; ElasticSearch; DES; CloudSim; CloudSimPlus; Query; Work15 load; Search engines,Computer Science > Computer engineering. Computer Science > Computer simulation. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,,25686,25 Mar 2021 11:11 by  Malika Bendechache. Last Modified 25 Mar 2021 11:11,,MDPI,https://doi.org/10.3390/fi13040083,© 2021 The Authors. Open Access (CC-BY-4.0),,Article Number 83,,
Malika Bendechache,"A Review of current machine learning approaches for
anomaly detection in network traffic.","Ali, Wasim A., Manasa, K.N., Bendechache, Malika, Fadhel Aljunaid, Mohammed, Sandhya, P.","Journal of Telecommunications and the Digital Economy, 8 (4). pp. 64-95",2020,"Wasim A. Ali, K.N. Manasa, Malika Bendechache, Mohammed Fadhel Aljunaid, P. Sandhya","Ali, Wasim A., ORCID: 0000-0002-4602-461X, Bendechache, Malika, ORCID: 0000-0003-0069-1860, Fadhel Aljunaid, Mohammed, ORCID: 0000-0001-9099-3664","Manasa, K.N., Sandhya, P.",,2203-1693,Article (Published),,Yes,,,"Anomaly Detection; Intrusion, Networks; Supervised; Unsupervised",Computer Science > Artificial intelligence. Computer Science > Computer security. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25222,18 Jan 2021 16:09 by  Malika Bendechache. Last Modified 18 Jan 2021 16:09,,Telecommunication Society of Australia Ltd.,https://doi.org/10.18080/jtde.v8n4.307,© 2020 Telecommunications Association Inc. (CC-BY-ND 4.0),"Malika Bendechache is supported, in part, by Science Foundation Ireland (13/RC/2094 and 13/RC/2106)",,,
Malika Bendechache,Orchestration from the cloud to the edge.,"Svorobej, Sergej, Bendechache, Malika, Griesinger, Frank, Domaschka, Jörg","Lynn, Theo Mooney, John G., Lee, Brian and Endo, Patricia Takako (eds.) The Cloud-to-Thing Continuum. Palgrave Studies in Digital Business & Enabling Technologies . Palgrave Macmillan, London, UK, pp. 61-77",2020,"Sergej Svorobej, Malika Bendechache, Frank Griesinger, Jörg Domaschka","Svorobej, Sergej, ORCID: 0000-0001-8900-8700, Bendechache, Malika, ORCID: 0000-0003-0069-1860","Griesinger, Frank, Domaschka, Jörg",978-3-030-41110-7,,Book Section,,Yes,,,"cloud computing; edge computing; fog computing, orchestration; management; container orchestration; orchestration tools; orchestration standards; orchestration challenges; orchestration architectures",Computer Science > Computer simulation. Computer Science > Information technology. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,,24835,21 Jul 2020 11:21 by  Malika Bendechache. Last Modified 26 Nov 2020 17:13,,Palgrave Macmillan,http://dx.doi.org/10.1007/978-3-030-41110-7,© 2020 The Editors and The Authors. Open Access,,,,
