Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Mark Roantree,A methodology for validating diversity in synthetic time series generation.,"Bahrpeyma, Fouad, Roantree, Mark, Cappellari, Paolo, Scriney, Michael, McCarren, Andrew",MethodsX ,2021,"Fouad Bahrpeyma, Mark Roantree, Paolo Cappellari, Michael Scriney, Andrew McCarren","Bahrpeyma, Fouad, ORCID: 0000-0002-5128-4774, Roantree, Mark, ORCID: 0000-0002-1329-2570, Scriney, Michael, ORCID: 0000-0001-6813-2630, McCarren, Andrew, ORCID: 0000-0002-7297-0984","Cappellari, Paolo",,2215-0161,Article (Published),,Yes,,,"Time series; Forecasting; Time Series Prediction; Diversity, Synthetic time series",Computer Science > Algorithms. Computer Science > Artificial intelligence. Computer Science > Computer simulation. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,26085,03 Aug 2021 16:01 by  Fouad Bahrpeyma. Last Modified 03 Aug 2021 16:01,,Elsevier,https://dx.doi.org/10.1016/j.mex.2021.101459,© 2021 The Authors. Open Access (CC-BY-4.0),"Science Foundation Ireland under grant number SFI/12/RC/2289, Science Foundation Ireland (SFI) and the Department of Agriculture, Food and Marine on behalf of the Government of Ireland under Grant Number 16/RC/3835.",Article number: 101459,,
Mark Roantree,Voxento: a prototype voice-controlled interactive search engine for lifelogs.,"Alateeq, Ahmed, Roantree, Mark, Gurrin, Cathal","Third Annual Workshop on Lifelog Search Challenge (LSC'20), 27 Oct 2020, Dublin, Ireland",2020,"Ahmed Alateeq, Mark Roantree, Cathal Gurrin","Roantree, Mark, ORCID: 0000-0002-1329-2570, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Alateeq, Ahmed",978-1-4503-7136-0,,Conference or Workshop Item (Paper),Conference,Yes,,,lifelog; speech recognition; voice interaction; interactive retrieval,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24641,17 Jun 2020 15:20 by  Cathal Gurrin. Last Modified 17 Jun 2020 15:20,Proceedings of the Third Annual Workshop on Lifelog Search Challenge (LSC'20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7136-0,Association for Computing Machinery (ACM),https://doi.org/10.1145/3379172.3391728,© 2020 The Authors,Science Foundation Ireland and the Insight Centre for Data Analytics through the grant number SFI/12/RC/2289-P2,,,
Mark Roantree,An automated ETL for online datasets.,"McCarthy, Suzanne, McCarren, Andrew, Roantree, Mark","23rd Enterprise Computing Conference (EDOC), 28-31 Oct 2019, Paris, France.",2019,"Suzanne McCarthy, Andrew McCarren, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984","McCarthy, Suzanne, Roantree, Mark",,,Conference or Workshop Item (Paper),Conference,Yes,,,ETL; data warehousing; data transformation; data mining; data models,Computer Science > Machine learning,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23538,14 May 2020 13:58 by  Suzanne Mc Carthy. Last Modified 14 May 2020 13:58,2019 IEEE 23rd International Enterprise Distributed Object Computing Conference (EDOC)..  IEEE.,IEEE,http://dx.doi.org/10.1109/EDOC.2019.00030,© 2019 The Authors,,,,
Mark Roantree,Benchmarking algorithms for genomic prediction of complex traits.,"Azodi, Christina B., McCarren, Andrew, Roantree, Mark, Gustavo, de los Campos, Shiu, Shin-Han","G3: Genes, Genomes, Genetics, 9 (11). pp. 3691-3702",2019,"Christina B. Azodi, Andrew McCarren, Mark Roantree, de los Campos Gustavo, Shin-Han Shiu","Azodi, Christina B., ORCID: 0000-0002-6097-606X, McCarren, Andrew, ORCID: 0000-0002-7297-0984, Roantree, Mark, ORCID: 0000-0002-1329-2570, Gustavo, de los Campos, ORCID: 0000-0001-5692-7129","Shiu, Shin-Han",,2160-1836,Article (Published),,Yes,,,,Biological Sciences > Biology. Biological Sciences > Genetics. Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,23439,16 Jun 2020 13:57 by  Andrew Mccarren. Last Modified 16 Jun 2020 13:57,,Genetics Society of America,https://doi.org/10.1534/g3.119.400498,© 2019 The Authors.  CC-BY-NC-ND 4.0,"National Science Foundation Graduate Research Fellowship (Fellow ID: 2015196719)(USA), Graduate Research Opportunities Abroad (GROW) Fellowship to C.B.A, U.S. Department of Energy Great Lakes Bioenergy Research Center (BER DE-SC0018409), National Science Foundation (IOS-1546617, DEB-1655386) (USA), National Institute of Health (R01GM099992, R01FM101219) (USA)",,,
Mark Roantree,A method for automated transformation and validation of online datasets.,"McCarthy, Suzanne, McCarren, Andrew, Roantree, Mark","23rd IEEE-EDOC Conference: The Enterprise Computing Conference, 28 -31 Oct 2019, Paris, France.",2019,"Suzanne McCarthy, Andrew McCarren, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984","McCarthy, Suzanne, Roantree, Mark",,,Conference or Workshop Item (Paper),Conference,Yes,,,Data Engineering; ETL; Data Transformation,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23636,11 Nov 2019 14:17 by  Suzanne Mc Carthy. Last Modified 13 Dec 2019 13:40,,,,© 2019 The Authors,,,,
Mark Roantree,Representative sample extraction from web data streams.,"Scriney, Michael, Xing, Congcong, McCarren, Andrew, Roantree, Mark","Database and Expert Systems Applications - 30th International Conference, DEXA 2019 {I}, 26-29 Aug 2019, Linz, Austria",2019,"Michael Scriney, Congcong Xing, Andrew McCarren, Mark Roantree","Scriney, Michael, ORCID: 0000-0001-6813-2630, McCarren, Andrew, ORCID: 0000-0002-7297-0984","Xing, Congcong, Roantree, Mark",978-3-030-27614-0,,Conference or Workshop Item (Paper),Conference,Yes,,,Data Warehousing; Data Mining; Data Analytics; ETL; Web Data,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23659,23 Aug 2019 09:22 by  Michael Scriney. Last Modified 23 Aug 2019 09:22,"Database and Expert Systems Applications - 30th International Conference, DEXA 2019, Proceedings, Part I. Lecture Notes in Computer Science11706.  Springer. ISBN 978-3-030-27614-0",Springer,https://doi.org/10.1007/978-3-030-27615-7_26,© 2019 Springer,"Science Foundation Ireland (SFI) and the Department of Agriculture, Food and Marine on behalf of the Government of Ireland under Grant Number 16/RC/3835",,,
Mark Roantree,Detecting Multi-Relationship Links in Sparse Datasets.,"Nie, Dongyun, Roantree, Mark","21st International Conference on Enterprise Information Systems (ICEIS 2019, 3-5 May 2019, Heraklion, Greece",2019,"Dongyun Nie, Mark Roantree",,"Nie, Dongyun, Roantree, Mark",978-989-758-372-82,,Conference or Workshop Item (Paper),Conference,Yes,,,Record Linkage; Relationships; Customer Knowledge,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22990,16 May 2019 09:45 by  Dongyun Nie. Last Modified 10 Jan 2020 13:44,Proceedings of the 21st International Conference on Enterprise Information Systems (ICEIS 2019..  ICEIS. ISBN 978-989-758-372-82,ICEIS,http://dx.doi.org/10.5220/0007696901490157,© 2019 The Authors,Science Foundation Ireland under grant number SFI/12/RC/2289,,,
Mark Roantree,Combining web and enterprise data for lightweight data mart construction.,"McCarthy, Suzanne, McCarren, Andrew, Roantree, Mark","29th International Conference on Database and Expert Systems Applications (DEXA 2018), 3- 6 Sept 2018, Regensburg, Germany",2018,"Suzanne McCarthy, Andrew McCarren, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984","McCarthy, Suzanne, Roantree, Mark",978-3-319-98811-5,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computer engineering. Computer Science > Computer software. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22388,23 Jul 2018 11:58 by  Mark Roantree. Last Modified 26 Jun 2019 13:48,"Hartmann, Sven and Ma, Hui and Hameurlain, Abdelkader and Pernul, Günther, (eds.)29th International Conference on Database and Expert Systems Applications (DEXA 2018), Proceedings Part 2. Lecture Notes in Computer Science11030.  Springer. ISBN 978-3-319-98811-5",Springer,https://doi.org/10.1007/978-3-319-98812-2_10,© 2018 Springer,Science Foundation Ireland grant number SFI/12/RC/2289,,,
Mark Roantree,Multistep-ahead prediction: a comparison of analytical and algorithmic approaches.,"Bahrpeyma, Fouad, Roantree, Mark, McCarren, Andrew","20th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2018, September 3 - 6, 2018, Regensburg, Germany",2018,"Fouad Bahrpeyma, Mark Roantree, Andrew McCarren","Bahrpeyma, Fouad, ORCID: 0000-0002-5128-4774, Roantree, Mark, ORCID: 0000-0002-1329-2570, McCarren, Andrew, ORCID: 0000-0002-7297-0984",,978-3-319-98538-1,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine learning. Computer Science > Algorithms. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22390,23 Jul 2018 11:53 by  Fouad Bahrpeyma. Last Modified 10 Mar 2021 17:58,Big Data Analytics and Knowledge Discovery. Lecture Notes in Computer Science11031.  Springer. ISBN 978-3-319-98538-1,Springer,https://doi.org/10.1007/978-3-319-98539-8_26,© 2018 Springer,Science Foundation Ireland under grant number SFI/12/RC/2289,,,
Mark Roantree,An architecture and services for constructing data marts from online data sources.,"McCarthy, Suzanne, McCarren, Andrew, Roantree, Mark",Technical Report. UNSPECIFIED.,2018,"Suzanne McCarthy, Andrew McCarren, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984, Roantree, Mark, ORCID: 0000-0002-1329-2570","McCarthy, Suzanne",,,Monograph (Technical Report),,No,,,,Computer Science > Artificial intelligence,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22386,06 Jun 2018 10:29 by  Mark Roantree. Last Modified 03 Mar 2021 12:21,,,,,Science Foundation Ireland  grant number SFI/12/RC/2289,,,
