Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Michael Scriney,The L2L system for second language learning using visualised zoom calls among students.,"Dey-Plissonneau, Aparajita, Lee, Hyowon, Pradier, Vincent, Scriney, Michael, Smeaton, Alan F.","16th European Conference on Technology-Enhanced Learning EC-TEL 2021, 20-24 Sept 2021, Bozen-Bolzano, Italy (Online)",2021,"Aparajita Dey-Plissonneau, Hyowon Lee, Vincent Pradier, Michael Scriney, Alan F. Smeaton","Lee, Hyowon, ORCID: 0000-0003-4395-7702, Pradier, Vincent, ORCID: 0000-0002-7050-6408, Scriney, Michael, ORCID: 0000-0001-6813-2630, Smeaton, Alan F., ORCID: 0000-0003-1028-8389","Dey-Plissonneau, Aparajita",978-3-030-86435-4,,Conference or Workshop Item (Paper),Conference,Yes,,,Second Language Learning; Dialogue Metrics,Computer Science > Interactive computer systems. Computer Science > Multimedia systems. Computer Science > Digital video. Humanities > French language. Humanities > Video recordings. Social Sciences > Adult education. Social Sciences > Educational technology. Social Sciences > Teaching. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Applied Language and Intercultural Studies. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26031,21 Sep 2021 11:03 by  Alan Smeaton. Last Modified 23 Sep 2021 12:36,"De Laet, Tinne and Klemke, Roland and Alario-Hoyos, Carlos and Hilliger, Isabel and Ortega-Arranz, Alejandro, (eds.)Technology-Enhanced Learning for a Free, Safe, and Sustainable World. Lecture Notes in Computer Science (LNCS)12884.  Springer. ISBN 978-3-030-86435-4",Springer,https://dx.doi.org/10.1007%2F978-3-030-86436-1_45,© 2021 The Authors,"Science Foundation Ireland under Grant Number SFI/12/RC/2289 P2, co-funded by the European Regional Development Fund",,,
Michael Scriney,sage-based summaries of learning videos.,"Lee, Hyowon, Liu, Mingming, Scriney, Michael, Smeaton, Alan F.","16th European Conference on Technology-Enhanced Learning EC-TEL 2021, 20-24 Sept 2021, Bozen-Bolzano, Italy (Online)",2021,"Hyowon Lee, Mingming Liu, Michael Scriney, Alan F. Smeaton","Lee, Hyowon, ORCID: 0000-0003-4395-7702, Liu, Mingming, ORCID: 0000-0002-8988-2104, Scriney, Michael, ORCID: 0000-0001-6813-2630, Smeaton, Alan F., ORCID: 0000-0003-1028-8389",,978-3-030-86435-4,,Conference or Workshop Item (Paper),Conference,Yes,,,Video summaries; Video learning; Online learning,Computer Science > Artificial intelligence. Computer Science > Digital video. Social Sciences > Educational technology. Social Sciences > Teaching. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26032,21 Sep 2021 12:29 by  Alan Smeaton. Last Modified 21 Sep 2021 12:29,"De Laet, Tinne and Klemke, Roland and Alario-Hoyos, Carlos and Hilliger, Isabel and Ortega-Arranz, Alejandro, (eds.)Technology-Enhanced Learning for a Free, Safe, and Sustainable World. Lecture Notes in Computer Science (LNCS)12884.  Springer. ISBN 978-3-030-86435-4",Springer,https://dx.doi.org/10.1007/978-3-030-86436-1_46,© 2021 The Authors,"Science Foundation Ireland under Grant Number SFI/12/RC/2289 P2, co-funded by the European Regional Development Fund",,,
Michael Scriney,Facilitating reflection in teletandem through automatically generated conversation metrics and playback video.,"Dey-Plissonneau, Aparajita, Lee, Hyowon, Scriney, Michael, Smeaton, Alan F., Pradier, Vincent, Riaz, Hamza","EuroCALL: Computer Aided Language Learning, August 2021, Paris, France. (In Press)",2021,"Aparajita Dey-Plissonneau, Hyowon Lee, Michael Scriney, Alan F. Smeaton, Vincent Pradier, Hamza Riaz","Lee, Hyowon, ORCID: 0000-0001-7628-1441, Scriney, Michael, ORCID: 0000-0001-6813-2630, Smeaton, Alan F., ORCID: 0000-0001-6339-6194, Pradier, Vincent, ORCID: 0000-0002-7050-6408","Dey-Plissonneau, Aparajita, Riaz, Hamza",,,Conference or Workshop Item (Paper),Conference,Yes,,,conversation metrics; reflection; L2 learning; teletandem,Computer Science > Visualization. Humanities > French language. Humanities > Language. Humanities > Translating and interpreting. Humanities > Video recordings. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Applied Language and Intercultural Studies. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26470,17 Nov 2021 12:41 by  Alan Smeaton. Last Modified 17 Nov 2021 12:46,"CALL and professionalisation: short papers from EUROCALL 2021"" edited by Naouel Zoghlami, Cédric Brudermann, Cedric Sarré, Muriel Grosbois, Linda Bradley, and Sylvie Thouësny..",,,© 2021 The Authors,Science Foundation Ireland,alan.smeaton@dcu.ie,,
Michael Scriney,A methodology for validating diversity in synthetic time series generation.,"Bahrpeyma, Fouad, Roantree, Mark, Cappellari, Paolo, Scriney, Michael, McCarren, Andrew",MethodsX ,2021,"Fouad Bahrpeyma, Mark Roantree, Paolo Cappellari, Michael Scriney, Andrew McCarren","Bahrpeyma, Fouad, ORCID: 0000-0002-5128-4774, Roantree, Mark, ORCID: 0000-0002-1329-2570, Scriney, Michael, ORCID: 0000-0001-6813-2630, McCarren, Andrew, ORCID: 0000-0002-7297-0984","Cappellari, Paolo",,2215-0161,Article (Published),,Yes,,,"Time series; Forecasting; Time Series Prediction; Diversity, Synthetic time series",Computer Science > Algorithms. Computer Science > Artificial intelligence. Computer Science > Computer simulation. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,26085,03 Aug 2021 16:01 by  Fouad Bahrpeyma. Last Modified 03 Aug 2021 16:01,,Elsevier,https://dx.doi.org/10.1016/j.mex.2021.101459,© 2021 The Authors. Open Access (CC-BY-4.0),"Science Foundation Ireland under grant number SFI/12/RC/2289, Science Foundation Ireland (SFI) and the Department of Agriculture, Food and Marine on behalf of the Government of Ireland under Grant Number 16/RC/3835.",Article number: 101459,,
Michael Scriney,Identification of movement categories and associated velocity thresholds for elite Gaelic football and hurling referees.,"Brady, Aidan J., Scriney, Michael, Moyna, Niall, McCarren, Andrew",International Journal of Performance Analysis in Sport ,2021,"Aidan J. Brady, Michael Scriney, Niall Moyna, Andrew McCarren","Brady, Aidan J., ORCID: 0000-0002-9427-5771, Scriney, Michael, ORCID: 0000-0001-6813-2630, Moyna, Niall, ORCID: 0000-0003-1061-8528, McCarren, Andrew, ORCID: 0000-0002-7297-0984",,,2474-8668,Article (Published),,Yes,,,GPS; data mining; zones; unsupervised learning; activity profile; team sport,Computer Science > Machine learning. Medical Sciences > Performance. Medical Sciences > Physiology. Medical Sciences > Sports sciences. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26324,12 Nov 2021 13:58 by  Aidan Brady. Last Modified 12 Nov 2021 13:58,,Routledge (Taylor & Francis),https://doi.org/10.1080/24748668.2021.1942659,© 2021 Taylor & Francis,Irish Research Council [EPSPG/2017/338],,,
Michael Scriney,Attention based video summaries of live online zoom classes.,"Lee, Hyowon, Liu, Mingming, Riaz, Hamza, Rajasekaran, Navaneethan, Scriney, Michael, Smeaton, Alan F.","AAAI-2021 Workshop on AI Education: ""Imagining Post-COVID Education with AI"" (TIPCE-2021)., 9 Feb 2021, Online (Vancouver, Canada). (In Press)",2021,"Hyowon Lee, Mingming Liu, Hamza Riaz, Navaneethan Rajasekaran, Michael Scriney, Alan F. Smeaton","Lee, Hyowon, ORCID: 0000-0003-4395-7702, Liu, Mingming, ORCID: 0000-0002-8988-2104, Scriney, Michael, ORCID: 0000-0001-6813-2630, Smeaton, Alan F., ORCID: 0000-0003-1028-8389","Riaz, Hamza, Rajasekaran, Navaneethan",,,Conference or Workshop Item (Paper),Workshop,Yes,,,Educational analytics; video summarisation,Computer Science > Artificial intelligence. Computer Science > Multimedia systems. Social Sciences > Educational technology. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25395,18 Jan 2021 12:17 by  Alan Smeaton. Last Modified 25 Mar 2021 16:32,"TIPCE-2021, Proceedings..",,https://drive.google.com/file/d/1lzeS3Z0YWGsCG-F-7rX_flzC9Q89afq5/view,© 2021 The Authors,"Science Foundation Ireland under Grant Number SFI/12/RC/2289 P2, co-funded by the European Regional Development Fund, Google Cloud COVID19 Credits Program",,,
Michael Scriney,Supporting an effective review of telecollaboration for second language learning by visualising the participation and engagement at Dublin City University.,"Lee, Hyowon, Scriney, Michael, Dey-Plissonneau, Aparajita, Smeaton, Alan","Virtual Exchange in Higher Education: Charting the Irish Experience, 17 Sept 2021, Online vs MS Teams.",2021,"Hyowon Lee, Michael Scriney, Aparajita Dey-Plissonneau, Alan Smeaton","Lee, Hyowon, ORCID: 0000-0003-4395-7702, Scriney, Michael, ORCID: 0000-0001-6813-2630, Smeaton, Alan, ORCID: 0000-0003-1028-8389","Dey-Plissonneau, Aparajita",,,Conference or Workshop Item (Speech),Conference,Yes,,,Telecollaboration; language learning; self-review; participation rate visualisation; data analytics,Computer Science > Information retrieval. Computer Science > Interactive computer systems. Computer Science > Multimedia systems. Computer Science > Visualization. Computer Science > World Wide Web. Computer Science > Digital video. Humanities > Language. Humanities > Video recordings. Social Sciences > Education. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Humanities and Social Science > School of Applied Language and Intercultural Studies. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26275,20 Sep 2021 10:23 by  Hyowon Lee. Last Modified 23 Sep 2021 12:34,,,,© 2021 The Authors,Insight Centre for Data Analytics,,,
Michael Scriney,Identifying extra-terrestrial intelligence using machine learning.,"Gutowska, Małgorzata, Scriney, Michael, McCarren, Andrew","27th AIAI Irish Conference on Artificial Intelligence and Cognitive Science, 5 - 6 Dec 2019, Galway, Ireland.",2020,"Małgorzata Gutowska, Michael Scriney, Andrew McCarren","Scriney, Michael, ORCID: 0000-0001-6813-2630, McCarren, Andrew, ORCID: 0000-0002-7297-0984","Gutowska, Małgorzata",,,Conference or Workshop Item (Paper),Conference,Yes,,,Convolutional Neural Network; Image Processing; Spectrograms,Computer Science > Image processing. Computer Science > Machine learning. Physical Sciences > Astronomy. Physical Sciences > Spectrum analysis. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,24020,07 Oct 2020 12:43 by  Malgorzata Gutowska. Last Modified 07 Oct 2020 12:43,Proceedings for the 27th AIAI Irish Conference on Artificial Intelligence and Cognitive Science.2563.  CEUR-WS.,CEUR-WS,http://ceur-ws.org/Vol-2563/aics_28.pdf,© 2019 The Authors. CC-BY 4.0,,,,
Michael Scriney,Representative sample extraction from web data streams.,"Scriney, Michael, Xing, Congcong, McCarren, Andrew, Roantree, Mark","Database and Expert Systems Applications - 30th International Conference, DEXA 2019 {I}, 26-29 Aug 2019, Linz, Austria",2019,"Michael Scriney, Congcong Xing, Andrew McCarren, Mark Roantree","Scriney, Michael, ORCID: 0000-0001-6813-2630, McCarren, Andrew, ORCID: 0000-0002-7297-0984","Xing, Congcong, Roantree, Mark",978-3-030-27614-0,,Conference or Workshop Item (Paper),Conference,Yes,,,Data Warehousing; Data Mining; Data Analytics; ETL; Web Data,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23659,23 Aug 2019 09:22 by  Michael Scriney. Last Modified 23 Aug 2019 09:22,"Database and Expert Systems Applications - 30th International Conference, DEXA 2019, Proceedings, Part I. Lecture Notes in Computer Science11706.  Springer. ISBN 978-3-030-27614-0",Springer,https://doi.org/10.1007/978-3-030-27615-7_26,© 2019 Springer,"Science Foundation Ireland (SFI) and the Department of Agriculture, Food and Marine on behalf of the Government of Ireland under Grant Number 16/RC/3835",,,
Michael Scriney,Constructing data marts from web sources using a graph common model.,"Scriney, Michael","PhD thesis, Dublin City University.",2018,Michael Scriney,"Scriney, Michael, ORCID: 0000-0001-6813-2630",,,,Thesis (PhD),,No,November 2018,"Roantree, Mark",Data Analytics; Data Warehousing; Data Integration; ETL,Computer Science > Software engineering,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-No Derivative Works 3.0 License. View License,22387,21 Nov 2018 10:08 by  Michael John Scriney. Last Modified 23 Aug 2019 08:57,,,,,This work is supported by Science Foundation Ireland under grant number [SFI/12/RC/2289],,,
