Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Paul M. Clarke,An auction-based serious game for bug tracking.,"Üsfekes, Çağdaş, Tüzün, Eray, Yilmaz, Murat, Macit, Yagup, Clarke, Paul","IET Software, 13 (5). pp. 386-392",2019,"Çağdaş Üsfekes, Eray Tüzün, Murat Yilmaz, Yagup Macit, Paul Clarke","Tüzün, Eray, ORCID: 0000-0002-5550-7816, Yilmaz, Murat, ORCID: 0000-0002-2446-3224, Clarke, Paul, ORCID: 0000-0002-4487-627X","Üsfekes, Çağdaş, Macit, Yagup",,1751-8814,Article (Published),,Yes,,,Monte Carlo methods; program debugging; software development management; computer games; software maintenance; public domain software; project management,Computer Science > Software engineering,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24034,19 Dec 2019 09:26 by  Thomas Murtagh. Last Modified 05 Feb 2020 11:35,,Institution of Engineering and Technology (IET),http://dx.doi.org/10.1049/iet-sen.2018.5144,© 2019 IET,Science Foundation Ireland grant 13/RC/2094,,,
Paul M. Clarke,"Applying blockchain to improve the integrity of
the software development process.","Yilmaz, Murat, Tasel, Serdar, Tüzün, Eray, Güleç, Ulaş, O'Connor, Rory, Clarke, Paul","26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019), 18-20 Sept 2019, Edinburgh, Scotland",2019,"Murat Yilmaz, Serdar Tasel, Eray Tüzün, Ulaş Güleç, Rory O'Connor, Paul Clarke","Yilmaz, Murat, ORCID: 0000-0002-2446-3224, Tasel, Serdar, ORCID: 0000-0002-6671-8993, Tüzün, Eray, ORCID: 0000-0002-5550-7816, Güleç, Ulaş, ORCID: 0000-0002-6084-3590, O'Connor, Rory, ORCID: 0000-0001-9253-0313, Clarke, Paul, ORCID: 0000-0002-4487-627X",,978-3-030-28004-8,,Conference or Workshop Item (Paper),Conference,Yes,,,Software Production; Blockchain; Software Development Integrity; Test-driven Software Development.,Computer Science > Software engineering,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23885,23 Oct 2019 09:54 by  Thomas Murtagh. Last Modified 30 Sep 2021 09:44,"Walker, Alastair and O'Connor, Rory and Messnarz, Richard, (eds.)Proceedings of the 26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019). Communications in Computer and Information Science1060.  Springer. ISBN 978-3-030-28004-8",Springer,http://dx.doi.org/10.1007/978-3-030-28005-5_20,© 2019 Springer,,,,
Paul M. Clarke,CENGO: a web-based serious game to increase the programming knowledge levels of computer engineering students.,"Güleç, Ulaş, Yilmaz, Murat, Yalcin, Alihan Dogus, O'Connor, Rory, Clarke, Paul","26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019), 18-20 Sept 2019, Edinburgh, Scotland",2019,"Ulaş Güleç, Murat Yilmaz, Alihan Dogus Yalcin, Rory O'Connor, Paul Clarke","Güleç, Ulaş, ORCID: 0000-0002-6084-3590, Yilmaz, Murat, ORCID: 0000-0002-2446-3224, O'Connor, Rory, ORCID: 0000-0001-9253-0313, Clarke, Paul, ORCID: 0000-0002-4487-627X","Yalcin, Alihan Dogus",978-3-030-28004-8,,Conference or Workshop Item (Paper),Conference,Yes,,,Serious games; continuous education; personal improvement,Computer Science > Computer engineering,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23884,22 Oct 2019 13:55 by  Thomas Murtagh. Last Modified 04 Feb 2020 13:21,"Walker, Alastair and O'Connor, Rory and Messnarz, Richard, (eds.)Proceedings of the 26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019). Communications in Computer and Information Science1060.  Springer. ISBN 978-3-030-28004-8",Springer,http://dx.doi.org/10.1007/978-3-030-28005-5_18,© 2019 Springer,,,,
Paul M. Clarke,Examining unequal gender distribution in software engineering.,"Murphy, Alex, Kelly, Ben, Bergmann, Kai, Khaletskyy, Kyrylo, O'Connor, Rory, Clarke, Paul","26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019), 18-20 Sept 2019, Edinburgh, Scotland",2019,"Alex Murphy, Ben Kelly, Kai Bergmann, Kyrylo Khaletskyy, Rory O'Connor, Paul Clarke","O'Connor, Rory, ORCID: 0000-0001-9253-0313, Clarke, Paul, ORCID: 0000-0002-4487-627X","Murphy, Alex, Kelly, Ben, Bergmann, Kai, Khaletskyy, Kyrylo",978-3-030-28004-8,,Conference or Workshop Item (Paper),Conference,Yes,,,Gender Distribution,Computer Science > Software engineering. Social Sciences > Gender. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23883,22 Oct 2019 13:49 by  Thomas Murtagh. Last Modified 26 Nov 2019 14:26,"Walker, Alastair and O'Connor, Rory and Messnarz, Richard, (eds.)Proceedings of the 26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019). Communications in Computer and Information Science1060.  Springer. ISBN 978-3-030-28004-8",Springer,http://dx.doi.org/10.1007/978-3-030-28005-5_51,© 2019 Springer,Science Foundation Ireland grant 13/RC/2094 to Lero - the Irish Software Research Centre (www.lero.ie).,,,
Paul M. Clarke,Software testing: a changing career.,"Cunningham, Sean, Gambo, Jemil, Lawless, Aidan, Moore, Declan, Yilmaz, Murat, Clarke, Paul, O'Connor, Rory","26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019), 18-20 Sept 2019, Edinburgh, Scotland",2019,"Sean Cunningham, Jemil Gambo, Aidan Lawless, Declan Moore, Murat Yilmaz, Paul Clarke, Rory O'Connor","Yilmaz, Murat, ORCID: 0000-0002-2446-3224, Clarke, Paul, ORCID: 0000-0002-4487-627X, O'Connor, Rory, ORCID: 0000-0001-9253-0313","Cunningham, Sean, Gambo, Jemil, Lawless, Aidan, Moore, Declan",978-3-030-28004-8,,Conference or Workshop Item (Paper),Conference,Yes,,,"software quality improvement; test drive development; continuous
development; software development lifecycle",Computer Science > Software engineering,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23873,22 Oct 2019 13:52 by  Thomas Murtagh. Last Modified 26 Nov 2019 14:26,"Walker, Alastair and O'Connor, Rory and Messnarz, Richard, (eds.)Proceedings of the 26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019). Communications in Computer and Information Science1060.  Springer. ISBN 978-3-030-28004-8",Springer,http://dx.doi.org/10.1007/978-3-030-28005-5_57,© 2019 Springer,Science Foundation Ireland grant 13/RC/2094 to Lero - the Irish Software Research Centre (www.lero.ie).,,,
Paul M. Clarke,The changing role of the software engineer.,"Meade, Edward, O’Keeffe, Emma, Lyons, Niall, Lynch, Dean, Yilmaz, Murat, Güleç, Ulaş, O'Connor, Rory, Clarke, Paul","26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019, 18-20 Sept 2019, Edinburgh, Scotland",2019,"Edward Meade, Emma O’Keeffe, Niall Lyons, Dean Lynch, Murat Yilmaz, Ulaş Güleç, Rory O'Connor, Paul Clarke","Yilmaz, Murat, ORCID: 0000-0002-2446-3224, O'Connor, Rory, ORCID: 0000-0001-9253-0313, Clarke, Paul, ORCID: 0000-0002-4487-627X","Meade, Edward, O’Keeffe, Emma, Lyons, Niall, Lynch, Dean, Güleç, Ulaş",978-3-030-28004-8,,Conference or Workshop Item (Paper),Conference,Yes,,,Software Engineer; Agile; Open Source Software; Continuous Software Engineering,Computer Science > Software engineering,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23882,22 Oct 2019 13:48 by  Thomas Murtagh. Last Modified 04 Feb 2020 13:22,"Walker, Alastair and O'Connor, Rory and Messnarz, Richard, (eds.)Proceedings of the 26th European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2019. Communications in Computer and Information Science1060.  Springer. ISBN 978-3-030-28004-8",Springer,http://dx.doi.org/10.1007/978-3-030-28005-5_53,© 2019 Springer,Science Foundation Ireland grant 13/RC/2094 to Lero - the Irish Software Research Centre (www.lero.ie).,,,
Paul M. Clarke,"An interactive 3D virtual environment to
reduce the public speaking anxiety levels
of novice software engineers.","Nazligul, Merve Denizci, Yilmaz, Murat, Güleç, Ulaş, Yılmaz, Adviye Esin, Isler, Veysi, O'Connor, Rory, Gozcu, M.A., Clarke, Paul","IET Control Theory and Applications, 13 (2). pp. 152-158",2019,"Merve Denizci Nazligul, Murat Yilmaz, Ulaş Güleç, Adviye Esin Yılmaz, Veysi Isler, Rory O'Connor, M.A. Gozcu, Paul Clarke","Yilmaz, Murat, ORCID: 0000-0002-2446-3224, O'Connor, Rory, ORCID: 0000-0001-9253-0313, Clarke, Paul, ORCID: 0000-0002-4487-627X","Nazligul, Merve Denizci, Güleç, Ulaş, Yılmaz, Adviye Esin, Isler, Veysi, Gozcu, M.A.",,1751-8644,Article (Published),,Yes,,,,Computer Science > Software engineering,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22589,27 Aug 2018 16:21 by  Thomas Murtagh. Last Modified 18 Dec 2019 12:16,,IET,http://doi.org/10.1049/iet-sen.2018.5140,© 2015 The Institution of Engineering and Technology,,This journal was previously known as IEE Proceedings - Control Theory and Applications 1994-2006. ISSN 1350-2379,,
Paul M. Clarke,An auction-based serious game for bug tracking.,"Üsfekes, Çağdaş, Tüzün, Eray, Yilmaz, Murat, Macit, Yagup, Clarke, Paul","IET Software, 13 (5). pp. 386-392",2019,"Çağdaş Üsfekes, Eray Tüzün, Murat Yilmaz, Yagup Macit, Paul Clarke","Tüzün, Eray, ORCID: 0000-0002-5550-7816, Yilmaz, Murat, ORCID: 0000-0002-2446-3224, Clarke, Paul, ORCID: 0000-0002-4487-627X","Üsfekes, Çağdaş, Macit, Yagup",,1751-8806,Article (Published),,Yes,,,,Computer Science > Software engineering,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23886,23 Oct 2019 11:23 by  Thomas Murtagh. Last Modified 19 Dec 2019 11:29,,Institution of Engineering and Technology (IET),http://dx.doi.org/10.1049/iet-sen.2018.5144,© 2019 Institution of Engineering and Technology (IET),Science Foundation Ireland grant 13/RC/2094.,,,
Paul M. Clarke,"In search of the origins and enduring impact of agile software
development.","Clarke, Paul, O'Connor, Rory, Yilmaz, Murat","2018 International Conference on Software and System Process ICSSP '18, 26-27 May 2018, Gothenburg, Sweden",2018,"Paul Clarke, Rory O'Connor, Murat Yilmaz","Clarke, Paul, ORCID: 0000-0002-4487-627X, O'Connor, Rory, ORCID: 0000-0001-9253-0313, Yilmaz, Murat, ORCID: 0000-0002-2446-3224",,978-1-4503-6459-1,,Conference or Workshop Item (Paper),Conference,Yes,,,Agile Software Development; Continuous Software Engineering,Computer Science > Software engineering,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22588,27 Aug 2018 15:43 by  Thomas Murtagh. Last Modified 23 Oct 2019 12:30,Proceedings of the 2018 International Conference on Software and System Process..  ACM. ISBN 978-1-4503-6459-1,ACM,https://doi.org/10.1049/iet-sen.2018.5140,© 2018 Association for Computing Machinery,,This journal was previously known as IEE Proceedings - Software,,
Paul M. Clarke,An ISO/IEC 12207 perspective on software development process adaptation.,"Marks, Gerard, O'Connor, Rory, Yilmaz, Murat, Clarke, Paul","Software Quality Professional, 20 (2). pp. 48-58",2018,"Gerard Marks, Rory O'Connor, Murat Yilmaz, Paul Clarke","O'Connor, Rory, ORCID: 0000-0001-9253-0313, Yilmaz, Murat, ORCID: 0000-0002-2446-3224, Clarke, Paul, ORCID: 0000-0002-4487-627X","Marks, Gerard",,1522-0540,Article (Published),,Yes,,,Software Development Process; Software Development Context; Agile; Lean; Process Selection,Computer Science > Software engineering,Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22261,03 Jul 2018 13:12 by  Rory O'connor. Last Modified 01 Mar 2020 04:30,,ASQ,,© 2018 ASQ,"Science Foundation Ireland grant 13/RC/2094 to Lero, the Irish Software Engineering Research Centre (www.lero.ie) and Enterprise Ireland grant CF20133605",,,
