Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Suzanne Little,Urban footpath image dataset to assess pedestrian mobility.,"Gurram Munirathnam, Venkatesh, Pereira, Bianca, Little, Suzanne","UrbanMM-21, 20–24 Oct 2021, Chengdu, China (Online)",2021,"Venkatesh Gurram Munirathnam, Bianca Pereira, Suzanne Little","Gurram Munirathnam, Venkatesh, ORCID: 0000-0002-4393-9267, Little, Suzanne, ORCID: 0000-0003-3281-3471","Pereira, Bianca",Press),,Conference or Workshop Item (Paper),Workshop,Yes,,,urban elements; convolution neural network; object detection; semantic segmentation; street-view analytics,Computer Science > Artificial intelligence. Computer Science > Image processing. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26261,26 Oct 2021 15:42 by  Venkatesh Gurram Munirathnam. Last Modified 26 Oct 2021 15:42,Proceedings of the 1st International Workshop on Multimedia Computing for Urban Data (UrbanMM ’21)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-8669-2/21/10,Association for Computing Machinery (ACM),https://dx.doi.org/10.1145/3475721.3484313,© 2021 The Owner/ Authors,"Science Foundation Ireland (SFI) under Grant Numbers SFI/12/RC/2289_P2, 16/SP/3804, European Regional Development Fund",,,
Suzanne Little,Extracting knowledge from deep neural networks through graph analysis.,"Horta, Vitor A.C., Tiddi, Ilaria, Little, Suzanne, Mileo, Alessandra","Future Generation Computer Systems, 120 . pp. 109-118",2021,"Vitor A.C. Horta, Ilaria Tiddi, Suzanne Little, Alessandra Mileo","Tiddi, Ilaria, ORCID: 0000-0001-7116-9338, Little, Suzanne, ORCID: 0000-0003-3281-3471, Mileo, Alessandra, ORCID: 0000-0002-6614-6462","Horta, Vitor A.C.",,0167-739X,Article (Published),,Yes,,,Explainable AI; Deep representation learning; Graph analysis,Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,25855,18 May 2021 13:02 by  Vitor Araujo Cautiero horta. Last Modified 18 May 2021 13:22,,Elsevier,https://dx.doi.org/10.1016/j.future.2021.02.009,© 2021 The Authors. Open Access. (CC-BY-4.0),,,,
Suzanne Little,"Dataset diversity: measuring and mitigating geographical bias
in image search and retrieval.","Mandal, Abhishek, Leavy, Susan, Little, Suzanne","1st International Workshop on Trustworthy AI for Multimedia Computing, 24 Oct 2021, Chengdu, China",2021,"Abhishek Mandal, Susan Leavy, Suzanne Little","Little, Suzanne, ORCID: 0000-0003-3281-3471","Mandal, Abhishek, Leavy, Susan",978-1-4503-8674-6,,Conference or Workshop Item (Paper),Workshop,Yes,,,"dataset bias; computer vision fairness; visual datasets; image search
and retrieval",Computer Science > Artificial intelligence. Computer Science > Information retrieval. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26268,22 Oct 2021 10:51 by  Abhishek Mandal. Last Modified 09 Nov 2021 16:22,Trustworthy AI'21: Proceedings of the 1st International Workshop on Trustworthy AI for Multimedia Computing..  Association for Computing Machinery (ACM). ISBN 978-1-4503-8674-6,Association for Computing Machinery (ACM),https://doi.org/10.1145/3475731.3484956,© 2021 The Author,"Science Foundation Ireland SFI/12/RC/2289_P2, cofunded by the European Regional Development Fund., <A+> Alliance / Women at the Table",,,
Suzanne Little,Utilising visual attention cues for vehicle detection and tracking.,"Hu, Feiyan, Gurram Munirathnam, Venkatesh, O'Connor, Noel E., Smeaton, Alan F., Little, Suzanne","25th International Conference on Pattern Recognition (ICPR2020), 10-15 Jan 2021, Milan, Italy (Online).",2021,"Feiyan Hu, Venkatesh Gurram Munirathnam, Noel E. O'Connor, Alan F. Smeaton, Suzanne Little","Hu, Feiyan, ORCID: 0000-0001-7451-6438, Gurram Munirathnam, Venkatesh, ORCID: 0000-0002-4393-9267, O'Connor, Noel E., ORCID: 0000-0002-4033-9135, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Little, Suzanne, ORCID: 0000-0003-3281-3471",,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Image processing. Computer Science > Information technology. Computer Science > Machine learning. Computer Science > Multimedia systems. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,25181,11 Jan 2021 11:57 by  Feiyan Hu. Last Modified 05 Aug 2021 10:27,"25th International Conference on Pattern Recognition, Proceedings..  Institute of Electrical and Electronics Engineers (IEEE).",Institute of Electrical and Electronics Engineers (IEEE),https://www.micc.unifi.it/icpr2020/index.php/conference-proceedings/,© 2020 The Authors,Science Foundation Ireland grant numbers SFI/12/RC/2289 P2 and SFI/16/SP/3804.,,,
Suzanne Little,ECIR 2020 workshops: assessing the impact of going online.,"Nunes, Sérgio, Little, Suzanne, Bhatia, Sumit, Boratto, Ludovico, Cabanac, Guillaume, Campos, Ricardo, Couto, Francisco M., Faralli, Stefano, Frommholz, Ingo, Jatowt, Adam, Jorge, Alipio, Marras, Mirko, Mayr, Philipp, Stilo, Giovanni",ACM SIGIR Workshops.,2020,"Sérgio Nunes, Suzanne Little, Sumit Bhatia, Ludovico Boratto, Guillaume Cabanac, Ricardo Campos, Francisco M. Couto, Stefano Faralli, Ingo Frommholz, Adam Jatowt, Alipio Jorge, Mirko Marras, Philipp Mayr, Giovanni Stilo","Nunes, Sérgio, ORCID: 0000-0002-2693-988X, Little, Suzanne, ORCID: 0000-0003-3281-3471","Bhatia, Sumit, Boratto, Ludovico, Cabanac, Guillaume, Campos, Ricardo, Couto, Francisco M., Faralli, Stefano, Frommholz, Ingo, Jatowt, Adam, Jorge, Alipio, Marras, Mirko, Mayr, Philipp, Stilo, Giovanni",,,Conference or Workshop Item (Paper),Workshop,No,,,,Computer Science > Information retrieval,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24662,23 Jun 2020 11:22 by  Suzanne Little. Last Modified 23 Jun 2020 11:22,,Association for Computing Machinery (ACM),,© 2020 The Authors,,,,
Suzanne Little,Multiple path prediction for traffic scenes using LSTMs and mixture density models.,"Fernandez, Jaime B., Little, Suzanne, O'Connor, Noel E.","6th International Conference on Vehicle Technology and Intelligent Transport Systems (VEHITS), 2-4 May 2020, Prague, Czech Republic (Virtual)",2020,"Jaime B. Fernandez, Suzanne Little, Noel E. O'Connor","Fernandez, Jaime B., ORCID: 0000-0001-9774-3879, Little, Suzanne, ORCID: 0000-0003-3281-3471, O'Connor, Noel E., ORCID: 0000-0002-4033-9135",,Press),,Conference or Workshop Item (Paper),Conference,Yes,,,"Multiple Path Prediction; Traffic Scenes; LSTMs, MDNs; Time Series",Computer Science > Artificial intelligence. Computer Science > Machine learning. Computer Science > Visualization. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24257,06 May 2020 17:01 by  Jaime Boanerjes Fernandez Roblero. Last Modified 25 Jun 2020 15:40,"6th International Conference on Vehicle Technology and Intelligent Transport Systems (VEHITS), Proceedings.1.  Scitepress. ISBN 978-989-758-419-0",Scitepress,http://dx.doi.org/10.5220/0009412204810488,© 2020 The Authors,"EU H2020 Project VI-DAS under grant number 690772, SFI Insight Centre for Data Analytics, grant number SFI/12/RC/2289, GPU GeForce GTX 980 used for this research was donated by the NVIDIA Corporation",,,
Suzanne Little,Object polygonization in traffic scenes using small Eigenvalue analysis.,"Y. G., Naresh, Gurram Munirathnam, Venkatesh, O'Connor, Noel E., Little, Suzanne","Irish Machine Vision and Image processing (IMVIP 2020) conference, 31 Aug - 2 Sept 2020, Sligo, Ireland (Online)",2020,"Naresh Y. G., Venkatesh Gurram Munirathnam, Noel E. O'Connor, Suzanne Little","Gurram Munirathnam, Venkatesh, ORCID: 0000-0002-4393-9267, O'Connor, Noel E., ORCID: 0000-0002-4033-9135, Little, Suzanne, ORCID: 0000-0003-3281-3471","Y. G., Naresh",Press),,Conference or Workshop Item (Paper),Conference,Yes,,,Dominant Point; Shape Representation; Shape polygonization; Small Eigenvalue,Computer Science > Image processing. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24881,31 Aug 2020 11:50 by  Venkatesh Gurram Munirathnam. Last Modified 25 Jan 2021 14:39,IMVIP2020 Proceedings..  Irish Pattern Recognition & Classification Society. ISBN 978-0-9934207-5-7,Irish Pattern Recognition & Classification Society,https://drive.google.com/file/d/1IkSjw5D5Tc8FIpMwo6yVdo_X6QN8BwM8/view,© 2020 The Authors,European Research Council (ERC) under the European Union’s Hori-zon 2020 research and innovation programme (grant agreement number 688099) projectC l oud−LSV Aandfrom Science Foundation Ireland under grant numberSF I/16/SP/3804.,pp 77- 84,,
Suzanne Little,A single-shot approach using an LSTM for moving object path prediction.,"Fernandez, Jaime B., Little, Suzanne, O'Connor, Noel E.","Ninth International Conference on Image Processing Theory, Tools and Applications (IPTA), 6-9 Nov 2019, Istanbul, Turkey",2019,"Jaime B. Fernandez, Suzanne Little, Noel E. O'Connor","Little, Suzanne, ORCID: 0000-0003-3281-3471, O'Connor, Noel E., ORCID: 0000-0002-4033-9135","Fernandez, Jaime B.",978-1-7281-3975-3,,Conference or Workshop Item (Paper),Conference,Yes,,,Path prediction; traffic scenes; LSTM; time series,Computer Science > Artificial intelligence. Computer Science > Image processing. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24158,21 Jan 2020 11:25 by  Jaime Boanerjes Fernandez Roblero. Last Modified 19 Oct 2020 11:47,"Ninth International Conference on Image Processing Theory, Tools and Applications (IPTA), Proceedings..  IEEE. ISBN 978-1-7281-3975-3",IEEE,http://dx.doi.org/10.1109/IPTA.2019.8936126,© 2019 IEEE,"EU H2020 Project VI-DAS under grant number 690772, Insight Centre for Data Analytics funded by SFI, grant number SFI/12/RC/2289",,,
Suzanne Little,Saliency guided 2D-object annotation for instrumented vehicles.,"Gurram Munirathnam, Venkatesh, Hu, Feiyan, O'Connor, Noel E., Smeaton, Alan F., Yang, Zhen, Little, Suzanne","2019 International Conference on Content-Based Multimedia Indexing (CBMI 2019), 4 - 6 Sept 2019, Dublin, Ireland",2019,"Venkatesh Gurram Munirathnam, Feiyan Hu, Noel E. O'Connor, Alan F. Smeaton, Zhen Yang, Suzanne Little","Gurram Munirathnam, Venkatesh, ORCID: 0000-0002-4393-9267, Hu, Feiyan, ORCID: 0000-0001-7451-6438, O'Connor, Noel E., ORCID: 0000-0002-4033-9135, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Little, Suzanne, ORCID: 0000-0003-3281-3471","Yang, Zhen",978-1-7281-4673-7,,Conference or Workshop Item (Paper),Conference,Yes,,,deep learning; visual saliency; object detection; data annotation; autonomous vehicles,Computer Science > Algorithms. Computer Science > Artificial intelligence. Computer Science > Image processing. Computer Science > Machine learning. Computer Science > Multimedia systems. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23595,24 Jul 2019 15:45 by  Feiyan Hu. Last Modified 25 Jan 2021 14:38,2019 International Conference on Content-Based Multimedia Indexing..  IEEE. ISBN 978-1-7281-4673-7,IEEE,http://dx.doi.org/10.1109/CBMI.2019.8877460,©2019 IEEE,"Huawei HIRP, The Insight Centre for Data Analytics is supported by Science Foundation Ireland under Grant Number SFI/12/RC/2289",,,
Suzanne Little,"Semi-automatic multi-object video annotation based on tracking, prediction and semantic segmentation.","Fernandez, Jaime B., Gurram Munirathnam, Venkatesh, Zhang, Dian, Little, Suzanne, O'Connor, Noel E.","International Conference on Content-Based Multimedia Indexing (CBMI 2019), 4–6 Sept 2019, Dublin, Ireland",2019,"Jaime B. Fernandez, Venkatesh Gurram Munirathnam, Dian Zhang, Suzanne Little, Noel E. O'Connor","Gurram Munirathnam, Venkatesh, ORCID: 0000-0002-4393-9267, Zhang, Dian, ORCID: 0000-0001-5659-5865, Little, Suzanne, ORCID: 0000-0003-3281-3471, O'Connor, Noel E., ORCID: 0000-0002-4033-9135","Fernandez, Jaime B.",978-1-7281-4673-7,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Image processing. Computer Science > Information retrieval. Computer Science > Interactive computer systems. Computer Science > Machine learning. Computer Science > Information storage and retrieval systems. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23727,23 Sep 2019 12:21 by  Jaime Boanerjes Fernandez Roblero. Last Modified 25 Jan 2021 14:38,"2019 International Conference on Content-Based Multimedia Indexing (CBMI), Proceedings..  Institute of Electrical and Electronics Engineers. ISBN 978-1-7281-4673-7",Institute of Electrical and Electronics Engineers,http://dx.doi.org/10.1109/CBMI.2019.8877450,©2019 IEEE,"EU H2020 Project VI-DAS under grant number 690772, Insight Centre for Data Analytics funded by SFI, grant number SFI/12/RC/2289.",,,
