Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Tomas Ward,"Predicting medication adherence using ensemble learning and deep
learning models with large scale healthcare data.","Gu, Yingqi, Zalkikar, Akshay, Liu, Mingming, Kelly, Lara, Hall, Amy, Daly, Kieran, Ward, Tomás E.","Scientific Reports, 11 ",2021,"Yingqi Gu, Akshay Zalkikar, Mingming Liu, Lara Kelly, Amy Hall, Kieran Daly, Tomás E. Ward","Gu, Yingqi, ORCID: 0000-0001-5807-6102, Liu, Mingming, ORCID: 0000-0002-8988-2104, Ward, Tomás E., ORCID: 0000-0002-6173-6607","Zalkikar, Akshay, Kelly, Lara, Hall, Amy, Daly, Kieran",,2045-2322,Article (Published),,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Machine learning. Engineering > Electronic engineering. Medical Sciences > Health. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,26297,27 Sep 2021 11:40 by  Mingming Liu. Last Modified 27 Sep 2021 11:40,,Nature Research,https://dx.doi.org/10.1038/s41598-021-98387-w,© 2021 The Authors. Open Access (CC-BY-4.0),"Science Foundation Ireland SFI/12/RC/2289 P2, Enterprise Ireland IP 2018 0764",Article number: 18961,,
Tomas Ward,Predicting media memorability using ensemble models.,"Azcona, David, Moreu, Enric, Hu, Feiyan, Ward, Tomás E., Smeaton, Alan F.","MediaEval 2019, 27 - 29 Oct 2019, Sophia Antipolis, France.",2020,"David Azcona, Enric Moreu, Feiyan Hu, Tomás E. Ward, Alan F. Smeaton","Azcona, David, ORCID: 0000-0003-3693-7906, Hu, Feiyan, ORCID: 0000-0001-7451-6438, Ward, Tomás E., ORCID: 0000-0002-6173-6607, Smeaton, Alan F., ORCID: 0000-0003-1028-8389","Moreu, Enric",,,Conference or Workshop Item (Paper),Workshop,No,,,,Computer Science > Machine learning,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23833,25 Oct 2019 11:54 by  David Azcona. Last Modified 23 Sep 2020 10:38,Proceedings of MediaEval 2019..  CEUR Workshop Proceedings.,CEUR Workshop Proceedings,http://ceur-ws.org/Vol-2670/,© 2019 The Authors. CC-BY-4.0,Science Foundation Ireland SFI/12/RC/2289,,,
Tomas Ward,Synthetic-Neuroscore: using a neuro-AI interface for evaluating generative adversarial networks.,"Wang, Zhengwei, She, Qi, Smeaton, Alan F., Ward, Tomás E., Healy, Graham","Neurocomputing, 405 . pp. 26-36",2020,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomás E. Ward, Graham Healy","Wang, Zhengwei, ORCID: 0000-0001-7706-553X, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Ward, Tomás E., ORCID: 0000-0002-6173-6607, Healy, Graham, ORCID: 0000-0001-6429-6339","She, Qi",,0925-2312,Article (Published),,Yes,,,Neuroscore; Generative adversarial networks; Neuro-AI interface; Brain-computer interface,Biological Sciences > Neuroscience. Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24650,18 Jun 2020 15:31 by  Graham Healy. Last Modified 18 Jun 2020 15:31,,Elsevier,http://dx.doi.org/10.1016/j.neucom.2020.04.069,© 2020 Elsevier,This work is funded as part of the Insight Centre for Data Analytics which is supported by Science Foundation Ireland under Grant Number SFI/12/RC/2289.,,,
Tomas Ward,Nested similarity in matrix theory.,"de Paor, Annraoi, Ward, Tomás E.","Mathematical Proceedings of the Royal Irish Academy, 120A (1). pp. 19-24.",2020,"Annraoi de Paor, Tomás E. Ward","Ward, Tomás E., ORCID: 0000-0002-6173-6607","de Paor, Annraoi",,,Article (Published),,Yes,,,,Mathematics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25326,07 Jan 2021 15:45 by  Tomas Ward. Last Modified 17 Jun 2021 12:55,,Royal Irish Academy,http://dx.doi.org/10.3318/pria.2020.120.03,© 2020 Royal Irish Academy,AIB,,,
Tomas Ward,Experiences and insights from the collection of a novel multimedia EEG dataset.,"Healy, Graham, Wang, Zhengwei, Ward, Tomás E., Smeaton, Alan F., Gurrin, Cathal","26th International Conference on Multimedia Modeling (MMM2020), 5-8 Jan 2020, Daejeon, Korea (Republic of)",2019,"Graham Healy, Zhengwei Wang, Tomás E. Ward, Alan F. Smeaton, Cathal Gurrin","Healy, Graham, ORCID: 0000-0001-6429-6339, Wang, Zhengwei, ORCID: 0000-0001-7706-553X, Ward, Tomás E., ORCID: 0000-0002-6173-6607, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Gurrin, Cathal, ORCID: 0000-0003-2903-3968",,978-3-030-37733-5,,Conference or Workshop Item (Paper),Conference,Yes,,,Brain-computer Interface; Electroencephalography; RSVP,Biological Sciences > Neuroscience. Computer Science > Information retrieval. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24649,18 Jun 2020 15:44 by  Graham Healy. Last Modified 18 Jun 2020 15:44,"26th International Conference, MMM 2020, Proceedings, Part II. Lecture Notes in Computer Science11962.  Springer, Cham. ISBN 978-3-030-37733-5","Springer, Cham",http://dx.doi.org/10.1007/978-3-030-37734-2_39,© 2020 Springer,"Insight Centre for Data Analytics (which is supported by Science Foundation Ireland under Grant Number SFI/12/RC/2289), Dublin City University’s Research Committee",,,
Tomas Ward,A machine learning approach towards detecting dementia based on its modifiable risk factors.,"Bin-Hezam, Reem, Ward, Tomás E.","International Journal of Advanced Computer Science and Applications, 10 (8)",2019,"Reem Bin-Hezam, Tomás E. Ward","Ward, Tomás E., ORCID: 0000-0002-6173-6607","Bin-Hezam, Reem",,2158-107X,Article (Published),,Yes,,,classification; dementia; modifiable risk factors,Computer Science > Machine learning,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,23650,20 Aug 2019 09:00 by  Tomas Ward. Last Modified 12 Sep 2019 13:30,,Science and Information Organization,,© 2019 SAI Organization. CC 4.0 International,"Alzheimer's Disease Neuroimaging Initiative (ADNI) (National Institutes of Health Grant U01 AG024904) ADNI is funded by the National Institute on Aging, the National Institute of Biomedical Imaging and Bioengineering, DOD ADNI (Department of Defense (USA) award number W81XWH-12-2-0012)",,,
Tomas Ward,Detection of chronic kidney disease using machine learning algorithms with least number of predictors.,"Almasoud, Marwa, Ward, Tomás E.","International Journal of Soft Computing and Its Applications, 10 (8)",2019,"Marwa Almasoud, Tomás E. Ward","Ward, Tomás E., ORCID: 0000-0002-6173-6607","Almasoud, Marwa",,2074-8523,Article (Published),,Yes,,,Chronic Kidney Disease (CKD); Random Forest (RF); Gradient Boosting (GB); Logistic Regression (LR); Support Vector Machines (SVM); prediction,Computer Science > Machine learning,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23782,30 Sep 2019 13:46 by  Tomas Ward. Last Modified 23 Oct 2019 14:10,,International Center for Scientific Research and Studies,http://dx.doi.org/10.14569/IJACSA.2019.0100813,"© 2019  Creative Commons Attribution 4.0 International License, which permits unrestricted use, distribution, and reproduction in any medium, even commercially as long as the original work is properly cited.","Science Foundation Ireland (SFI) under Grant Number SFI/12/RC/2289_P2, co-funded by the European Regional Development Fund",,,
Tomas Ward,Use of neural signals to evaluate the quality of generative adversarial network performance in facial image generation.,"Wang, Zhengwei, Healy, Graham, Smeaton, Alan F., Ward, Tomás E.","Cognitive Computation, 12 (1). pp. 13-24",2019,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomás E. Ward","Wang, Zhengwei, ORCID: 0000-0001-7706-553X, Healy, Graham, ORCID: 0000-0001-6429-6339, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Ward, Tomás E., ORCID: 0000-0002-6173-6607",,,1866-9964,Article (Published),,Yes,,,Generative adversarial networks; Rapid serial visual presentation; Neuroscore;  Brain-computer interface;  Neuro-AI interface,Biological Sciences > Neuroscience. Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24648,18 Jun 2020 15:42 by  Graham Healy. Last Modified 18 Jun 2020 15:42,,Springer Nature,http://dx.doi.org/10.1007/s12559-019-09670-y,© 2019 Springer Nature,Insight Centre for Data Analytics which is supported by Science Foundation Ireland under Grant Number SFI/12/RC/2289,,,
Tomas Ward,Spatial filtering pipeline evaluation of cortically coupled computer vision system for rapid serial visual presentation.,"Wang, Zhengwei, Healy, Graham, Smeaton, Alan F., Ward, Tomás E.","Brain-Computer Interfaces, 6 (4). pp. 132-145",2019,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomás E. Ward","Wang, Zhengwei, ORCID: 0000-0001-7706-553X, Healy, Graham, ORCID: 0000-0001-6429-6339, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Ward, Tomás E., ORCID: 0000-0002-6173-6607",,,2326-263X,Article (Published),,Yes,,,"Rapid serial visual presentation (RSVP); cortically coupled computer vision;
electroencephalography (EEG);event-related potentials (ERPs); spatial filtering",Biological Sciences > Neuroscience. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22943,15 Feb 2019 13:12 by  Zhengwei Wang. Last Modified 09 Jan 2020 04:30,,Taylor & Francis Online,https://doi.org/10.1080/2326263X.2019.1568821,© 2019 Taylor & Francis Online,Science Foundation Ireland under grant number SFI/12/RC/2289,,,
Tomas Ward,An interpretable machine vision approach to human activity recognition using photoplethysmograph sensor data.,"Brophy, Eoin, Wang, Zhengwei, Dominguez Veiga, José Juan, Smeaton, Alan F., Ward, Tomás E.","Irish Conference on Artificial Intelligence and Cognitive Science (AICS 2018), 6 -7 Dec 2018, Dublin, Ireland.",2018,"Eoin Brophy, Zhengwei Wang, José Juan Dominguez Veiga, Alan F. Smeaton, Tomás E. Ward","Brophy, Eoin, ORCID: 0000-0002-6486-5746, Wang, Zhengwei, ORCID: 0000-0001-7706-553X, Dominguez Veiga, José Juan, ORCID: 0000-0002-6634-9606, Smeaton, Alan F., ORCID: 0000-0003-1028-8389, Ward, Tomás E., ORCID: 0000-0002-6173-6607",,,,Conference or Workshop Item (Paper),Conference,Yes,,,deep learning; activity recognition; explainable artificial intelligence,Computer Science > Artificial intelligence. Computer Science > Machine learning. Computer Science > Visualization. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22807,03 Dec 2018 16:26 by  Eoin Brophy. Last Modified 23 Jun 2020 15:35,"Brennan, Rob and Beel, Joeran and Byrne, Ruth and Debattista, Jeremy and Crotti Junior, Ademar, (eds.)Proceedings for the 26th AIAI Irish Conference on Artificial Intelligence and Cognitive Science.2259.  CEUR -WS.",CEUR -WS,http://ceur-ws.org/Vol-2259/aics_22.pdf,© 2018 The Authors,Science Foundation Ireland under grant number SFI/12/RC/2289 and by SAP SE,,,
