Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Yvette Graham,Memento: a prototype lifelog search engine for LSC’21.,"Alam, Naushad, Graham, Yvette, Gurrin, Cathal","The fourth Lifelog Search Challenge (LSC 21), 19th Nov 2021, Taipei, Taiwan (Online)",2021,"Naushad Alam, Yvette Graham, Cathal Gurrin","Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Alam, Naushad, Graham, Yvette",978-1-4503-8533-6,,Conference or Workshop Item (Paper),Workshop,Yes,,,semantic image representation,Computer Science > Information retrieval. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,26463,15 Nov 2021 12:45 by  Naushad Alam. Last Modified 17 Nov 2021 11:33,LSC '21: Proceedings of the 4th Annual on Lifelog Search Challenge..  Association for Computing Machinery (ACM). ISBN 978-1-4503-8533-6,Association for Computing Machinery (ACM),https://doi.org/10.1145/3463948.3469069,©2021 The Authors. Open access (CC-BY-4.0),"y Science Foundation Ireland (SFI) under Grant Number SFI/12/RC/2289_P2, co-funded by the European Regional Development Fund.",,,
Yvette Graham,Improving document-level sentiment analysis with user and product context.,"Lyu, Chenyang, Foster, Jennifer, Graham, Yvette","Proceedings of the 28th International Conference on Computational Linguistics, 8-13 Dec 20, Barcelona, Spain (Online).",2020,"Chenyang Lyu, Jennifer Foster, Yvette Graham","Foster, Jennifer, ORCID: 0000-0002-7789-4853","Lyu, Chenyang, Graham, Yvette",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computational linguistics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,,25959,03 Jun 2021 10:45 by  Jennifer Foster. Last Modified 03 Jun 2021 10:47,Proceedings of the 28th International Conference on Computational Linguistics..  International Committee on Computational Linguistics (ICCL).,International Committee on Computational Linguistics (ICCL),https://dx.doi.org/10.18653/v1/2020.coling-main.590,© 2020 The Authors. (CC-BY-4.0),Science Foundation Ireland (SFI) Centre for Research Training in Machine Learning (18/CRT/6183),,,
Yvette Graham,"Trecvid 2019: an evaluation campaign to benchmark video activity detection, video captioning and matching, and video search & retrieval.","Awad, George M., Butt, Asad A., Lee, Yooyoung, Fiscus, Jonathan, Godil, Afzal, Delgado, Andrew, Smeaton, Alan F., Graham, Yvette","TREC Video Retrieval Evaluation (TRECVID 2019), 12 - 13 Nov 2019, Gaithersburg, MD, USA.",2019,"George M. Awad, Asad A. Butt, Yooyoung Lee, Jonathan Fiscus, Afzal Godil, Andrew Delgado, Alan F. Smeaton, Yvette Graham","Smeaton, Alan F., ORCID: 0000-0003-1028-8389","Awad, George M., Butt, Asad A., Lee, Yooyoung, Fiscus, Jonathan, Godil, Afzal, Delgado, Andrew, Graham, Yvette",,,Conference or Workshop Item (Paper),Conference,Yes,,,,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24160,22 Jan 2020 12:50 by  Vidatum Academic. Last Modified 13 Aug 2020 15:53,Proceedings of TRECVID..,,,© 2019 the Authors,,,,
Yvette Graham,The second multilingual surface realisation shared task (SR'19): Overview and evaluation results.,"Mille, Simon, Anja, Belz, Bohnet, Bernd, Graham, Yvette, Wanner, Leo","2nd Workshop on Multilingual Surface Realisation (MSR 2019), 3 Nov 2019, Hong Kong, China.",2019,"Simon Mille, Belz Anja, Bernd Bohnet, Yvette Graham, Leo Wanner","Mille, Simon, ORCID: 0000-0002-8852-2764, Wanner, Leo, ORCID: 0000-0002-9446-3748","Anja, Belz, Bohnet, Bernd, Graham, Yvette",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24159,22 Jan 2020 10:44 by  Vidatum Academic. Last Modified 12 Aug 2020 17:24,Proceedings of the 2nd Workshop on Multilingual Surface Realisation (MSR 2019)..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),http://dx.doi.org/10.18653/v1/D19-6301,© 2019 Association for Computational Linguistics,,,,
Yvette Graham,Findings of the 2019 Conference on Machine Translation (WMT19).,"Barrault, Loïc, Bojar, Ondřej, Costa-Jussà, Marta R., Federmann, Christian, Fishel, Mark, Graham, Yvette","Fourth Conference on Machine Translation, 1-2 Aug 2019, Florence, Italy.",2019,"Loïc Barrault, Ondřej Bojar, Marta R. Costa-Jussà, Christian Federmann, Mark Fishel, Yvette Graham","Barrault, Loïc, ORCID: 0000-0002-0634-6147, Bojar, Ondřej, ORCID: 0000-0002-0606-0050, Costa-Jussà, Marta R., ORCID: 0000-0002-5703-520X","Federmann, Christian, Fishel, Mark, Graham, Yvette",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24161,22 Jan 2020 13:56 by  Vidatum Academic. Last Modified 25 Nov 2020 14:36,"Proceedings of the Fourth Conference on Machine Translation (Volume 2: Shared Task Papers, Day 1)..  Association for Computational Linguistics (ACL).",Association for Computational Linguistics (ACL),http://www.aclweb.org/anthology/W19-5301,© 2019 Association for Computational Linguistics,"European Union’s Horizon 2020 research and innovation programme under grant agreement Nos. 825299 (GoURMET) and 825303 (Bergamot), Connecting Europe Facility under agreement No. NEA/CEF/ICT/A2016/1331648 (ParaCrawl)., SFI Research Centres Programme (Grant 13/RC/2106) co-funded under the European Regional Development Fund., Czech Science Foundation grant no. 19-26934X (NEUREM3), Spanish Ministerio de Economía y Competitividad, the European Regional Development Fund and the Agencia Estatal de Investigación, CAS18/00223, the contract  TEC2015-69266-P 36 (MINECO/FEDER,EU) and the contract PCIN2017-079 (AEI/MINECO)., German research foundation (DFG) under grant number GE 2819/2-1 (project MMPE), German Federal Ministry of Education and Research (BMBF) under funding code 01IW17001 (project Deeplee).",,,
Yvette Graham,Results of the WMT19 metrics shared task: segment-level and strong MT systems pose big challenges.,"Ma, Qingsong, Wei, Johnny Tian-Zheng, Bojar, Ondřej, Graham, Yvette","Fourth Conference on Machine Translation, 1-2 Aug 2019, Florence, Italy.",2019,"Qingsong Ma, Johnny Tian-Zheng Wei, Ondřej Bojar, Yvette Graham","Bojar, Ondřej, ORCID: 0000-0002-0606-0050","Ma, Qingsong, Wei, Johnny Tian-Zheng, Graham, Yvette",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24262,06 Mar 2020 10:15 by  Yvette Graham. Last Modified 25 Nov 2020 14:34,Proceedings of the Fourth Conference on Machine Translation: Shared Task Papers.2.  Association for Computational Linguistics.,Association for Computational Linguistics,http://dx.doi.org/10.18653/v1/W19-5302,© 2019 Association for Computational Linguistics,"Czech Science Foundation grant 19-26934X (NEUREM3), Science Foundation Ireland (SFI) Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund, Charles University Research Programme “Progres” Q18+Q48",,,
Yvette Graham,Exploring the impact of training data bias on automatic generation of video captions.,"Smeaton, Alan F., Graham, Yvette, McGuinness, Kevin, O'Connor, Noel E., Quinn, Sean, Arazo Sanchez, Eric","25th International Conference on Multimedia Modeling (MMM2019), 8 - 11 Jan 2019, Thessaloniki, Greece",2018,"Alan F. Smeaton, Yvette Graham, Kevin McGuinness, Noel E. O'Connor, Sean Quinn, Eric Arazo Sanchez","Smeaton, Alan F., ORCID: 0000-0003-1028-8389, O'Connor, Noel E., ORCID: 0000-0002-4033-9135","Graham, Yvette, McGuinness, Kevin, Quinn, Sean, Arazo Sanchez, Eric",978-3-030-05710-7,,Conference or Workshop Item (Paper),Conference,Yes,,,Video-to-language; Video captioning; Video understanding; Semantic similarity,Computer Science > Artificial intelligence. Computer Science > Machine learning. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23512,01 Jul 2019 10:54 by  Sean Quinn. Last Modified 12 Aug 2020 17:21,"Kompatsiaris, Ioannis and Huet, Benoit and Mezaris, Vasileios and Gurrin, Cathal and Cheng, Wen-Huang, (eds.)MMM 2019: MultiMedia Modeling, Proceedings. Lecture Notes in Computer Science book series (LNCS)11295(1).  Springer. ISBN 978-3-030-05710-7",Springer,http://dx.doi.org/10.1007/978-3-030-05710-7_15,©2018 Springer,Science Foundation Ireland under grant numbers 12/RC/2289 and 15/SIRG/3283,,,
Yvette Graham,Findings of the 2018 conference on machine translation (WMT18).,"Bojar, Ondřej, Federmann, Christian, Fishel, Mark, Graham, Yvette, Haddow, Barry, Huck, Matthias, Koehn, Philipp, Monz, Christof","Third Conference on Machine Translation, Volume 2: Shared Task Papers, 31 Oct - 1 Nov 2018, Brussels, Belgium.",2018,"Ondřej Bojar, Christian Federmann, Mark Fishel, Yvette Graham, Barry Haddow, Matthias Huck, Philipp Koehn, Christof Monz","Bojar, Ondřej, ORCID: 0000-0002-0606-0050","Federmann, Christian, Fishel, Mark, Graham, Yvette, Haddow, Barry, Huck, Matthias, Koehn, Philipp, Monz, Christof",,,Conference or Workshop Item (Paper),Conference,No,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23118,03 Apr 2019 09:10 by  Dr Yvette Graham. Last Modified 22 May 2019 10:57,Proceedings of the Third Annual Conference for Machine Translation.2.  Association for Computational Linguistics (ACM).,Association for Computational Linguistics (ACM),https://www.aclweb.org/anthology/W18-6401,© 2018 ACM,"European Union’s Horizon 2020 research and innovation programme, grant Nos. 645452 (QT21) 295 and 645357 (Cracker), Connecting Europe Facility under agreement No. NEA/CEF/ICT/A2016/1331648 (ParaCrawl), Science Foundation Ireland,  SFI Research Centres Programme (Grant 13/RC/2106) co-funded under the European Regional Development Fund.",,,
Yvette Graham,Findings of the 2018 Conference on Machine Translation (WMT18).,"Bojar, Ondřej, Federmann, Christian, Fishel, Mark, Graham, Yvette, Haddow, Barry","Third Conference on Machine Translation, 31 Oct- 1 Nov 2018, Brussels, Belgium.",2018,"Ondřej Bojar, Christian Federmann, Mark Fishel, Yvette Graham, Barry Haddow","Bojar, Ondřej, ORCID: 0000-0002-0606-0050","Federmann, Christian, Fishel, Mark, Graham, Yvette, Haddow, Barry",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,24163,22 Jan 2020 14:53 by  Vidatum Academic. Last Modified 25 Nov 2020 14:34,"Proceedings of the Third Conference on Machine Translation, Volume 2: Shared Task Papers.2.  Association for Computational Linguistics (ACL).",Association for Computational Linguistics (ACL),http://dx.doi.org/10.18653/v1/W18-6401,© 2018 ACL,"European Union’s Horizon 2020 research and innovation programme under grant agreement Nos. 645452 (QT21) 295 and 645357 (Cracker, Connecting Europe Facility under agreement No. NEA/CEF/ICT/A2016/1331648 (ParaCrawl).",,,
Yvette Graham,Evaluation of automatic video captioning using direct assessment.,"Graham, Yvette, Awad, George M., Smeaton, Alan F.",PLoS One ,2018,"Yvette Graham, George M. Awad, Alan F. Smeaton","Smeaton, Alan F., ORCID: 0000-0003-1028-8389","Graham, Yvette, Awad, George M.",,1932-6203,Article (Published),,Yes,,,TRECVid; video captions,Computer Science > Computational linguistics. Computer Science > Artificial intelligence. Computer Science > Multimedia systems. Computer Science > Digital video. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22106,06 Sep 2018 10:26 by  Alan Smeaton. Last Modified 12 Aug 2020 17:21,,Public Library of Science,http://dx.doi.org/10.1371/journal.pone.0202789,©2018 PLOS,Science Foundation Ireland  grant no. SFI/12/RC/2289 and 13/RC/2106,,,
