Name1,Name2,Total_Paper_Count,Total_Citations_Achieved
105,737,1,0
737,1039,1,0
336,737,1,0
737,818,1,0
441,737,1,0
737,750,1,0
402,737,1,0
737,789,1,0
28,737,1,0
273,737,1,2
690,737,2,2
721,737,1,0
76,737,2,0
211,737,1,0
658,905,2,1
7,658,1,0
658,959,2,1
658,998,1,0
658,707,1,0
60,658,1,1
658,765,1,1
658,1018,1,1
62,658,1,1
658,730,1,1
658,985,8,72
658,845,8,74
16,658,1,0
658,1068,8,74
658,1125,1,3
568,658,1,3
658,761,1,3
658,833,1,3
658,808,1,1
658,933,1,1
658,1058,1,3
347,658,1,3
457,658,1,3
658,748,1,1
198,658,3,57
572,658,3,57
358,658,3,57
266,658,3,57
343,658,1,2
539,658,1,2
658,1002,1,4
386,658,2,4
294,658,1,4
658,872,1,4
474,658,4,62
462,658,1,0
631,658,1,0
658,685,2,6
638,658,2,6
2,658,1,15
644,658,1,15
275,681,6,16
331,681,1,0
388,681,3,5
89,681,1,0
317,681,1,0
681,694,9,27
262,681,3,11
227,681,1,0
681,935,1,0
70,681,1,0
272,681,1,0
681,701,3,2
413,681,2,1
681,1035,1,4
389,681,1,4
511,681,1,0
681,764,1,2
681,763,1,2
681,695,2,6
99,681,1,6
853,933,5,9
701,933,2,9
236,933,1,0
932,933,1,0
854,933,1,0
862,933,1,0
933,942,1,0
628,933,1,0
536,933,4,1
787,933,3,1
804,933,3,1
576,933,2,0
197,933,2,0
29,933,1,0
620,933,1,0
284,933,2,0
866,933,1,0
252,933,3,3
163,933,1,0
308,933,1,0
933,1141,1,0
292,933,1,0
321,933,1,0
594,933,1,0
922,933,1,0
290,933,1,0
900,933,1,0
843,933,1,0
465,933,3,16
706,933,3,1
933,1010,1,0
933,1150,4,1
14,933,2,1
136,933,3,3
560,933,2,1
808,933,1,1
533,933,3,7
493,933,3,5
108,933,1,16
134,933,1,16
162,933,1,16
320,933,1,16
487,933,1,16
933,938,1,16
295,933,1,16
688,933,1,16
314,933,1,16
933,1006,1,16
930,933,1,16
767,933,1,0
144,933,1,0
188,933,1,0
906,933,1,2
793,933,1,2
880,933,1,4
933,1055,1,4
694,933,1,4
84,635,1,0
84,661,1,0
84,1067,1,0
84,376,1,0
84,138,1,0
84,177,1,0
84,310,1,0
84,974,5,7
84,829,1,0
81,84,3,8
84,247,2,6
84,352,1,1
84,874,3,19
84,670,1,1
84,875,6,26
84,1083,2,18
84,946,2,18
84,769,1,2
84,715,1,2
84,149,1,0
84,371,3,7
84,351,1,3
614,1160,5,8
614,1163,1,0
210,614,1,0
437,614,2,5
614,1144,1,0
209,614,7,38
614,1173,2,5
614,892,3,12
435,614,3,12
614,893,13,57
13,614,1,1
614,750,1,0
614,1161,1,0
614,818,1,0
502,614,2,7
259,614,1,1
184,614,2,6
614,1159,8,75
514,614,4,33
614,919,1,1
614,1061,3,11
332,614,2,4
382,614,1,1
508,614,3,11
614,989,1,1
148,614,1,16
614,1136,1,16
501,614,3,59
394,614,1,35
432,614,2,35
438,614,1,35
614,1164,1,35
614,1139,1,35
614,1147,1,24
614,729,1,7
614,734,1,1
452,614,1,1
379,614,1,1
614,1032,1,1
201,614,1,0
614,1175,3,16
614,1041,2,25
614,1036,1,10
614,1132,4,39
269,614,1,6
614,1129,1,1
614,1174,2,16
614,1171,1,1
614,749,1,1
614,1182,1,15
614,1162,1,15
614,738,1,18
423,614,1,18
614,1153,1,18
245,614,1,5
573,614,1,5
614,1172,1,5
591,614,1,5
614,1170,1,1
614,1019,1,2
840,852,1,0
241,852,1,0
600,852,1,0
450,852,1,0
852,923,1,0
303,852,3,7
24,852,1,0
5,852,1,0
825,852,1,0
732,852,1,0
773,852,13,24
852,1001,2,0
470,852,1,0
213,852,1,0
476,852,1,0
703,852,1,0
852,1150,1,0
76,852,1,0
852,1099,2,0
852,861,1,0
794,852,1,0
725,852,1,0
852,1185,1,0
283,852,1,0
852,928,1,0
540,852,1,0
852,898,1,0
645,852,21,54
807,852,2,0
467,852,5,3
731,852,2,0
726,852,2,26
852,943,10,52
852,1108,2,8
637,852,1,8
852,1093,5,19
17,852,1,8
646,852,1,8
168,852,1,2
852,1148,1,2
852,925,1,0
852,1040,1,0
852,897,15,52
97,852,2,0
823,852,13,52
286,852,1,3
299,852,1,3
799,852,1,3
246,852,1,3
852,977,1,3
489,852,1,3
25,852,1,3
251,852,1,3
50,852,1,3
40,852,1,4
124,852,1,4
544,852,1,4
579,852,1,4
852,983,1,5
