keyword_1,keyword_2,count
Data Governance.,Data Valu,1
Data Governance.,Business Value of IT,1
Data Governance.,Data Value,1
Data Governance.,Data Governance,1
Data Governance.,Business-IT Alignment,1
computer vision,EEG,1
computer vision,"image search
and retrieval",1
computer vision,Speech,1
computer vision,computer vision fairness,1
computer vision,electroencephalography (EEG),1
computer vision,VSR,1
computer vision,spatial filtering,1
computer vision,cognition,1
computer vision,visual datasets,1
computer vision,dataset bias,1
computer vision,video processing,1
computer vision,dataset,1
computer vision,Rapid serial visual presentation,1
computer vision,Visual Speech Unit,1
computer vision,image search,1
computer vision,visual speech recognition,1
computer vision,VSU,1
computer vision,analysis,1
computer vision,electroencephalograph,1
computer vision,colour,1
computer vision,cortically coupled computer vision,1
computer vision,image analysis,1
computer vision,event-related potentials (ERPs),1
computer vision,video,1
computer vision,"colour normalisation, computer vision, edge detection, skin physiology/structure",1
computer vision,ERP,1
computer vision,data,1
computer vision,search,1
computer vision,datasets,1
computer vision,speech recognition,1
computer vision,recognition,1
computer vision,RSVP,1
computer vision,Rapid serial visual presentation (RSVP),1
Supervised,"Intrusion, Networks",1
Supervised,Unsupervised,1
Supervised,Anomaly Detection,1
Pseudo-Relevance Feedback,Relevance Model,1
Pseudo-Relevance Feedback,Information Retrieval,1
Pseudo-Relevance Feedback,Search,1
Pseudo-Relevance Feedback,Patent Search,1
Pseudo-Relevance Feedback,Query Reduction,1
Pseudo-Relevance Feedback,Query,1
Pseudo-Relevance Feedback,Topic Model,1
Pseudo-Relevance Feedback,location,1
Pseudo-Relevance Feedback,Latent Dirichlet Allocation,1
Pseudo-Relevance Feedback,Cross-lingual Information Retrieval,1
prediction,Random Forest (RF),1
prediction,Consumer behavior,1
prediction,Chroma intra prediction,2
prediction,data fusion,1
prediction,sensor network,1
prediction,Support Vector Machines (SVM),1
prediction,Resolution of Impact (ROI),1
prediction,attention algorithms,1
prediction,neural network,2
prediction,video coding standards,2
prediction,estuarine,1
prediction,Purchase prediction,1
prediction,Gradient Boosting (GB),1
prediction,Machine learning,1
prediction,complexity reduction,1
prediction,Logistic Regression (LR),1
prediction,multi-modal sensing,1
prediction,Time series analysis,1
prediction,LSTM,1
prediction,Algorithms,1
prediction,SVM,1
prediction,prediction and modelling,1
prediction,Forecast Aggregation,1
prediction,"Question
quality prediction",1
prediction,time series,2
prediction,inter prediction,1
prediction,The small sample size problem,1
prediction,Neural network interpretability,1
prediction,Convolution,1
prediction,Neural Networks,1
prediction,analysis,1
prediction,convolutional neural networks,2
prediction,Prediction,1
prediction,monitoring,1
prediction,Neighbourhood based transformation,1
prediction,Document embedding,1
prediction,"multi-modal sensing, sensor networks",1
prediction,RF,1
prediction,traffic scenes,1
prediction,Attention Algorithms,1
prediction,video,2
prediction,E-commerce,1
prediction,modelling,1
prediction,Multistep ahead prediction,1
prediction,learning,1
prediction,Time series,1
prediction,data,1
prediction,mining,1
prediction,neural networks,2
prediction,Univariate time series,1
prediction,Chronic Kidney Disease (CKD),1
prediction,salinity,1
prediction,Data mining,1
prediction,Recurrent Neural Networks,1
prediction,Time series prediction,1
prediction,Digital retail,1
prediction,fractional-pixel motion compensation,1
prediction,Behavior analytics,1
prediction,multi-model architectures,1
prediction,Path prediction,1
prediction,Multi-resolution Analysis,1
prediction,Forecasting,1
prediction,Convolutional Neural Network,1
prediction,Prediction in the long run,1
prediction,sensor networks,1
prediction,Environmental monitoring,1
Standards,business privacy preservation,1
Standards,Thyristors,1
Standards,Speech,1
Standards,Organizations,1
Standards,Synchronization,1
Standards,Multimedia communication,1
Standards,Semantics,1
Standards,Semantic,1
Standards,Privacy,1
Standards,analysis,1
Standards,Process improvement,1
Standards,Standards organizations,1
Standards,Multimedia,1
Standards,Behavioral correctness verification,1
Standards,privacy,1
Standards,discrete event systems,1
Standards,task synchronization pattern.,1
Standards,Petri nets,1
Standards,ISO/IEC 12207,1
Standards,Media,1
Standards,Streaming media,1
Standards,Task analysis,1
Standards,ISO,1
Standards,cross-organizational workflow,1
SpeechTo Speech Translation,Authoring Tool,1
SpeechTo Speech Translation,Speech,1
SpeechTo Speech Translation,Translation,1
SpeechTo Speech Translation,Controlled Languages,1
SpeechTo Speech Translation,Authoring Tools,1
SpeechTo Speech Translation,Controlled Language,1
Business Layer,Smart City Framework,1
Business Layer,Smart City,1
Business Layer,Smart City Frameworks,1
Business Layer,Enterprise Architecture,1
blogs,financial blogs,2
blogs,sentiment analysis,2
blogs,interactive visualisation,1
blogs,blogging,1
blogs,sentiment,2
blogs,analysis,2
blogs,social networks,1
blogs,mining,1
blogs,opinion mining,1
blogs,visualisation,1
Video search,iPad,1
Video search,torrent-like dissemination,1
Video search,Video,2
Video search,personalization,1
Video search,iPhone,1
Video search,search,2
Video search,annotation,1
Video search,Video search and recommendation,1
Medical Terminology Simplification,Requirement,1
Medical Terminology Simplification,Medical,1
Medical Terminology Simplification,Patient Empowerment,1
Medical Terminology Simplification,IEC 80001-1,1
Medical Terminology Simplification,Health,1
Medical Terminology Simplification,Terminology,1
Medical Terminology Simplification,User Requirements,1
Medical Terminology Simplification,Health Information Seeking,1
Medical Terminology Simplification,Risk Management,1
Neural Embedding,LSTM,1
Neural Embedding,Word2Vec,1
Neural Embedding,Digital Retail,1
Neural Embedding,Customer Behavior,1
important locations,GPS,1
important locations,text retrieval,1
important locations,location,1
important locations,power-law distribution,1
technical variables,match analysis,1
technical variables,football,1
technical variables,analysis,1
technical variables,Team sport,1
Process Selection,Software Development Context,3
Process Selection,Software,3
Process Selection,Context,3
Process Selection,Agile,3
Process Selection,Software Development Process,3
Process Selection,Lean,3
carbon dioxide,sensor network,1
carbon dioxide,sensors,1
carbon dioxide,environmental monitoring,1
carbon dioxide,monitoring,1
carbon dioxide,field deployable,1
carbon dioxide,landfill,2
carbon dioxide,greenhouse gases,2
carbon dioxide,landfill gases,1
carbon dioxide,data,1
carbon dioxide,methane,2
carbon dioxide,chemistry,1
carbon dioxide,management,1
carbon dioxide,sensor data management,1
carbon dioxide,autonomous gas sensors,1
carbon dioxide,sensor networks,1
distance learning,MOOCs,1
distance learning,MOOC,1
distance learning,e-learning,1
distance learning,translation,1
distance learning,learning,1
data mining,machine learning,1
data mining,data warehousing,1
data mining,distributed computing,1
data mining,unsupervised learning,1
data mining,deep architecture,1
data mining,ontologies,1
data mining,Hadoop,1
data mining,Peer learning,1
data mining,Machine learning,1
data mining,team sport,1
data mining,Deep learning,1
data mining,Agri,1
data mining,Computer Science,1
data mining,GPS,1
data mining,Programming learning,1
data mining,educational data mining,1
data mining,Clustering,1
data mining,Distributed data mining,1
data mining,Predictive modelling,1
data mining,knowledge discovery,2
data mining,technology,1
data mining,Spatial data mining,1
data mining,Reviewing behavior,1
data mining,Educational technology,1
data mining,spacial data mining,1
data mining,learning analytics,2
data mining,"Distributed
Clustering",1
data mining,clustering,1
data mining,data transformation,1
data mining,random matrix theory,1
data mining,DBSCAN,1
data mining,MapReduce,1
data mining,collaborative systems,2
data mining,Computer Science Education,1
data mining,Dynamic K-means,1
data mining,Behavioral analytics,1
data mining,privacy,1
data mining,modelling,1
data mining,Parallel clustering,1
data mining,community detection,1
data mining,learning,6
data mining,deep learning,1
data mining,· Educational data mining,1
data mining,Big Data,1
data mining,data,11
data mining,mining,11
data mining,wearable devices,1
data mining,superspeedup,1
data mining,Educational data mining,3
data mining,Spatial data,1
data mining,"synchronous
communication",1
data mining,asynchronous communication,1
data mining,Agri-analytics,1
data mining,team,1
data mining,personal data,2
data mining,ETL,1
data mining,zones,1
data mining,Learning analytics,1
data mining,data models,1
data mining,activity profile,1
data mining,big data,1
Software Process Adaptation,Software Process,1
Software Process Adaptation,Software,1
Software Process Adaptation,Context,1
Software Process Adaptation,Situational Context,1
Landmark Classification,Fusion,1
Landmark Classification,Classification,1
Landmark Classification,Data Fusion,1
Landmark Classification,Geo-Tagging,1
Landmark Classification,Visual-Spatial Data Fusion,1
Inquiry-based learning,information,1
Inquiry-based learning,technology,1
Inquiry-based learning,Teaching information retrieval,1
Inquiry-based learning,information retrieval,1
Inquiry-based learning,learning,1
Inquiry-based learning,Language technology integration,1
sensecam,life review,1
sensecam,human computer interaction,1
sensecam,context,1
sensecam,senseseer,1
sensecam,liflogging,1
sensecam,events,1
sensecam,lifelog,1
Social Media,Sentiment translation,1
Social Media,User-Generated Content,1
Social Media,"Crisis Information Mining and
Support",1
Social Media,Twitter,1
Social Media,Multimedia,1
Social Media,translation,1
Social Media,Less-resourced languages,1
Social Media,"Natural
Language Engineering",1
Social Media,Media,4
Social Media,User Contributed Content,1
Social Media,Polling,1
Software development organisations,Software houses,1
Software development organisations,Personality differences,1
Software development organisations,Human factors,1
Software development organisations,Software,1
Software development organisations,Visualisation approach,1
Software development organisations,Personality assessment process,1
Software development organisations,Personality temperaments,1
Software development organisations,Software development management,1
Software development organisations,Keirsey Temperament Sorter II,1
Software development organisations,Organisation personality profile,1
Software development organisations,Periodic table-like structure,1
Software development organisations,Visualisation,1
Software development organisations,management,1
Software development organisations,Personality,1
Software development organisations,Software development,1
personal information retrieval evaluation,information,1
personal information retrieval evaluation,evaluation,1
personal information retrieval evaluation,information retrieval,1
personal information retrieval evaluation,Living lab,1
Software houses,Personality differences,1
Software houses,Human factors,1
Software houses,Software,1
Software houses,Visualisation approach,1
Software houses,Personality assessment process,1
Software houses,Personality temperaments,1
Software houses,Software development management,1
Software houses,Keirsey Temperament Sorter II,1
Software houses,Organisation personality profile,1
Software houses,Periodic table-like structure,1
Software houses,Visualisation,1
Software houses,management,1
Software houses,Personality,1
Software houses,Software development,1
RBF,SVM,1
RBF,Optimisation,1
RBF,Visual Object Classification,1
RBF,Classification,1
RBF,Extreme parameter values,1
simulating resource provisioning,cloud-to-thing continuum,1
simulating resource provisioning,simulating resource management,1
simulating resource provisioning,cloud computing,1
simulating resource provisioning,simulating cloud computing,1
simulating resource provisioning,fog computing,1
simulating resource provisioning,scheduling,1
simulating resource provisioning,systematic review,1
simulating resource provisioning,simulating resource scheduling,1
simulating resource provisioning,edge computing,1
simulating resource provisioning,management,1
simulating resource provisioning,C2T,1
simulating resource provisioning,simulation tools,1
simulating resource provisioning,simulation,1
Sensors,Environmental sensing,1
Sensors,sensors,1
Sensors,cognition,1
Sensors,Dementia,1
Sensors,Chemical separations,1
Sensors,Marine,1
Sensors,Marine sensors,1
Sensors,Lifelog,1
Sensors,Optical sensing,1
Sensors,"Heterogeneous Sensory
Data Analytics",1
Sensors,Visual sensing,1
Sensors,Smartphones,1
Sensors,Analytics,1
Sensors,Technology,1
Sensors,Smart-City,1
Sensors,Data Analytics,1
Sensors,Fixations,1
Sensors,Embedded Sensors,1
Sensors,Wearable Sensors,1
Sensors,Assistive Technology,1
Sensors,Human Activity Recognition,1
Sensors,Eye-tracking Glasses,1
Sports Video,cognition,1
Sports Video,"SIFT Points
Matching",1
Sports Video,Video,1
Sports Video,Sports,1
Sports Video,Localization and Recognition of Scoreboard,1
Sports Video,SIFT,1
"LSTMs, MDNs",Time Series,1
"LSTMs, MDNs",Traffic Scenes,1
"LSTMs, MDNs",LSTM,1
"LSTMs, MDNs",Prediction,1
"LSTMs, MDNs",Multiple Path Prediction,1
Emotion,Emotions recognition technologies,1
Emotion,Purchasing behavior,1
Emotion,cognition,1
Emotion,Human Computer Interaction,1
Emotion,Information Retrieval,2
Emotion,Personalization,1
Emotion,Emotion Detection,2
Emotion,Recommender system,1
Emotion,recognition,1
Emotion,movies,1
Emotion,Emotion Space.,1
Emotion,Machine Learning,2
