index,Unique_Author,Job_Title,Job_title_num
0,A Ahlemeyer-Stubbe,Unkown,0
1,A Ionita,Unkown,0
2,A-Kamel Tari,Unkown,0
3,Aalekhya Nethra,Unkown,0
4,Aaron Duane,Unkown,0
5,Aaron Edgeworth,Unkown,0
6,Aasish Pappu,Unkown,0
7,Abbas Bagherian Kasgari,Unkown,0
8,Abdelouaheb Ardjouni,Unkown,0
9,Abhishek Kaushik,Unkown,0
10,Abidalrahman Moh’D,Unkown,0
11,Abigail Walsh,Unkown,0
12,Adam Jatowt,Unkown,0
13,Adele Lu Jia,Unkown,0
14,Ademar Crotti Junior,Unkown,0
15,Adrian Clark,Unkown,0
16,Adrian Mihai,Unkown,0
17,Ae Yilmaz,Unkown,0
18,Afzad Godil,Unkown,0
19,Ahcene Djoudi,Unkown,0
20,Ahmed Abd-Ali Omran,Unkown,0
21,Ahmed Alateeq,Unkown,0
22,Ahmed Hassan Awadallah,Unkown,0
23,Ahu Açıkgöz,Unkown,0
24,Aidan Fogarty,Unkown,0
25,Aidan Lawless,Unkown,0
26,Akshai Ramesh,Unkown,0
27,Akshay Zalkikar,Unkown,0
28,Alan F. Smeaton,Professor,1
29,Alan Meehan,Unkown,0
30,Alastair Porter,Unkown,0
31,Alba Garcia Seco De Herrera,Unkown,0
32,Alba García Seco De Herrera,Unkown,0
33,Alberto Del Bimbo,Unkown,0
34,Alberto Poncelas,Unkown,0
35,Albina Auksoriūtė,Unkown,0
36,Aleh Tarasau,Unkown,0
37,Alessandra Mileo,Assistant Professor,2
38,Alessandra Russo,Unkown,0
39,Alex Helle,Unkown,0
40,Alex Murphy,Unkown,0
41,Alexander Artikis,Unkown,0
42,Alexander Fraser,Unkown,0
43,Alexander Hauptmann,Unkown,0
44,Alexander O’Connor,Unkown,0
45,Alexandra Birch,Unkown,0
46,Alexandra Covaci,Unkown,0
47,Alexandre Sicard,Unkown,0
48,Ali Ameer Jabor,Unkown,0
49,Ali Berkane,Unkown,0
50,Alihan Dogus Yalcin,Unkown,0
51,Alistair Sutherland,Lecturer,3
52,Alípio Jorge,Unkown,0
53,Amal Al-Rasheed,Unkown,0
54,Amal Alrabiah,Unkown,0
55,Amanda Hastings,Unkown,0
56,Amani Alrobai,Unkown,0
57,Amber Pearson,Unkown,0
58,Amerah Alghanim,Unkown,0
59,Aminul Islam,Unkown,0
60,Amir Amirabadi,Unkown,0
61,Amir M Ben-Amram,Unkown,0
62,Amirhossein Aghamohammadi,Unkown,0
63,Amit Moryossef,Unkown,0
64,Amruth Hebbasuru Suryanarayana,Unkown,0
65,Anara Baidzhuranova,Unkown,0
66,Anastasia Shimorina,Unkown,0
67,Andoni Azpeitia,Unkown,0
68,Andre Kåsen,Unkown,0
69,Andrea Lösch,Unkown,0
70,Andreas Auinger,Unkown,0
71,Andreas Hillmann,Unkown,0
72,Andreas Leibetseder,Unkown,0
73,Andreea Molnar,Unkown,0
74,Andrejs Vasiļjevs,Unkown,0
75,Andrew Delgado,Unkown,0
76,Andrew McCarren,Assistant Professor,2
77,André Ft Martins,Unkown,0
78,Andy Meaney,Unkown,0
79,Andy Way,Professor,1
80,Angelika Kimmig,Unkown,0
81,Anirban Chakraborty,Unkown,0
82,Anja Belz,Unkown,0
83,Ann Clifton,Unkown,0
84,Annalina Caputo,Assistant Professor,2
85,Anne Delextrat,Unkown,0
86,Anne Marie Delaney,Unkown,0
87,Annraoi De Paor,Unkown,0
88,Antonio Campello,Unkown,0
89,Antonio Jacob,Unkown,0
90,Antonio Jimeno Yepes,Unkown,0
91,António Branco,Unkown,0
92,Anya Belz,Unkown,0
93,Aoife Morrin,Unkown,0
94,Argentina Anna Rescigno,Unkown,0
95,Arghir Nicolae Moldovan,Unkown,0
96,Aries Mohammed Es-Salih,Unkown,0
97,Armbrust,Unkown,0
98,Armony Altinier,Unkown,0
99,Artem Bielozorov,Unkown,0
100,Arvind Ramadurai,Unkown,0
101,Arwa Alghamdi,Unkown,0
102,Asad Butt,Unkown,0
103,Asif Ekbal,Unkown,0
104,Asma Ben Abacha,Unkown,0
105,Asma Slaimi,Unkown,0
106,Aurelie Neveol,Unkown,0
107,Axel J Soto,Unkown,0
108,Axel Polleres,Unkown,0
109,Ayush K Rai,Unkown,0
110,Ayşe Sönmez,Unkown,0
111,Azadeh Nazemi,Unkown,0
112,B Cardiff,Unkown,0
113,B Thu-Le Pham,Unkown,0
114,B Woods,Unkown,0
115,Bachir Messirdi,Unkown,0
116,Banu Pazar Varol,Unkown,0
117,Baoquan Chen,Unkown,0
118,Baptiste Chocot,Unkown,0
119,Barbara Solenthaler,Unkown,0
120,Barry Haddow,Unkown,0
121,Bekbolot Kanetov,Unkown,0
122,Belhadj Karim,Unkown,0
123,Ben Carterette,Unkown,0
124,Ben Kelly,Unkown,0
125,Benjamin Barry,Unkown,0
126,Benjamin Bischke,Unkown,0
127,Benjamin Cowan,Unkown,0
128,Benjamin D Weedon,Unkown,0
129,Benjamin David Weedon,Unkown,0
130,Benoit Huet,Unkown,0
131,Bernardo Magnini,Unkown,0
132,Bernd Bohnet,Unkown,0
133,Bernd Munzer,Unkown,0
134,Bert Bos,Unkown,0
135,Bert Gordijn,Unkown,0
136,Beyza Yaman,Unkown,0
137,Biagio Lenzitti,Unkown,0
138,Binh T Nguyen,Unkown,0
139,Binwoei Choong,Unkown,0
140,Björn Thór Jónsson,Unkown,0
141,Björn Þór Jónsson,Unkown,0
142,Bo Zhang,Unkown,0
143,Bogdan Ionescu,Unkown,0
