index,Unique_Author,Job_Title
0,A Ahlemeyer-Stubbe,Unkown
1,A Ionita,Unkown
2,A-Kamel Tari,Unkown
3,Aalekhya Nethra,Unkown
4,Aaron Duane,Unkown
5,Aaron Edgeworth,Unkown
6,Aasish Pappu,Unkown
7,Abbas Bagherian Kasgari,Unkown
8,Abdelouaheb Ardjouni,Unkown
9,Abhishek Kaushik,Unkown
10,Abidalrahman Moh’D,Unkown
11,Abigail Walsh,Unkown
12,Adam Jatowt,Unkown
13,Adele Lu Jia,Unkown
14,Ademar Crotti Junior,Unkown
15,Adrian Clark,Unkown
16,Adrian Mihai,Unkown
17,Ae Yilmaz,Unkown
18,Afzad Godil,Unkown
19,Ahcene Djoudi,Unkown
20,Ahmed Abd-Ali Omran,Unkown
21,Ahmed Alateeq,Unkown
22,Ahmed Hassan Awadallah,Unkown
23,Ahu Açıkgöz,Unkown
24,Aidan Fogarty,Unkown
25,Aidan Lawless,Unkown
26,Akshai Ramesh,Unkown
27,Akshay Zalkikar,Unkown
28,Alan F. Smeaton,Professor
29,Alan Meehan,Unkown
30,Alastair Porter,Unkown
31,Alba Garcia Seco De Herrera,Unkown
32,Alba García Seco De Herrera,Unkown
33,Alberto Del Bimbo,Unkown
34,Alberto Poncelas,Unkown
35,Albina Auksoriūtė,Unkown
36,Aleh Tarasau,Unkown
37,Alessandra Mileo,Assistant Professor
38,Alessandra Russo,Unkown
39,Alex Helle,Unkown
40,Alex Murphy,Unkown
41,Alexander Artikis,Unkown
42,Alexander Fraser,Unkown
43,Alexander Hauptmann,Unkown
44,Alexander O’Connor,Unkown
45,Alexandra Birch,Unkown
46,Alexandra Covaci,Unkown
47,Alexandre Sicard,Unkown
48,Ali Ameer Jabor,Unkown
49,Ali Berkane,Unkown
50,Alihan Dogus Yalcin,Unkown
51,Alistair Sutherland,Lecturer
52,Alípio Jorge,Unkown
53,Amal Al-Rasheed,Unkown
54,Amal Alrabiah,Unkown
55,Amanda Hastings,Unkown
56,Amani Alrobai,Unkown
57,Amber Pearson,Unkown
58,Amerah Alghanim,Unkown
59,Aminul Islam,Unkown
60,Amir Amirabadi,Unkown
61,Amir M Ben-Amram,Unkown
62,Amirhossein Aghamohammadi,Unkown
63,Amit Moryossef,Unkown
64,Amruth Hebbasuru Suryanarayana,Unkown
65,Anara Baidzhuranova,Unkown
66,Anastasia Shimorina,Unkown
67,Andoni Azpeitia,Unkown
68,Andre Kåsen,Unkown
69,Andrea Lösch,Unkown
70,Andreas Auinger,Unkown
71,Andreas Hillmann,Unkown
72,Andreas Leibetseder,Unkown
73,Andreea Molnar,Unkown
